Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
64.40649,97265,left,2,-86.51942,171.7137,-8.232538,-22.53298,-150.8182,-73.03683,0.8640897,0.4985337,1.234598,-152.1056,146.5586,3.271789,-386.4925,55.26245,16.62144,0,0.6209407,0
64.40649,97265,right,2,143.8183,183.1156,-12.08415,53.41466,-405.3372,82.53658,-0.05407827,-0.1281936,-0.6721568,196.7576,183.7971,34.49882,407.6624,78.40553,123.1678,0,0.2592702,0
64.42323,97266,left,2,-86.83302,170.5757,-8.76307,-36.57425,-132.7273,-61.87682,0.8523584,0.5056278,1.226171,-152.2468,145.2127,3.251141,-385.5093,51.27982,17.93486,0,0.6375061,0
64.42323,97266,right,2,144.355,179.873,-11.50678,62.59536,-378.1917,67.33972,-0.08095731,-0.1061835,-0.6777269,197.4556,182.1488,34.86201,409.7145,82.42125,126.7913,0,0.2396281,0
64.43949,97268,left,2,-87.18336,168.2926,-10.10231,-15.97579,-139.7671,-75.22957,0.8094466,0.5040835,1.208143,-152.4831,143.2971,3.1861,-382.7727,43.07076,22.46692,0,0.7534195,0
64.43949,97268,right,2,145.3437,173.7979,-10.38215,75.66204,-323.6155,65.01888,-0.121314,-0.06296924,-0.6840745,198.4987,178.5398,35.74966,412.092,87.12312,133.0703,0,0.209995,0
64.45606,97270,left,2,-87.02645,165.7985,-11.08301,5.929577,-140.9935,-48.52632,0.7810046,0.5025553,1.195558,-152.2068,141.0472,3.158862,-380.0818,36.44241,27.26754,0,0.8592613,0
64.45606,97270,right,2,146.7997,169.6465,-9.474767,102.8665,-213.1961,66.77661,-0.1830237,-0.004148683,-0.6909017,199.5158,177.1651,36.52261,404.2419,77.77022,144.496,0,0.1730541,0
64.47277,97272,left,2,-86.96509,165.1605,-11.7525,-13.57519,22.78777,-55.82735,0.7879631,0.5236112,1.183493,-151.4533,139.2205,3.419684,-374.6421,27.44719,37.2413,0,0.8870258,0
64.47277,97272,right,2,147.0096,165.9677,-8.690377,1.123758,-204.8689,33.72565,-0.2306564,0.05011935,-0.6926191,198.9943,175.7093,37.45332,393.7456,70.01337,157.2478,0,0.1561713,0
