Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
153.5306,107537,right,2,77.94024,254.7147,-7.674313,-0.4800217,-59.95172,127.3481,0.8752667,-1.385107,-0.3322764,101.0865,198.4052,27.67238,248.6154,17.15779,115.174,0,0,0
153.5306,107537,left,2,-103.6882,221.1642,3.092919,-2.858919,-180.74,55.11667,1.245015,1.259609,0.866406,-133.3421,158.3205,14.84969,-268.873,-49.14569,44.19444,0,0,0
153.5476,107539,right,2,78.28185,253.5882,-5.193746,24.03867,-51.37317,143.1808,0.8762645,-1.389918,-0.3322857,101.4179,197.1837,29.99536,250.0403,15.59908,114.9093,0,0,0
153.5476,107539,left,2,-103.5454,218.4241,4.356668,10.18588,-126.311,68.19558,1.248875,1.248717,0.8844642,-133.7134,155.7733,15.84225,-269.5829,-51.50067,44.9786,0,0,0
153.5644,107541,right,2,78.85633,252.8531,-2.370064,43.63558,-31.83131,169.0234,0.8804786,-1.395375,-0.3255767,101.7099,196.2052,32.58978,251.4731,14.51754,115.2489,0,0,0
153.5644,107541,left,2,-103.862,216.3309,6.067552,-35.35655,-122.367,114.7638,1.254351,1.238736,0.9037858,-134.5467,153.8677,17.19151,-271.9559,-52.43427,46.00396,0,0,0
153.5803,107542,right,2,79.22472,252.5684,-0.9426628,42.38721,-32.75925,164.239,0.8827187,-1.394547,-0.3255098,102.0741,195.8366,33.88,252.2268,14.01953,115.5417,0,0,0
153.5803,107542,left,2,-104.1996,214.8646,7.258179,-38.84474,-168.7138,136.9954,1.261877,1.236598,0.916129,-134.974,152.3802,17.97288,-273.6234,-53.07392,46.90184,0,0,0
153.5968,107544,right,2,80.40151,252.2684,2.100434,72.92773,-27.86742,177.4817,0.8808116,-1.390009,-0.325577,103.364,195.6153,36.97585,254.2278,13.7504,117.208,0,0,0
153.5968,107544,left,2,-104.5767,212.1559,9.682141,-17.73012,-145.5204,141.5717,1.26933,1.224739,0.940533,-136.0092,149.9273,19.93104,-277.5446,-53.5521,48.84118,0,0,0
153.6134,107546,right,2,81.25575,251.3938,4.775713,52.83344,-51.96315,147.429,0.8704392,-1.384172,-0.32608,104.4447,195.1299,40.13815,255.4065,13.23965,120.1284,0,0,0
153.6134,107546,left,2,-105.7291,211.5802,12.26541,-78.4376,-18.84092,154.3602,1.276158,1.209911,0.967941,-137.948,149.6651,21.97347,-281.2889,-52.83731,48.77145,0,0,0
153.63,107548,right,2,82.21119,249.2638,7.543494,65.41352,-136.2543,167.6598,0.8604644,-1.386889,-0.3180705,105.2169,193.2602,43.4345,255.7305,10.9956,123.4171,0,0,0
153.63,107548,left,2,-106.529,210.2217,14.8422,-29.06896,-86.03913,142.0195,1.290576,1.204286,0.9925455,-139.0276,148.342,23.73599,-286.1078,-51.60044,49.47278,0,0,0
153.6466,107550,right,2,83.44911,246.5561,10.39308,72.50813,-174.6041,174.7479,0.8429152,-1.398706,-0.3014418,106.0339,191.0227,47.24042,257.5046,9.76235,127.6972,0,0,0
153.6466,107550,left,2,-107.3788,210.7121,17.1653,-64.17489,66.24542,138.6327,1.298955,1.189527,1.019103,-140.5766,149.1221,25.49087,-289.0298,-50.01872,49.50227,0,0,0
153.6636,107552,right,2,84.69634,243.3273,13.62413,62.5591,-203.7763,180.4217,0.8304828,-1.406643,-0.2838862,106.9032,188.2522,51.3205,262.1014,11.51649,134.6868,0,0,0
153.6636,107552,left,2,-108.1234,210.8216,19.87137,-21.00716,-32.91159,147.2445,1.317099,1.198418,1.036358,-140.7843,148.8392,27.23431,-290.6365,-49.38011,50.1555,0,0,0
153.6797,107554,right,2,86.228,240.4235,17.01156,98.22021,-140.2482,196.3978,0.8139071,-1.41412,-0.2676423,108.1245,185.9753,55.72926,266.7187,13.65946,141.9098,0,0,0
153.6797,107554,left,2,-108.3925,211.6335,22.03857,-19.60496,83.32854,116.6115,1.324507,1.194997,1.052093,-141.145,149.6588,29.01624,-290.1916,-49.05802,52.86329,0,0,0
