Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
518.8087,149620,left,1,-97.6016,164.1213,42.81255,104.2589,-491.673,-55.42755,2.939312,0.04586717,1.661706,-166.7207,164.832,27.58547,-378.1662,65.8933,-69.90282,0,0.7418553,0
518.8252,149622,left,1,-95.78062,157.6353,42.18084,148.9683,-351.7386,-36.32422,2.294397,0.07413187,1.623222,-165.4907,155.6419,29.71037,-380.3233,52.92441,-55.71872,0,0.8279163,0
518.8418,149623,left,1,-94.3936,154.6338,41.93171,161.6958,-349.9117,-29.04277,1.962658,0.0869325,1.602898,-164.3658,151.5701,31.05059,-381.7444,48.55032,-47.27909,0,0.9204006,0
518.8587,149625,left,1,-92.02553,150.6723,42.10119,117.3475,-187.1781,24.42598,1.54556,0.1248186,1.567605,-162.2663,144.6214,33.94577,-383.4688,40.27151,-30.72728,0,1.034603,0
518.8749,149627,left,1,-89.31953,148.1826,42.67065,155.3344,-135.6337,35.87055,1.377898,0.1678551,1.53592,-159.4586,138.6087,36.68195,-381.0906,29.07133,-17.01065,0,1.166705,0
518.8915,149629,left,1,-86.44608,146.2232,43.02354,149.3185,-107.4738,23.02844,1.243937,0.1956759,1.498343,-156.4329,134.1642,39.71202,-379.5747,20.87074,2.639898,0.09174372,1.222372,0
518.9084,149631,left,1,-82.9592,143.7072,43.16856,213.8221,-138.2372,2.167843,1.133866,0.2046607,1.466038,-152.9453,130.8905,42.2935,-380.4482,21.6939,24.3886,0.1044312,1.304094,0
518.9248,149633,left,1,-78.77789,140.0428,42.84551,251.9975,-223.5807,-23.93166,1.026481,0.2011238,1.439407,-148.9464,127.8669,44.1214,-383.415,32.89593,46.76267,0.07322305,1.196921,0
518.9417,149635,left,1,-75.11952,137.2436,42.63558,201.1248,-150.5259,-4.463658,0.9495072,0.2049898,1.41261,-145.3597,125.5527,46.23868,-385.9808,50.86495,69.15669,0.03374556,1.135591,0
518.9578,149637,left,1,-71.38901,134.8867,42.63419,242.5596,-174.1042,7.757011,0.9269335,0.224611,1.392973,-141.4692,122.6254,47.77873,-384.4286,62.48264,84.59747,0,1.028403,0
518.9744,149639,left,1,-67.05989,132.6374,43.07516,242.2617,-100.2133,20.35486,0.9718042,0.2739667,1.379396,-136.569,117.6257,48.89511,-379.1364,58.9099,90.31464,0,0.8734484,0
518.9908,149641,left,1,-63.04808,132.4804,43.74679,219.4529,15.74901,44.44301,1.033455,0.3394951,1.361339,-131.4091,113.1401,50.47356,-370.6805,43.47812,94.04503,0,0.7524669,0
519.0077,149643,left,1,-59.46984,133.8906,44.37463,224.3298,76.83612,14.93058,1.039546,0.3861804,1.336244,-126.776,111.5562,52.40378,-362.4101,32.33894,99.34253,0,0.7018958,0
519.024,149644,left,1,-57.25201,134.0716,44.35315,258.6393,21.11342,-2.505508,1.037205,0.4022514,1.325747,-124.1871,110.811,52.89753,-359.0911,29.88734,100.5788,0,0.6623603,0
519.0406,149646,left,1,-52.47843,133.9544,44.73258,281.2466,-20.47641,25.75205,1.029577,0.4361225,1.3022,-118.5364,108.6367,54.32438,-350.6782,19.76516,101.3784,0,0.4092272,0
519.0573,149648,left,1,-48.03088,134.0193,45.00487,247.5707,11.43652,16.64889,0.9798996,0.4523076,1.268474,-113.5832,108.0346,56.28371,-343.9104,14.20088,102.6157,0,0.1220802,0
519.0737,149650,left,1,-42.74025,133.5432,45.49298,301.4819,-5.54968,15.35645,0.9483483,0.4837638,1.235529,-107.5508,106.3264,58.23123,-337.3729,10.07478,102.0429,0,0,0
