Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
85.32967,10841,right,2,138.1588,232.9248,-2.068662,120.5888,4.405547,-183.3925,0.8103054,-0.8081504,-0.7918478,185.8098,189.7067,30.23148,356.2858,23.46938,120.9967,0,0.1670823,0
85.32967,10841,left,2,-284.7065,413.1629,62.81638,-11.22932,191.3948,172.8336,1.913445,0.9945689,2.256202,-312.2519,353.3946,34.96243,-439.1561,133.7218,10.99527,0.02235129,0.9708553,0
85.34627,10843,right,2,140.2901,233.3949,-4.644052,118.5241,28.277,-129.219,0.8096125,-0.8255512,-0.7712602,187.0323,189.6109,28.2375,357.1989,23.71652,120.2138,0,0.1823079,0
85.34627,10843,left,2,-283.566,413.8734,65.40937,130.7108,-47.72927,153.6657,1.940972,0.955512,2.247455,-313.0186,355.6772,36.11943,-440.6909,137.5077,3.884202,0.0329082,1.007037,0
85.36309,10845,right,2,142.0331,234.2329,-6.522584,87.81168,32.6671,-93.88577,0.8094621,-0.8351319,-0.7557864,188.1083,190.0865,26.82749,358.1648,25.04509,120.5424,0,0.2003826,0
85.36309,10845,left,2,-283.1453,414.0668,67.88765,39.83334,1.792222,140.4898,1.97357,0.9200344,2.249041,-314.1733,357.5404,36.91788,-439.9637,139.8813,-4.814932,0,0.9857172,0
85.37937,10847,right,2,143.4052,234.9436,-7.433485,72.95559,45.71727,-43.10257,0.812009,-0.8415603,-0.7445714,188.894,190.4175,26.21977,357.714,25.28297,121.9913,0,0.2318315,0
85.37937,10847,left,2,-281.9819,413.8416,70.48297,57.13704,-21.93143,142.7416,2.009085,0.8692945,2.24303,-314.955,359.3335,37.89966,-442.3864,144.4789,-12.50395,0.002507105,1.002824,0
85.39611,10849,right,2,144.2857,235.742,-7.508623,44.47721,46.35046,5.778082,0.8146033,-0.8414724,-0.7410476,189.5185,191.0179,26.22438,356.8198,24.96833,123.0784,0,0.2563555,0
85.39611,10849,left,2,-280.7867,412.7829,73.16457,69.17901,-61.84705,168.6249,2.053784,0.8106135,2.233557,-316.2685,360.9508,38.90503,-446.7666,149.653,-18.24704,0,0.8043711,0
85.41251,10851,right,2,144.6042,236.127,-6.979588,0.8599932,10.72511,40.08578,0.8203379,-0.8410608,-0.7406333,189.6692,191.1543,26.64622,356.1659,24.50765,123.8648,0,0.2467024,0
85.41251,10851,left,2,-278.7874,410.6741,75.69257,180.9979,-193.1738,155.646,2.088537,0.7589281,2.215076,-316.7295,361.2722,40.53506,-451.372,153.2878,-19.11056,0,0.8590398,0
85.42911,10853,right,2,143.9632,236.6218,-5.614543,-39.76486,42.48475,89.0463,0.8354905,-0.836256,-0.7457161,188.8992,191.1598,27.5189,354.5217,23.2763,124.1041,0,0.2008055,0
85.42911,10853,left,2,-276.2542,407.6205,78.39916,128.7217,-152.2514,144.4631,2.12499,0.710368,2.204811,-316.2538,360.6006,42.30667,-456.7927,157.3502,-20.0032,0,0.8211926,0
85.44563,10855,right,2,143.0757,237.8644,-3.130525,-45.16113,99.18784,167.037,0.8473825,-0.8155696,-0.7631397,188.4385,192.34,29.29969,350.9937,20.30299,123.7668,0,0.1080224,0
85.44563,10855,left,2,-272.0403,402.9898,81.28374,248.2081,-293.517,157.0275,2.172625,0.6512474,2.206629,-313.7592,358.64,43.80858,-464.1306,163.8537,-22.46149,0,0.8298199,0
85.46236,10857,right,2,141.0397,238.7194,0.4437056,-133.1308,41.87111,214.8944,0.8605103,-0.7944012,-0.7888083,187.2573,193.343,31.8366,350.0012,19.10732,121.8509,0,0,0
85.46236,10857,left,2,-268.263,398.1829,83.9782,212.0198,-275.8305,133.5762,2.202943,0.6224799,2.221986,-310.2986,355.1656,45.31027,-468.1003,167.8913,-25.21055,0,0.8543212,0
85.4793,10859,right,2,138.2453,239.8016,5.349351,-174.5626,50.35511,298.1733,0.8900158,-0.7811655,-0.8156316,184.9632,193.9404,35.25434,348.9274,18.28317,120.1438,0,0,0
85.4793,10859,left,2,-265.3959,393.9318,86.1831,137.5359,-196.3296,141.4128,2.232703,0.5961694,2.227332,-308.1889,352.5666,46.51766,-471.5189,172.5313,-30.0106,0.007033343,0.9656876,0
85.49534,10860,right,2,136.4417,240.1335,8.101355,-208.6721,38.40067,318.4083,0.9063296,-0.77149,-0.8353423,183.6372,194.174,37.08355,348.5823,18.18795,119.3519,0,0,0
85.49534,10860,left,2,-263.5887,391.3221,87.12584,209.0943,-301.9449,109.0754,2.250134,0.5725703,2.224969,-307.0332,351.0466,47.02464,-474.1071,175.8631,-32.61883,0,0.9946468,0
85.51221,10862,right,2,132.6626,240.5471,14.64978,-219.4754,29.15959,397.3723,0.9528137,-0.7551916,-0.893932,181.198,194.3714,40.92779,349.2372,18.55863,117.0585,0,0,0
85.51221,10862,left,2,-260.5485,386.0306,88.81595,152.2475,-286.9334,98.77353,2.280792,0.544908,2.223387,-305.0612,347.6033,48.09173,-477.7121,178.8166,-33.43073,0,0.9400681,0
85.5292,10864,right,2,128.2213,240.2989,22.11472,-248.725,-5.641203,446.5123,1.032192,-0.7805249,-0.9598966,177.0385,192.4941,44.69241,347.9297,18.21964,117.9273,0,0,0
85.5292,10864,left,2,-256.8126,380.2846,90.2153,232.2721,-346.2347,78.91405,2.314525,0.524438,2.23124,-301.9274,343.4855,48.73286,-478.7336,178.549,-31.73023,0,0.8380376,0
85.54518,10866,right,2,124.5531,241.904,29.92882,-224.9807,94.88889,468.46,1.107962,-0.8116667,-1.024803,173.2575,192.4974,48.96342,344.8054,18.15164,120.4328,0,0,0
85.54518,10866,left,2,-254.0067,375.9415,92.11159,150.3951,-231.8507,101.2199,2.341165,0.5200951,2.240564,-299.3643,340.3341,49.90617,-476.2053,176.0921,-31.8547,0,0.9229086,0
85.56206,10868,right,2,120.4027,242.4076,38.06479,-247.1436,34.34578,471.8497,1.184723,-0.8409168,-1.097936,169.015,191.6857,53.40537,342.774,18.75659,122.9038,0,0,0
85.56206,10868,left,2,-250.1032,368.7447,92.78313,225.2668,-425.4531,30.04246,2.377057,0.4795252,2.2318,-296.4854,335.0783,50.11904,-472.5836,171.6788,-34.83195,0,1.033755,0
85.57817,10870,right,2,115.7506,241.7852,46.1806,-270.7808,-40.41359,472.3534,1.242998,-0.8356521,-1.181089,165.7256,191.5513,58.20927,344.5793,23.21454,126.0383,0,0,0
85.57817,10870,left,2,-247.1011,361.7939,92.42202,151.864,-399.575,-32.69811,2.417447,0.4414068,2.210176,-295.1533,330.6773,49.6668,-468.355,167.0923,-40.70891,0,1.021692,0
85.59515,10872,right,2,111.7311,241.2277,54.11292,-219.1243,-50.66785,451.8824,1.286136,-0.822827,-1.246285,163.1496,191.9937,63.68799,348.8001,31.46323,132.1754,0,0,0
85.59515,10872,left,2,-243.7299,354.2965,91.85939,152.843,-379.2568,-19.18969,2.463895,0.4109922,2.193089,-293.3211,326.0172,48.87518,-464.5615,164.9715,-49.44915,0,1.052563,0
85.61211,10874,right,2,107.4691,241.0255,61.98028,-254.2315,-42.66548,442.0982,1.329781,-0.8036404,-1.310488,160.5185,193.2178,69.14954,354.2572,43.40277,139.4875,0,0,0
85.61211,10874,left,2,-241.8402,349.0138,91.401,123.1096,-306.1346,-31.29073,2.509082,0.3728729,2.170935,-293.0674,323.49,48.62498,-464.2751,165.3925,-54.42735,0,1.050429,0
85.62792,10876,right,2,104.4659,240.1606,69.99863,-152.0618,-57.14381,465.2753,1.366092,-0.7730572,-1.364171,159.2886,194.2346,75.27137,359.1531,54.02291,148.2201,0,0,0
85.62792,10876,left,2,-240.5448,344.3449,90.99595,57.82936,-272.788,-33.66953,2.557399,0.3328724,2.142795,-293.4616,321.5381,48.84732,-460.8087,161.2479,-57.11806,0,0.982315,0
85.64491,10878,right,2,101.7559,237.6835,77.35184,-151.5747,-166.1539,418.5974,1.404492,-0.7421201,-1.413288,158.1513,193.6238,80.87704,361.8621,60.41351,156.2666,0,0.01456886,0
85.64491,10878,left,2,-238.465,338.5796,90.30534,149.88,-387.578,-56.18143,2.603151,0.3034674,2.124225,-292.5814,318.0378,48.65029,-457.5622,155.7666,-58.00838,0,0.898438,0
85.66162,10880,right,2,98.80392,235.0264,83.38802,-172.0997,-148.5812,324.347,1.433026,-0.7020248,-1.450829,156.9481,193.2552,85.45303,363.4513,63.78819,159.7589,0,0.06533856,0
85.66162,10880,left,2,-236.5639,332.4371,89.16282,99.85615,-337.2429,-70.76019,2.658647,0.2659419,2.103918,-291.8802,314.3458,48.13267,-454.1307,149.3242,-58.49424,0,0.8369712,0
85.67757,10881,right,2,97.95477,233.8225,86.33103,-92.30925,-130.8725,319.9281,1.44337,-0.6643816,-1.468253,157.49,194.0059,87.53609,364.8453,62.99657,156.5797,0,0.09197301,0
85.67757,10881,left,2,-235.1639,328.9246,88.39226,152.1889,-381.8398,-83.76581,2.683469,0.2448191,2.093466,-291.0231,311.8728,47.72161,-452.8445,146.2823,-58.67522,0,0.8257438,0
85.69457,10883,right,2,96.18365,232.2636,91.3792,-74.00559,-39.86106,290.2429,1.462641,-0.6162073,-1.49253,157.5621,195.1667,90.9197,370.3282,65.58756,144.9939,0,0.1684983,0
85.69457,10883,left,2,-231.5776,321.7775,86.41118,202.1453,-434.297,-127.5913,2.707612,0.2241156,2.07194,-288.365,305.7935,46.72377,-447.0438,135.432,-57.11345,0,0.8533724,0
85.71071,10885,right,2,93.8201,229.404,94.92257,-125.3102,-143.483,204.8583,1.484884,-0.5837231,-1.513181,156.3753,194.2899,92.97805,373.6492,67.92123,135.6918,0,0.1450679,0
85.71071,10885,left,2,-228.2432,314.3341,83.76474,191.9324,-451.5306,-160.9354,2.767165,0.179642,2.040408,-286.2707,300.275,45.6083,-436.7583,118.8803,-51.60767,0,0.7854341,0
85.72752,10887,right,2,93.19914,226.938,98.21046,0.4942212,-165.8563,192.6177,1.48768,-0.5511469,-1.518921,156.6972,193.5182,95.69177,373.5984,63.64864,129.2038,0,0.171092,0
85.72752,10887,left,2,-226.1247,307.6295,81.13216,104.1019,-365.3008,-147.4594,2.86408,0.1243645,2.012155,-285.159,296.156,44.27922,-423.9418,103.2869,-48.32784,0,0.6958585,0
85.74445,10889,right,2,91.46193,224.9361,100.0367,-99.52342,-59.92404,98.91026,1.505129,-0.5406179,-1.531024,155.3143,192.2038,96.43801,375.504,66.12871,122.745,0,0.2111816,0
85.74445,10889,left,2,-224.3869,301.0693,78.57948,109.5709,-394.3312,-148.9991,2.9737,0.06774434,1.992547,-284.1115,292.2277,42.592,-416.4974,93.7029,-47.58751,0,0.5844411,0
85.76041,10891,right,2,90.47993,225.6823,101.5841,-12.01432,84.35944,95.35746,1.529052,-0.5487646,-1.545136,154.3408,192.9853,97.14027,380.3229,76.99925,121.2386,0,0.3011369,0
85.76041,10891,left,2,-224.0966,296.1986,76.61356,-13.24004,-247.034,-104.0562,3.091432,0.02015357,1.976015,-284.4612,290.3044,41.37616,-416.6517,92.03923,-49.82704,0,0.508234,0
85.77728,10893,right,2,90.7607,226.7199,102.4165,23.33489,43.09672,32.13619,1.538017,-0.5516772,-1.550515,154.7792,194.2837,97.78577,384.0642,84.54697,120.5974,0,0.4788409,0
85.77728,10893,left,2,-224.7105,292.9699,75.02161,-22.44452,-187.7531,-89.59344,-3.058443,-0.02482038,1.949413,-285.7216,289.8895,41.11491,-410.6033,87.34547,-51.15981,0,0.4160286,0
85.79353,10895,right,2,91.6115,227.7607,102.7429,51.0867,65.16261,15.30101,1.531836,-0.5469856,-1.546886,155.8966,195.7255,98.25046,386.298,87.26561,116.1048,0,0.6100284,0
85.79353,10895,left,2,-223.0482,287.4016,72.78185,134.9764,-355.8006,-138.4677,-2.932861,-0.07184354,1.924094,-284.7905,286.7495,40.33855,-412.2502,84.58231,-49.38081,0,0.3493926,0
85.8101,10897,right,2,92.94753,228.9476,102.7343,84.49383,75.76704,-4.705541,1.522595,-0.5623585,-1.540102,156.8452,195.9967,98.48784,387.1767,86.63625,112.7812,0,0.6768646,0
85.8101,10897,left,2,-219.9578,280.6514,70.02425,165.2295,-386.0429,-172.8713,-2.839682,-0.1049371,1.895282,-282.5877,281.5245,39.28243,-416.215,81.99863,-47.60691,0,0.3492861,0
85.82671,10899,right,2,94.98747,230.975,102.5924,134.8022,125.0324,-9.367651,1.516141,-0.5941448,-1.533383,157.949,196.172,98.69266,386.9295,83.7808,111.7337,0,0.7585726,0
85.82671,10899,left,2,-217.0828,274.4788,67.59991,168.257,-358.7101,-142.321,-2.764456,-0.1240664,1.867788,-280.4534,276.2316,38.57698,-416.3062,76.40086,-44.16137,0,0.3369985,0
85.84396,10901,right,2,98.16267,234.5781,102.994,201.3645,232.789,33.40014,1.513643,-0.6417657,-1.527441,159.5049,196.9142,99.42213,384.5377,76.77568,113.4952,0,0.8505681,0
85.84396,10901,left,2,-214.2667,268.601,65.69817,173.8423,-348.177,-103.3635,-2.70932,-0.1368897,1.854175,-277.9198,270.9733,37.57001,-412.3631,68.8481,-42.06316,0,0.3253335,0
85.85995,10902,right,2,99.88422,236.5494,103.1932,199.0449,227.9196,23.04055,1.515238,-0.663588,-1.526684,160.4012,197.5489,99.67625,382.3725,71.79378,113.988,0,0.8963235,0
85.85995,10902,left,2,-213.1362,265.9502,64.99091,130.7035,-306.4776,-81.77315,-2.692169,-0.1401253,1.849778,-276.8744,268.4955,37.15656,-410.4643,65.35237,-41.43758,0,0.324914,0
85.87637,10904,right,2,103.1071,239.6262,102.9865,190.7492,159.3176,-21.83945,1.522541,-0.7066404,-1.52896,161.9683,198.1318,99.39001,377.8977,62.01505,112.6183,0,0.9426153,0
85.87637,10904,left,2,-210.882,260.7069,63.57399,131.6238,-305.9113,-83.1157,-2.680813,-0.1441923,1.848123,-274.648,263.2931,35.90738,-406.9019,58.2688,-40.26481,0,0.3253073,0
85.89294,10906,right,2,107.2541,245.0277,103.4249,237.4421,311.3416,18.15688,1.518438,-0.7566262,-1.520694,163.7879,200.3834,99.75363,372.045,52.51175,111.0633,0,0.9587839,0
85.89294,10906,left,2,-208.3966,255.5656,62.18106,141.1497,-286.7925,-77.88694,-2.685186,-0.1426964,1.847941,-272.262,258.1595,34.57324,-407.3131,54.60986,-40.88305,0,0.327621,0
85.90981,10907,right,2,109.5136,247.9351,103.5412,258.5281,332.6579,13.30719,1.521114,-0.7860816,-1.520434,164.7342,201.6684,99.7552,369.6868,49.17809,111.0663,0,0.9639931,0
85.90981,10907,left,2,-207.1674,253.1906,61.49316,140.6451,-271.7473,-78.70663,-2.69236,-0.1435873,1.855956,-270.9126,256.0685,33.41195,-409.9634,55.66405,-43.33241,0,0.3215798,0
85.92607,10909,right,2,116.2334,255.9702,102.8713,271.2156,249.0611,-44.76887,1.523868,-0.8661903,-1.515088,167.4636,205.3425,98.91835,360.1873,37.68496,110.5514,0,0.9074371,0
85.92607,10909,left,2,-202.2023,244.7545,59.34325,209.4523,-337.801,-62.04353,-2.733889,-0.1331164,1.872593,-265.7114,247.7256,30.27192,-412.5442,54.44849,-50.1701,0,0.3047542,0
85.94263,10911,right,2,119.8337,260.7661,101.565,221.7731,418.1134,-33.30187,1.536085,-0.9074847,-1.526104,168.9465,208.1459,97.00017,356.0241,34.21137,108.644,0,0.8191061,0
85.94263,10911,left,2,-198.8629,239.2967,58.6335,188.6592,-313.1343,-33.09169,-2.65512,-0.1646824,1.869867,-262.4029,244.1287,29.6821,-417.1338,57.93338,-52.6371,0,0.2362755,0
85.95921,10913,right,2,124.8717,266.5184,100.8765,291.3093,322.1637,-49.13237,1.5526,-0.9590669,-1.544779,171.3327,211.6428,95.59579,352.9815,32.26695,110.2531,0,0.7162385,0
85.95921,10913,left,2,-196.7439,234.8053,58.48851,104.1975,-226.8031,4.795055,-2.615938,-0.1776521,1.871129,-260.2636,240.9682,29.552,-422.2459,61.49754,-53.7476,0,0.195558,0
85.97587,10915,right,2,130.2382,273.4787,100.2252,332.8747,389.1087,-34.98932,1.562589,-1.002607,-1.557921,174.3116,216.7348,94.66306,348.3761,30.44859,114.305,0,0.719808,0
85.97587,10915,left,2,-194.6215,230.6942,58.64358,138.2043,-248.4417,8.2524,-2.631365,-0.1700526,1.87574,-258.1279,236.9833,29.49983,-424.2369,61.7636,-54.71831,0,0.1739617,0
85.99233,10917,right,2,136.0343,279.4622,99.56979,331.0746,314.2074,-50.59005,1.568268,-1.034839,-1.566538,178.2415,221.357,93.72056,346.2031,29.61285,113.9669,0,0.7107694,0
85.99233,10917,left,2,-191.3471,225.9922,58.80123,217.4657,-281.1774,9.556577,-2.665865,-0.1562259,1.882419,-254.8517,231.9658,29.40406,-424.7237,59.81895,-53.63672,0,0.1645775,0
86.0089,10919,right,2,141.6275,285.7394,98.73165,324.0019,373.3201,-54.2882,1.571887,-1.062041,-1.572752,182.1373,226.4492,92.67072,340.3927,26.41229,110.7614,0,0.6948345,0
86.0089,10919,left,2,-187.7758,220.6659,58.74049,180.9783,-289.9521,-2.421449,-2.714582,-0.141909,1.891519,-251.1287,225.705,28.82791,-419.3962,51.61361,-53.42192,0,0.1517446,0
86.02567,10921,right,2,146.8936,291.6142,97.54046,286.2813,286.5313,-86.4677,1.568384,-1.08462,-1.566228,185.9789,231.3504,91.62089,337.9709,26.40214,108.397,0,0.6728913,0
86.02567,10921,left,2,-184.7055,215.7544,59.00653,203.6117,-301.9547,17.96856,-2.754567,-0.1171307,1.89244,-248.0967,220.0651,29.12362,-413.7567,43.61608,-53.39489,0,0.13197,0
86.04204,10923,right,2,151.3849,297.1639,95.91978,284.463,413.0378,-67.67778,1.566895,-1.097251,-1.563175,189.7884,236.45,90.15495,340.3335,30.52215,107.9508,0,0.6662917,0
86.04204,10923,left,2,-181.6188,210.7297,59.95267,149.6468,-267.5926,66.26279,-2.829133,-0.09085138,1.894469,-245.1068,213.4221,29.98246,-409.2762,34.85304,-50.93922,0,0.1523825,0
86.05873,10924,right,2,153.2329,298.9388,94.7331,211.1758,202.822,-135.6044,1.564177,-1.101738,-1.557714,191.3985,238.06,89.15212,342.2487,32.44966,108.0042,0,0.6678526,0
86.05873,10924,left,2,-180.2565,208.6844,60.60075,155.676,-233.7232,74.05783,-2.869731,-0.08249532,1.898437,-243.6998,210.4126,30.43134,-407.0495,29.97367,-47.96163,0,0.1516646,0
86.0757,10926,right,2,156.903,303.8066,92.6171,219.8835,329.2065,-104.6394,1.558718,-1.116312,-1.546004,194.2675,242.4087,87.47456,345.0612,37.13839,110.1057,0,0.6467211,0
86.0757,10926,left,2,-177.4677,204.4919,61.74031,169.3189,-269.9093,52.26739,-2.894066,-0.09030227,1.901505,-241.0062,205.5168,31.56672,-409.5858,26.69196,-39.06905,0,0.1361247,0
86.09174,10928,right,2,160.6104,309.7185,90.61836,202.9338,345.6808,-111.2951,1.549299,-1.132977,-1.524632,197.0565,247.7297,86.21819,347.404,42.7425,113.8349,0,0.6350926,0
86.09174,10928,left,2,-175.0615,200.728,62.63072,140.9393,-212.6994,50.85413,-2.953083,-0.0744058,1.907515,-238.749,200.8888,32.41419,-416.116,28.18566,-31.62782,0,0.1558847,0
86.10866,10930,right,2,164.0774,315.5125,88.74637,194.9853,332.5658,-102.6982,1.550071,-1.151627,-1.524041,199.3584,252.8634,84.38884,345.8476,45.38287,114.0458,0,0.6291395,0
86.10866,10930,left,2,-173.2263,197.3256,64.05767,81.61939,-179.5188,95.30334,-3.017614,-0.0621781,1.91016,-236.9943,196.1653,33.74533,-418.4208,26.55799,-27.11992,0,0.1338934,0
86.12563,10932,right,2,166.7547,319.556,86.91747,121.7093,182.1049,-124.5421,1.554632,-1.166302,-1.532915,200.9973,256.3702,82.16936,344.2899,46.57338,111.1408,0,0.5823292,0
86.12563,10932,left,2,-170.7696,192.184,64.72947,151.3885,-307.0197,35.99305,-3.0875,-0.05011639,1.916755,-234.4728,189.5265,34.1484,-419.3685,22.1373,-22.25443,0,0.09263598,0
86.1415,10934,right,2,168.7179,322.8891,85.21322,106.4699,204.7663,-85.71007,1.566381,-1.191517,-1.559708,201.5934,259.0558,79.88503,344.087,48.96756,110.6311,0,0.4647036,0
86.1415,10934,left,2,-168.3925,188.52,66.19266,103.24,-128.4133,120.9757,-3.11836,-0.04638267,1.925229,-231.8578,185.0159,35.25254,-416.0269,15.49648,-17.01318,0,0.06269898,0
86.158,10936,right,2,170.4289,326.1878,83.56541,86.13644,158.1289,-100.8101,1.57321,-1.198506,-1.576973,202.7325,262.123,77.92776,341.968,50.36089,111.9436,0,0.3491732,0
86.158,10936,left,2,-166.7363,185.2378,67.72303,129.4958,-259.1673,50.83614,3.123985,-0.03584003,1.932413,-229.8911,180.581,36.38175,-409.8618,6.299329,-14.83622,0,0,0
86.17457,10938,right,2,172.7546,330.0819,82.22218,149.162,266.9104,-65.83304,1.580807,-1.208237,-1.597125,204.3248,265.7091,76.17564,339.1768,51.31269,111.3313,0,0.257562,0
86.17457,10938,left,2,-163.2535,180.32,68.73179,203.176,-275.6725,70.06902,3.016826,-0.004047065,1.949298,-225.9247,173.3045,36.55907,-409.3337,2.029569,-12.56174,0,0,0
86.19114,10940,right,2,174.9045,334.6595,81.07336,100.6927,200.4692,-77.73978,1.583536,-1.229076,-1.606482,205.3182,269.7449,74.93492,338.0843,54.11004,110.4538,0,0.2028498,0
86.19114,10940,left,2,-161.8122,177.3622,71.03414,66.73801,-164.6823,140.4683,2.952862,0.01759435,1.957859,-224.3054,169.0536,38.56113,-413.7498,3.683766,-7.811912,0,0,0
86.20837,10942,right,2,176.4273,337.0367,79.95624,81.22004,150.0768,-63.00151,1.584831,-1.235736,-1.61093,206.4223,271.9325,73.73706,337.4145,55.13186,108.7421,0,0.1989133,0
86.20837,10942,left,2,-159.446,173.3965,73.39496,119.7467,-214.0632,145.829,2.935205,0.01660452,1.953573,-222.2038,164.8706,41.33084,-418.0081,5.817791,-0.4986683,0,0,0
86.22437,10944,right,2,177.5984,337.9847,78.97074,83.96208,74.55667,-52.10346,1.587252,-1.238961,-1.618276,207.5033,272.8482,72.65903,338.6497,56.13292,107.6149,0,0.1894525,0
86.22437,10944,left,2,-157.9969,170.3162,76.28316,84.02256,-206.044,146.6562,2.926176,0.01879012,1.947686,-220.7946,161.3992,44.47396,-412.2766,-2.553429,1.567011,0,0,0
86.24127,10946,right,2,178.4182,338.9177,78.11891,40.8349,47.11838,-51.65778,1.588156,-1.248876,-1.622513,207.8467,273.5715,71.73732,340.6213,57.76997,106.1965,0,0.1712406,0
86.24127,10946,left,2,-157.7184,167.4677,78.74653,-22.08661,-137.7057,160.0188,2.933553,0.01137382,1.938665,-220.6127,158.4517,47.25442,-406.2603,-11.36593,1.606484,0,0,0
