Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
496.0675,58186,left,1,-54.31166,157.7245,15.8607,74.31263,-212.5593,-3.44393,-2.019593,-0.4887292,1.807927,-117.0938,182.8604,-6.841371,-348.7168,72.03372,-45.75863,0,0.9091429,0
496.0836,58188,left,1,-55.30029,157.4318,16.38448,-13.39616,-80.75847,36.26706,-2.033726,-0.5132182,1.833118,-116.9684,184.4513,-7.018164,-354.0902,82.99192,-37.44109,0,0.8217309,0
496.1004,58190,left,1,-54.63298,156.0129,16.98297,47.58408,-78.9844,34.0584,-2.042236,-0.4979831,1.831093,-116.614,182.716,-6.182822,-356.115,86.05158,-33.41483,0,0.8556928,0
496.1167,58192,left,1,-53.41868,153.9157,17.2362,73.64914,-126.9083,8.471523,-2.053951,-0.4748394,1.825657,-115.9555,179.8159,-5.677634,-357.0149,86.90889,-32.22887,0,0.8404836,0
496.1333,58194,left,1,-52.18176,151.8651,17.44527,69.91277,-95.28832,9.696599,-2.069466,-0.4536808,1.820341,-115.3636,176.659,-5.346976,-357.7861,87.48306,-32.27857,0,0.8534647,0
496.1499,58196,left,1,-51.07776,150.901,17.61574,62.745,-53.70869,11.49983,-2.084001,-0.4190078,1.806499,-115.2807,173.9377,-4.567315,-358.2067,85.9267,-30.78409,0,0.8958431,0
496.1664,58198,left,1,-49.96243,150.4924,17.91254,65.54284,-21.20634,20.85302,-2.091727,-0.393487,1.794152,-114.9209,172.1745,-3.763809,-357.8386,84.51886,-31.21943,0,0.9619868,0
496.183,58200,left,1,-49.10514,150.196,18.11101,41.966,-8.618523,11.58518,-2.094422,-0.3816207,1.788054,-114.4012,171.3336,-3.309506,-357.8401,85.44592,-31.71926,0,1.017351,0
496.1996,58202,left,1,-48.29799,150.2439,18.35301,52.28157,5.360948,17.21123,-2.106167,-0.3631865,1.781561,-114.0707,170.405,-2.865833,-357.8893,86.28704,-33.24677,0,1.077777,0
496.2161,58204,left,1,-47.18336,150.2161,18.76643,70.89734,-1.633808,22.25279,-2.148245,-0.3357044,1.780195,-113.541,168.5422,-2.708038,-356.9387,84.7972,-37.21378,0,1.160675,0
496.2328,58206,left,1,-46.02767,151.0152,19.27817,66.12115,60.36341,29.57958,-2.197572,-0.3049333,1.779671,-112.8513,167.485,-2.494579,-354.2205,80.42125,-42.58315,0,1.236077,0
496.2498,58208,left,1,-44.9555,152.1362,19.78001,53.55471,68.66048,25.11032,-2.256285,-0.2683854,1.777197,-112.2528,166.58,-2.199699,-350.765,75.23507,-49.25655,0,1.333795,0
496.2659,58209,left,1,-44.49312,152.6874,20.05913,53.84061,64.1877,32.50125,-2.286679,-0.2487385,1.773682,-112.0611,166.0626,-1.928534,-349.0639,73.1963,-53.42448,0,1.375926,0
496.2828,58211,left,1,-43.4212,153.5482,20.78983,65.0409,42.03501,49.45069,-2.358478,-0.2053211,1.761471,-111.656,164.4424,-0.924542,-345.8719,69.80722,-61.20199,0,1.362643,0
496.299,58213,left,1,-42.58755,154.0425,21.72332,43.53963,29.73614,57.0819,-2.440696,-0.1686124,1.747899,-111.4484,162.3439,0.4926692,-343.4496,65.21687,-64.22278,0,1.043134,0
496.3155,58215,left,1,-42.69199,155.9854,22.95594,-24.41417,118.9727,73.24152,-2.586789,-0.12322,1.730729,-112.273,160.98,2.605817,-343.9459,62.82141,-61.72821,0,0.6781861,0
496.3321,58217,left,1,-43.14382,158.8805,24.19111,-22.42633,174.489,73.71007,-2.724209,-0.0897871,1.720885,-113.1309,161.9955,4.585459,-346.7984,66.04272,-55.73794,0,0.2593369,0
496.3487,58219,left,1,-43.81372,161.401,25.15456,-42.80446,141.5527,54.20516,-2.92704,-0.05182056,1.706529,-114.3201,162.6874,6.697514,-354.0017,78.08294,-46.60443,0,0.1282044,0
496.3652,58221,left,1,-43.87387,161.8358,25.93884,-2.933588,-0.3394951,50.58656,2.968842,-0.001470027,1.699277,-114.7516,160.571,8.235612,-362.126,95.39303,-36.53098,0,0.0272763,0
496.382,58223,left,1,-44.21386,162.191,27.05559,-16.1428,30.85218,68.03197,2.685323,0.0391259,1.705326,-114.9945,158.3545,9.121817,-364.2799,98.17156,-31.87923,0,0,0
496.399,58225,left,1,-44.15476,163.8608,28.30353,3.549309,121.8327,75.63464,2.472846,0.08060511,1.708706,-114.7217,157.2358,10.28839,-363.521,93.43742,-28.11721,0,0,0
496.415,58227,left,1,-43.98807,166.3824,29.70113,12.50744,148.4188,78.69823,2.304099,0.1254535,1.712611,-114.1749,156.6039,11.58265,-362.5277,89.46791,-23.91329,0,0,0
496.4315,58229,left,1,-43.93998,168.0371,30.83491,-2.28122,77.70694,61.0015,2.227067,0.1534018,1.716823,-113.7525,156.1879,12.42397,-361.6512,87.99913,-24.22069,0,0,0
496.4481,58230,left,1,-44.08606,168.6866,31.41933,-16.78473,74.62244,67.15179,2.229319,0.1565084,1.721959,-113.7222,156.4144,12.58906,-361.0198,87.49708,-26.66106,0,0,0
496.4646,58232,left,1,-44.45386,169.6443,32.74198,-28.55688,48.81862,80.80145,2.265567,0.1579856,1.739613,-113.598,156.7097,12.57402,-358.0995,82.47002,-33.83546,0,0,0
496.4812,58234,left,1,-45.379,170.8458,34.03415,-61.54462,89.32612,72.16191,2.314797,0.1576491,1.760789,-113.9417,157.2767,12.48928,-353.6816,70.85291,-37.53068,0,0,0
496.4978,58236,left,1,-46.40073,171.9017,34.82702,-53.69932,30.45295,30.57256,2.33269,0.16244,1.774503,-114.4563,157.4036,12.50523,-348.5426,56.58424,-37.34865,0,0,0
496.5143,58238,left,1,-47.09756,171.4998,34.84628,-38.10611,-34.61329,-3.736141,2.371099,0.1542294,1.778903,-115.1005,157.4083,12.34708,-345.1335,46.81881,-35.62277,0,0,0
496.5309,58240,left,1,-47.86438,170.8973,34.66858,-43.55239,-30.96951,-11.37,2.44592,0.1331601,1.781528,-115.9559,158.0692,12.01094,-340.9845,37.47858,-35.59512,0,0,0
496.5477,58242,left,1,-48.61683,170.521,34.16196,-44.93049,-26.44227,-36.04099,2.573226,0.1038944,1.783937,-116.9055,160.009,11.37644,-336.73,30.32811,-36.64831,0,0,0
496.5645,58244,left,1,-48.44815,169.7585,33.55227,7.673665,-45.88986,-43.84401,2.832288,0.04356452,1.789243,-116.8563,163.0358,10.41799,-331.2782,24.5883,-37.55982,0,0,0
496.5806,58246,left,1,-48.31651,167.9202,32.39276,6.622552,-127.2745,-72.67889,3.059595,-0.00507834,1.784061,-116.8469,164.2143,9.474272,-327.4041,20.57571,-40.325,0,0.01095601,0
496.5975,58248,left,1,-48.39535,165.275,31.21436,-11.64382,-135.7021,-70.29871,-3.050122,-0.04850714,1.787883,-116.8112,163.7607,7.796252,-328.264,23.05483,-46.38754,0,0.5023362,0
496.6137,58250,left,1,-49.29465,164.5733,29.99941,-61.73942,-2.87933,-68.34628,-2.945984,-0.07134208,1.79112,-117.5948,164.7545,6.150271,-330.5139,28.97495,-54.47707,0,0.9098853,0
496.6305,58251,left,1,-50.01579,165.3745,29.38735,-82.92715,92.13219,-70.38368,-2.893531,-0.07827545,1.792854,-118.2384,166.5934,5.40659,-331.4477,32.59886,-58.10378,0,1.043767,0
496.6474,58253,left,1,-51.6305,167.4286,28.07654,-80.42193,90.85471,-80.38282,-2.756241,-0.1052655,1.792999,-119.674,170.9739,4.047265,-332.6869,38.57851,-63.3566,0,1.185783,0
