Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
606.8324,70951,right,2,113.6816,259.5356,125.7814,23.54941,18.20831,-91.88196,1.771517,-1.179152,-1.996876,149.5147,200.8252,108.1569,325.8719,20.35854,101.8698,0,0.6504865,0
606.8324,70951,left,2,-157.4943,272.063,105.3092,-29.295,5.072798,110.5447,1.807608,1.128525,2.094046,-187.92,211.8625,82.96962,-335.5971,10.74718,44.84262,0,0,0
606.8484,70953,right,2,114.263,259.8363,124.0435,25.24508,-6.465876,-110.3622,1.760037,-1.177486,-1.975073,150.1125,200.9343,107.0836,326.186,20.1448,102.3011,0,0.6651075,0
606.8484,70953,left,2,-157.6819,271.6642,107.2821,-16.37454,-23.44469,122.455,1.81337,1.122683,2.099573,-188.2489,211.6609,84.59457,-335.2306,10.3244,44.97686,0,0,0
606.8654,70955,right,2,115.1018,260.9033,122.4268,61.31441,58.58548,-93.50488,1.745626,-1.174151,-1.945085,151.0552,201.7992,106.3699,325.2765,19.17573,104.0915,0,0.6667309,0
606.8654,70955,left,2,-157.4477,271.0939,109.484,29.98876,-49.51875,124.8447,1.821535,1.10932,2.094258,-188.9828,211.724,86.40137,-335.8361,10.84936,44.0565,0,0,0
606.8815,70957,right,2,115.973,261.2896,120.3877,60.74502,31.15245,-115.1822,1.730979,-1.169528,-1.913428,152.1373,202.0602,105.286,325.7773,18.87367,106.4812,0,0.6657676,0
606.8815,70957,left,2,-157.1442,270.6146,112.014,16.72972,-21.26525,146.7129,1.828694,1.103284,2.09804,-189.126,211.6476,88.46182,-336.5343,12.10449,41.95445,0,0,0
606.8983,70959,right,2,117.0721,261.5417,118.1285,51.14198,1.770235,-143.2546,1.712694,-1.16146,-1.871196,153.7305,202.2969,104.3506,326.7272,18.64446,111.6658,0,0.6471152,0
606.8983,70959,left,2,-156.6058,270.0702,114.3344,21.22881,-26.92468,131.367,1.834383,1.094111,2.096596,-189.1008,211.5165,90.40101,-336.7217,13.10168,39.91147,0,0,0
606.9146,70961,right,2,117.5844,261.4572,115.3645,25.36863,-18.46615,-175.321,1.695653,-1.156241,-1.834232,154.4623,202.0797,102.8741,325.1518,16.73446,117.767,0,0.6184321,0
606.9146,70961,left,2,-156.3518,270.0307,116.3172,6.420065,12.8784,113.8897,1.840762,1.093554,2.104861,-188.9771,211.702,91.98523,-336.2501,13.7449,38.75688,0,0.05451244,0
606.9321,70963,right,2,117.8374,261.5339,112.1742,23.27076,-12.2455,-186.0036,1.673089,-1.148692,-1.785553,154.9627,202.0109,101.0941,323.1021,14.65753,119.4634,0,0.5970553,0
606.9321,70963,left,2,-156.1662,270.4854,117.5497,30.10426,18.65393,47.19757,1.84622,1.090333,2.111234,-188.8336,212.3322,92.82568,-335.1698,14.54315,36.48029,0,0.08631202,0
606.9478,70964,right,2,118.0501,261.4989,110.499,24.27228,-4.002806,-191.2381,1.661764,-1.146724,-1.762021,155.2823,201.9059,100.142,323.4385,14.7641,120.4152,0,0.6003417,0
606.9478,70964,left,2,-155.9088,270.7518,117.7249,29.37676,30.41554,20.00879,1.84887,1.091311,2.117922,-188.4126,212.5968,92.77709,-334.1097,14.82338,34.74613,0,0.09657541,0
606.965,70966,right,2,118.373,261.2112,107.0006,25.34993,-6.359655,-195.2356,1.637339,-1.144475,-1.711951,155.5065,201.2967,98.05045,320.9083,11.86917,119.708,0,0.594959,0
606.965,70966,left,2,-155.2073,270.6403,117.4766,44.18906,-15.29982,-21.55949,1.852426,1.090776,2.123952,-187.6403,212.5661,92.21796,-332.5078,15.1227,31.06996,0,0.1072174,0
606.981,70968,right,2,118.7044,260.9193,103.2783,33.90276,6.027282,-207.9603,1.613242,-1.144795,-1.662163,155.8461,200.8004,95.88081,323.8224,14.30389,122.5748,0,0.6025702,0
606.981,70968,left,2,-154.2166,270.4603,116.2595,60.31393,-1.518625,-86.60612,1.854903,1.080031,2.111496,-187.5148,212.8811,90.9686,-333.479,16.58305,28.7502,0,0.08164789,0
606.9974,70970,right,2,119.0075,261.0756,99.39777,29.44488,2.394172,-224.0469,1.590618,-1.150611,-1.614667,156.159,200.8152,93.40125,332.9116,23.01217,122.6275,0,0.6015808,0
606.9974,70970,left,2,-152.9795,270.4257,113.8764,80.24828,-12.98396,-154.9375,1.852854,1.078219,2.109295,-186.2583,212.8068,88.66478,-334.6064,18.17056,26.86524,0,0.05539932,0
607.014,70972,right,2,119.2685,260.9127,95.36994,7.039262,-16.97649,-242.391,1.566485,-1.146864,-1.561219,156.7906,200.7367,90.73544,339.8065,29.1223,118.3623,0,0.6086767,0
607.014,70972,left,2,-152.1852,270.5,110.7808,50.52655,-1.994739,-193.4483,1.848611,1.077243,2.105383,-185.285,212.6998,85.76849,-334.6937,18.52427,25.08472,0,0.02766595,0
607.0309,70974,right,2,119.6968,260.5468,91.47459,12.84648,-23.30684,-221.9435,1.535216,-1.136812,-1.49253,157.6287,200.4773,88.46866,344.1725,32.16249,112.5742,0,0.6155641,0
607.0309,70974,left,2,-151.6738,271.116,107.3097,45.92035,13.59257,-222.1281,1.843447,1.074389,2.096277,-184.7567,213.1677,82.64964,-334.3657,18.28099,24.8058,0,0.02724237,0
607.0471,70976,right,2,119.9387,259.904,87.49199,-2.060774,-45.55932,-227.4006,1.504488,-1.129353,-1.425544,158.1179,199.9121,86.26638,348.0701,35.52664,110.8662,0,0.6021228,0
