Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
52.00663,6065,left,2,-264.1173,224.198,75.89946,158.9742,-96.67828,-95.49094,1.830654,1.312434,2.697659,-276.4461,157.622,52.98164,-393.1893,-69.68469,74.90703,0,0,0
52.00663,6065,right,2,143.9635,273.1676,103.9459,141.3562,225.9219,563.7739,1.232105,-0.7945263,-1.242502,197.5127,225.3446,112.8239,371.465,41.49383,154.267,0,0.749941,0
52.02296,6067,left,2,-262.936,223.0686,74.12469,47.73351,-59.63723,-104.9428,1.824006,1.321716,2.683746,-274.8828,156.1815,51.68819,-376.5264,-78.07376,75.5852,0,0.01004396,0
52.02296,6067,right,2,146.6104,276.7957,113.3261,140.8484,226.4281,526.525,1.285719,-0.7977129,-1.296234,199.8491,228.3056,119.5558,364.923,36.24656,160.0772,0,0.9265661,0
52.03953,6069,left,2,-262.7184,222.9204,72.60806,11.94497,7.158736,-78.16367,1.82037,1.340818,2.727431,-273.0819,155.6225,50.63427,-355.8537,-85.19637,81.18176,0,0.06947373,0
52.03953,6069,right,2,151.5795,281.5556,122.6466,313.3795,245.6092,531.193,1.352377,-0.801721,-1.356994,204.2975,232.2564,125.7368,364.7589,35.26894,160.753,0.01685078,1.125768,0
52.0561,6071,left,2,-260.45,222.7352,71.13771,166.1068,-24.06143,-89.72137,1.817664,1.34559,2.750283,-270.1986,155.2931,49.44015,-351.8264,-85.45685,83.41654,0,0.04973699,0
52.0561,6071,right,2,156.5709,283.4628,130.8949,325.9484,154.75,496.4892,1.414967,-0.8086954,-1.415336,208.6203,233.3767,130.8864,368.0235,34.38307,158.639,0,1.336861,0
52.0734,6073,left,2,-256.4573,220.3226,68.91652,230.0566,-150.7912,-127.2261,1.809205,1.344689,2.743306,-266.2641,152.7508,47.68416,-355.6522,-85.27079,81.35184,0,0.03525361,0
52.0734,6073,right,2,160.5751,284.4672,137.9282,267.4343,110.0886,389.6354,1.470381,-0.7977461,-1.472361,212.4088,234.2623,134.9471,371.069,33.77364,155.1784,0,1.473647,0
52.08935,6075,left,2,-256.0551,219.297,67.01891,-44.50033,-26.17178,-104.6011,1.798305,1.372303,2.798993,-264.6962,151.3495,46.45713,-350.76,-87.68739,81.56274,0,0.05722393,0
52.08935,6075,right,2,166.0463,286.9312,144.8648,348.4286,213.6937,419.995,1.502385,-0.7785469,-1.505789,218.1729,237.1466,139.9527,379.5854,38.11376,150.4393,0,1.499404,0
52.1058,6076,left,2,-256.5854,219.0961,66.15114,-60.86445,-23.06063,-99.60586,1.794409,1.383719,2.833598,-264.3303,150.9454,45.91866,-343.3167,-90.10755,83.76919,0,0.06698491,0
52.1058,6076,right,2,169.1562,288.4336,148.4679,356.9681,172.4482,413.5782,1.518981,-0.7750239,-1.521582,221.2444,238.6734,142.6279,387.0338,43.07554,148.4083,0,1.468386,0
52.12236,6078,left,2,-256.766,219.3221,64.75907,15.08481,28.91949,-72.3909,1.798166,1.387068,2.861388,-263.7653,151.1346,44.51415,-333.1446,-91.99749,87.54149,0,0.09329867,0
52.12236,6078,right,2,174.9461,290.1977,154.2979,361.3993,126.298,339.323,1.550295,-0.7664027,-1.551359,226.7547,240.3222,146.7,400.3256,51.54203,143.0597,0,1.397319,0
52.13923,6080,left,2,-254.2226,218.9509,63.0974,196.5195,-70.04356,-110.4751,1.796751,1.382736,2.842802,-261.6646,150.7962,42.91584,-336.383,-90.84167,85.41705,0,0.05219907,0
52.13923,6080,right,2,178.8524,291.3555,159.7415,232.824,80.99072,309.7828,1.609262,-0.747633,-1.607673,229.9745,241.2768,149.4498,407.8035,56.66307,140.925,0,1.334595,0
52.1555,6082,left,2,-252.1013,217.407,61.22488,65.65434,-54.77361,-94.9917,1.787211,1.391586,2.847051,-259.5131,149.083,41.5658,-338.9795,-91.16672,83.3175,0,0.05534889,0
52.1555,6082,right,2,183.8708,292.7128,164.2238,252.5402,44.32058,219.3953,1.64683,-0.7201484,-1.64259,234.9557,242.9778,152.3921,415.8844,61.40273,143.8287,0,1.282595,0
52.17215,6084,left,2,-254.0008,218.7798,60.05745,-168.7838,142.5483,-56.94261,1.771071,1.444905,3.004726,-258.8905,149.9077,41.44994,-326.4641,-93.45315,86.02954,0,0.100748,0
52.17215,6084,right,2,187.8323,293.2759,168.1286,222.9839,22.80633,205.436,1.70151,-0.6930204,-1.694519,238.5779,243.8454,154.2498,422.4426,65.05583,151.7822,0,1.221224,0
52.18863,6086,left,2,-256.6353,221.4166,59.5902,-142.5249,149.4284,-13.22114,1.76263,1.483765,3.131008,-259.6369,152.2357,41.80716,-310.5323,-93.68592,93.86742,0,0.1491604,0
52.18863,6086,right,2,190.5541,294.6779,171.9964,139.5963,98.61165,236.4477,1.752058,-0.6702399,-1.744037,240.7635,245.4106,156.2251,426.648,68.74966,160.2136,0,1.243287,0.01167811
52.2052,6088,left,2,-258.1922,222.9469,59.52357,-76.42306,83.62992,-3.723899,1.772655,1.459001,3.00531,-262.8372,154.0084,41.37567,-311.6504,-91.24693,98.34188,0,0.1307952,0
52.2052,6088,right,2,192.5192,296.1946,175.2264,109.5335,78.28778,174.1577,1.797248,-0.6454259,-1.788691,242.2238,247.1563,157.531,430.9399,73.52087,161.4049,0,1.228652,0
