Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
285.2521,32949,left,1,-92.24106,176.0344,12.58005,2.248038,-1.478959,-1.974587,0.9594481,0.2881113,1.354167,-159.5865,154.5726,19.17159,-337.6094,-26.1102,35.57483,1,3.141593,0.6635233
285.269,32951,left,1,-92.25526,176.0541,12.57887,-1.431352,1.800516,0.8479446,0.9591036,0.2879957,1.354169,-159.6097,154.6113,19.16815,-337.837,-25.87101,35.55872,1,3.141593,0.6630826
285.2859,32953,left,1,-92.17883,175.9644,12.53832,3.382532,-3.046417,-2.826285,0.9589637,0.287722,1.354278,-159.5448,154.5478,19.12123,-338.007,-25.70559,35.47528,1,3.141593,0.663477
285.3019,32955,left,1,-92.02335,175.9607,12.5422,9.931978,0.3011647,0.1565559,0.9604772,0.2871543,1.355145,-159.3995,154.5675,19.07331,-337.8283,-25.74096,35.18265,1,3.141593,0.6648703
285.3184,32957,left,1,-91.85818,175.9999,12.54694,7.380347,0.8042021,2.736201,0.9624521,0.2860105,1.356511,-159.2409,154.6349,18.99041,-337.1458,-26.24103,34.52162,1,3.141593,0.6669413
285.335,32959,left,1,-91.66937,175.9636,12.52675,11.65055,-2.062908,-0.7291591,0.96328,0.2843601,1.357782,-159.0537,154.6365,18.88503,-335.9847,-27.25057,33.71784,1,3.141593,0.6697793
285.3517,32961,left,1,-91.34424,175.8379,12.53841,21.50688,-6.904969,0.4661984,0.9610099,0.2818455,1.358691,-158.7404,154.6007,18.82184,-334.4651,-28.51627,32.83957,1,3.141593,0.6738197
285.3687,32963,left,1,-90.81755,175.5952,12.5358,33.57899,-17.1113,-1.631474,0.9576376,0.2814087,1.357656,-158.1968,154.3478,18.85211,-333.1689,-29.53636,32.22484,1,3.141593,0.6698728
285.3847,32964,left,1,-90.45444,175.401,12.4326,42.03624,-22.47708,-11.9473,0.952524,0.2811874,1.35538,-157.8248,154.1586,18.87683,-332.848,-29.691,32.05579,1,3.141593,0.6629836
285.4012,32966,left,1,-89.65645,174.8949,11.93469,42.69434,-22.3975,-33.647,0.9301323,0.279763,1.346275,-157.0437,153.7929,18.90027,-333.6362,-28.56356,31.88843,1,3.141593,0.6452153
285.4185,32968,left,1,-88.75301,174.1687,11.246,54.3196,-48.62009,-40.1996,0.9133672,0.2731217,1.341295,-156.2944,153.5544,18.58187,-336.8737,-24.83746,31.80747,1,3.141593,0.6345731
285.4345,32970,left,1,-88.3527,173.787,10.71811,6.552855,-7.013124,-25.11182,0.9023091,0.2698452,1.337588,-156.0359,153.542,18.30884,-341.1211,-20.14801,31.82667,1,3.141593,0.6429124
285.4509,32972,left,1,-87.59698,173.0727,10.47967,61.47608,-46.87052,-14.43569,0.9326645,0.2669965,1.352197,-155.4751,153.1338,17.33653,-343.5838,-17.15226,32.34439,1,3.141593,0.6573167
285.4675,32974,left,1,-87.43739,173.793,10.43176,-20.85804,88.65639,-4.945526,1.021064,0.2806622,1.378408,-155.1379,152.9311,15.91989,-340.8215,-19.81762,32.85944,1,3.141593,0.6641788
285.4843,32976,left,1,-88.27365,173.1669,10.69348,-39.77489,-56.48608,5.594976,1.026852,0.2716391,1.386691,-156.0831,152.813,15.97398,-339.9693,-21.2514,38.22058,1,2.834877,0.6814269
285.5013,32978,left,1,-86.33398,169.166,8.927133,153.9313,-302.2827,-113.1336,0.9800796,0.2588622,1.380839,-154.4755,150.0593,14.93036,-343.3063,-16.43504,50.00247,0.9028176,2.314955,0.5313233
285.5173,32980,left,1,-83.22109,162.4122,6.938806,164.4662,-392.8047,-100.4185,0.8502023,0.1969678,1.383538,-152.4618,147.8596,13.22386,-352.5657,-2.410495,57.77534,0.5592868,1.862839,0.2560676
285.5338,32982,left,1,-83.94167,157.4924,6.96119,-104.7905,-266.8571,38.35048,0.5677876,0.1142188,1.377022,-154.1093,148.8722,13.87132,-365.6015,16.84715,63.34751,0.1176649,1.29944,0.02947102
285.5504,32984,left,1,-87.31514,156.0433,8.161054,-150.8582,-13.03945,65.69338,0.3380486,0.08563667,1.352136,-157.6875,150.2096,16.4889,-375.6835,31.4232,71.03266,0,0.9847447,0
285.5673,32986,left,1,-89.66991,157.0627,9.22915,-137.4499,82.85105,60.55141,0.239264,0.07827973,1.334545,-160.0054,152.211,18.60221,-379.2012,37.08317,76.10235,0,0.8895317,0
285.5835,32987,left,1,-90.88445,157.9787,9.794395,-139.378,105.1171,64.86638,0.2371728,0.08260188,1.330501,-161.2061,153.0193,19.35682,-380.8262,38.61022,76.67226,0,0.859238,0
285.6003,32989,left,1,-93.04417,160.3454,10.80746,-119.796,146.2304,56.13104,0.2905254,0.1044414,1.33097,-163.3795,154.4025,20.19464,-384.4648,42.64618,77.10925,0,0.7773689,0
285.6172,32991,left,1,-95.55099,163.8012,11.73875,-159.6866,220.216,53.09324,0.3761594,0.1252021,1.33545,-165.8622,156.6285,20.81083,-387.8567,46.63324,77.61703,0.008593566,0.7201443,0
285.6332,32993,left,1,-98.55508,168.0659,12.80219,-166.4269,232.4713,65.10964,0.5108322,0.1553538,1.337548,-168.7251,158.8593,21.66201,-391.7408,49.58137,75.78919,0,0.7250338,0
285.6497,32995,left,1,-100.7124,170.3802,13.85627,-126.7956,114.8238,54.27004,0.6096043,0.1810725,1.344734,-170.7847,159.5626,22.07258,-394.8283,50.60511,72.4732,0,0.7102241,0
285.667,32997,left,1,-103.7289,172.9465,14.66912,-187.1102,158.2154,46.11029,0.64527,0.1791804,1.350468,-173.7953,161.8576,22.50044,-397.4587,50.33221,68.80688,0,0.5201397,0
285.683,32999,left,1,-106.8325,175.4862,15.55121,-149.7877,108.9491,48.97517,0.6296227,0.1658579,1.352643,-176.9192,164.6996,23.1123,-397.8754,45.43416,62.62921,0,0.366201,0
285.7,33001,left,1,-108.7073,177.108,16.41771,-83.87502,82.4406,47.49949,0.6041892,0.1518997,1.359819,-178.8949,166.9659,23.43778,-398.2645,43.67275,59.26003,0,0.3025424,0
285.716,33003,left,1,-110.6377,179.7893,17.24981,-118.5047,175.1872,47.77941,0.6024505,0.1471234,1.363274,-180.8507,169.8292,24.06694,-399.6056,45.2131,59.0612,0,0.2871604,0
285.7326,33005,left,1,-113.3306,183.2376,18.18684,-161.4865,201.1658,56.55506,0.6188151,0.1480656,1.36112,-183.4771,173.0126,25.20703,-401.4666,46.89083,59.57742,0,0.2904927,0
285.7491,33006,left,1,-114.5983,184.9722,18.6098,-146.475,200.4182,48.86841,0.6306399,0.1520502,1.359447,-184.67,174.3868,25.73927,-401.4203,46.12261,60.01905,0,0.34982,0
285.7658,33008,left,1,-116.5065,187.7782,19.80295,-115.8555,178.7315,75.43716,0.699204,0.1778807,1.359387,-186.3254,175.5438,26.89816,-400.6846,43.74635,62.77349,0,0.4569735,0
285.7829,33010,left,1,-117.9949,190.3796,20.77518,-63.30776,139.1592,42.40143,0.7861657,0.218861,1.354627,-187.3685,175.6717,28.08484,-400.1275,41.9139,66.16253,0,0.4827325,0
285.7989,33012,left,1,-118.3405,192.4401,21.1541,-14.04101,126.0624,14.57892,0.8516718,0.257101,1.344485,-187.1914,175.4333,29.08646,-400.0565,42.652,69.89194,0,0.5390499,0
285.8154,33014,left,1,-118.9679,195.8329,21.22665,-38.89229,215.6955,-0.0450328,0.8964415,0.2891713,1.331709,-187.2328,176.7408,29.9427,-399.6874,43.79102,72.34032,0,0.606157,0
285.832,33016,left,1,-120.3192,200.8376,21.61713,-89.43002,308.3433,23.27902,0.9353072,0.3103614,1.325914,-188.1502,180.2689,30.72654,-401.1594,48.36937,73.66328,0,0.6595924,0
285.8487,33018,left,1,-121.7504,205.866,21.80717,-66.73508,280.3182,3.611459,0.9976447,0.3473303,1.321967,-188.801,182.8035,31.16724,-401.6483,51.01144,75.30173,0,0.7645378,0
285.8651,33020,left,1,-122.6163,209.5023,22.06924,-57.94305,210.407,24.36468,1.078646,0.3931706,1.325028,-188.5652,183.2799,31.35124,-400.6584,50.86161,77.29777,0,0.9273161,0.02940871
285.8817,33022,left,1,-123.6282,212.6823,22.55178,-47.51085,170.1031,26.56132,1.154262,0.4439636,1.33274,-188.151,182.935,31.39237,-395.7899,43.61649,77.37103,0.1717294,1.187061,0.2347719
285.8987,33024,left,1,-125.4602,216.6656,23.51974,-115.5096,225.1016,57.20555,1.226041,0.4972295,1.345149,-188.0901,182.9469,31.53177,-384.8644,27.00996,71.59788,0.3325825,1.518383,0.478313
285.9148,33026,left,1,-126.8913,218.6762,24.24513,-59.85719,40.39169,19.26659,1.278783,0.5375866,1.362868,-187.9519,182.0652,31.0218,-370.7976,8.215397,62.41291,0.3357775,1.651326,0.6345153
285.9314,33028,left,1,-128.5375,218.7653,25.04565,-116.1137,10.81291,51.1053,1.311054,0.5709841,1.374661,-188.3934,180.1577,31.00239,-361.6617,-3.641552,59.94455,0.3736503,1.77428,0.7261345
285.9485,33029,left,1,-129.609,219.213,25.65594,-121.9613,50.96087,69.4612,1.320989,0.5880812,1.376739,-188.8267,179.6341,31.38772,-357.4064,-8.384655,60.90943,0.4368611,1.850299,0.7804074
285.9645,33031,left,1,-130.2715,221.0944,26.60114,-38.52889,144.1843,65.53393,1.331906,0.6004178,1.381202,-188.8428,180.6437,32.12748,-348.9679,-14.40106,63.09855,0.5452073,2.051646,0.8786305
285.9814,33033,left,1,-133.4696,225.0502,28.08427,-286.3581,256.9553,116.2821,1.355312,0.6391702,1.388801,-190.6498,182.5712,32.73756,-342.6248,-19.51628,59.30838,0.775477,2.405608,0.9268816
285.9977,33035,left,1,-139.0001,229.8025,30.09405,-339.9926,294.2652,122.0237,1.384424,0.6930746,1.39888,-194.1974,184.6666,33.67306,-337.5058,-24.06761,56.79124,0.8970159,2.566758,0.9616024
286.0143,33037,left,1,-144.6698,234.7043,31.93871,-356.0275,299.5212,100.8431,1.400542,0.7488422,1.39854,-197.6373,186.8719,34.77251,-333.6142,-27.01697,54.86054,0.946369,2.639623,0.9832872
286.0308,33039,left,1,-150.8711,239.8848,33.86298,-329.2867,277.7846,116.653,1.408341,0.7905978,1.394271,-201.8261,189.9019,36.22993,-326.9142,-30.83811,52.61732,0.9992583,2.724437,0.9696538
286.0474,33041,left,1,-155.4616,242.7249,35.59934,-249.5013,151.1698,97.1679,1.423391,0.8655303,1.387402,-202.993,189.3717,37.35878,-319.857,-35.93414,52.25158,1,2.921617,0.8528329
286.0639,33043,left,1,-159.3209,246.1182,37.19668,-208.2625,200.71,88.82631,1.436267,0.932192,1.380275,-203.4487,189.8756,38.54539,-309.5493,-40.68216,53.62879,1,3.066248,0.7449111
286.0805,33045,left,1,-164.2442,250.8917,38.89728,-264.4652,250.508,96.1805,1.440169,0.9748504,1.367966,-205.9297,192.811,40.22379,-302.1451,-42.1312,53.87981,1,3.141593,0.6854666
286.0971,33047,left,1,-167.4638,255.128,40.40748,-146.3692,215.5954,82.87862,1.4471,0.9982831,1.368986,-207.8349,196.1296,41.51086,-298.6072,-40.9029,56.266,1,3.141593,0.5727337
286.114,33049,left,1,-170.9162,258.2705,41.99006,-209.8872,189.1695,98.32791,1.445133,1.046649,1.343598,-208.8109,197.5858,43.37278,-299.7486,-39.07543,62.43911,1,3.141593,0.5259694
286.1302,33050,left,1,-172.4416,259.3192,42.94604,-177.3877,121.9507,111.1738,1.448878,1.064865,1.341095,-209.4856,198.0841,44.26059,-302.0794,-37.74556,65.5322,1,3.141593,0.5257817
286.1469,33052,left,1,-176.1933,262.1122,45.18432,-190.0568,143.7624,127.6604,1.465646,1.092381,1.358297,-211.9746,200.1084,45.95907,-305.2653,-35.15568,70.2368,1,3.141593,0.5175935
286.1633,33054,left,1,-179.1196,264.3689,47.53136,-161.4889,127.5631,135.1583,1.478826,1.072745,1.392401,-216.0337,203.0816,47.86371,-307.3583,-32.9372,72.29058,1,3.141593,0.497524
286.1799,33056,left,1,-181.9614,267.0387,49.65863,-110.7702,94.24481,109.1626,1.488937,1.053612,1.41928,-219.9848,206.4812,49.51773,-310.1179,-30.04319,73.47488,1,3.141593,0.4875139
286.1964,33058,left,1,-183.4255,267.7134,51.35024,-80.99535,43.21249,87.97668,1.50613,1.057484,1.450712,-221.4731,207.1991,50.36539,-310.0266,-30.1161,72.30827,1,3.141593,0.4844331
286.2138,33060,left,1,-184.8685,268.3686,52.82085,-78.91706,41.98175,78.835,1.517136,1.057018,1.471824,-223.0582,207.9766,51.19399,-309.5963,-30.35543,69.92178,1,3.141593,0.4796251
286.2297,33062,left,1,-186.27,268.4521,54.1426,-71.37285,-33.53777,70.13527,1.541728,1.111246,1.510629,-221.9887,206.5665,51.14794,-307.6033,-32.21047,68.39359,1,3.141593,0.496135
286.2466,33064,left,1,-187.0571,267.5628,55.0849,-34.33957,-52.22319,47.33518,1.565303,1.184032,1.557237,-219.1694,203.7544,50.71699,-303.7028,-35.40058,68.05754,1,3.141593,0.5352626
286.2628,33066,left,1,-187.5334,267.167,55.72166,-31.08275,6.435092,38.05875,1.582323,1.252346,1.605345,-215.9876,201.6933,50.21506,-301.5697,-36.94271,69.45866,1,3.141593,0.5575909
286.2798,33068,left,1,-188.3089,268.1016,56.02559,-51.2902,73.31132,10.86144,1.589066,1.290549,1.633043,-214.6526,201.7805,50.0093,-304.0316,-35.26139,71.55636,1,3.141593,0.5583171
286.2958,33069,left,1,-188.6664,268.5197,56.10938,-41.30951,48.31881,9.682785,1.598823,1.308753,1.671794,-214.2662,201.9545,49.56602,-305.9737,-34.19616,71.11474,1,3.141593,0.5621711
286.3127,33071,left,1,-189.777,270.6367,56.32014,-86.04202,160.5066,17.75321,1.606801,1.323977,1.70676,-214.8508,203.9045,49.28527,-309.4864,-31.30457,68.32528,1,3.141593,0.568753
286.329,33073,left,1,-190.7654,273.1683,56.57262,-60.00388,163.2044,18.79874,1.613476,1.334532,1.737572,-215.3731,206.3129,48.9181,-312.8938,-28.00889,63.90879,1,3.141593,0.5782014
286.3459,33075,left,1,-192.1183,275.9209,57.03357,-87.54825,145.4295,35.61588,1.630669,1.344551,1.807269,-216.3586,209.0724,48.26474,-311.2795,-26.51211,59.74106,1,3.141593,0.5767869
286.3621,33077,left,1,-193.9831,279.3142,57.93919,-105.2844,204.2052,48.21184,1.653328,1.344648,1.879835,-218.4287,212.7477,47.98061,-301.0869,-27.5142,57.12365,1,3.141593,0.5794705
286.3788,33079,left,1,-195.5403,281.7929,58.73953,-78.2056,127.8401,45.08426,1.678409,1.360802,1.968825,-219.5584,215.3224,47.46263,-289.6459,-29.01923,52.62344,1,3.141593,0.5657932
286.3957,33081,left,1,-196.7397,283.8276,59.45332,-75.39201,128.7463,49.59761,1.683261,1.358494,1.980859,-220.4393,217.3667,47.54816,-280.6681,-29.63751,45.7794,1,3.141593,0.5526187
286.4118,33083,left,1,-198.2225,286.0514,60.34708,-101.4212,135.9988,54.78105,1.686249,1.369502,2.0102,-220.8947,219.3252,47.8439,-275.8255,-28.76379,39.11554,1,3.141593,0.5297182
286.4286,33085,left,1,-199.8875,288.1449,61.29756,-110.8447,131.779,59.94261,1.687582,1.3791,2.035437,-221.6092,221.1726,48.32259,-273.1161,-27.37871,33.79688,1,3.141593,0.5093637
286.4457,33087,left,1,-201.4564,290.1731,62.31033,-92.33406,116.8091,59.60521,1.677886,1.363665,1.992427,-223.1904,223.1639,49.47448,-275.4183,-25.12134,33.09098,1,3.141593,0.5087185
286.4617,33089,left,1,-202.2557,291.0823,63.27094,-30.22142,33.21543,52.94471,1.689494,1.345607,1.988986,-225.7234,224.7744,50.06773,-276.889,-23.69322,33.1082,1,3.141593,0.5188599
286.4786,33091,left,1,-203.0085,291.969,64.13991,-71.62459,75.325,47.44963,1.671856,1.313682,1.91008,-227.177,225.7796,51.59457,-281.6526,-22.12457,36.84005,1,3.141593,0.5557906
286.4947,33092,left,1,-203.5249,292.4293,64.63491,-59.40713,52.9535,56.94896,1.667539,1.312456,1.901814,-227.3306,226.0741,52.19559,-286.502,-20.92895,40.79552,1,3.141593,0.5837969
286.5112,33094,left,1,-204.3521,292.2369,65.18867,-46.7395,-17.50549,27.44283,1.663969,1.341131,1.928424,-226.6927,225.2831,53.1296,-293.6076,-19.95869,48.5913,1,3.141593,0.6601298
286.5278,33096,left,1,-205.3969,292.8135,66.10091,-65.201,41.30522,52.15121,1.667762,1.347046,1.957659,-226.9672,225.679,53.79317,-299.1007,-18.11106,55.99954,1,3.141593,0.7219002
286.5444,33098,left,1,-206.5252,293.9714,67.02843,-62.75791,90.60011,50.87074,1.673627,1.339469,1.968772,-228.4279,227.0229,54.50331,-303.1903,-15.87315,61.84055,1,3.141593,0.7645925
286.5609,33100,left,1,-207.1993,295.3635,67.78677,-37.5322,95.97854,49.32101,1.670585,1.312612,1.925616,-230.3899,228.8362,55.4852,-309.6377,-12.47004,67.01059,1,3.141593,0.8030711
286.5775,33102,left,1,-207.6201,296.5618,68.57726,-12.21814,54.16726,46.59378,1.670001,1.282432,1.890898,-232.3763,230.6111,56.3499,-315.5609,-9.228597,70.45612,1,3.058831,0.9160039
286.5944,33104,left,1,-208.0593,297.9114,69.45584,-29.71789,74.4972,54.44184,1.662082,1.223355,1.816309,-236.2318,233.256,57.78226,-322.7032,-5.412109,71.9948,1,2.856913,1
286.6113,33106,left,1,-209.6149,299.2567,70.36194,-96.29033,69.82039,50.84797,1.650408,1.184547,1.761832,-240.2882,235.6066,59.44085,-326.3539,-3.384409,70.29044,0.8967742,2.593308,1
286.6273,33108,left,1,-211.7795,300.1487,71.25351,-130.4275,47.98027,55.89668,1.642839,1.175316,1.738411,-243.3098,236.8235,60.75991,-326.5192,-3.372025,65.66278,0.7772365,2.384121,1
286.6437,33110,left,1,-213.9806,300.9253,72.30412,-105.8803,25.98024,64.25676,1.641693,1.171765,1.733644,-245.8052,237.7419,61.73848,-326.5236,-3.348402,60.42743,0.7423532,2.242878,1
286.6603,33112,left,1,-215.0527,300.2996,73.14973,-34.0764,-83.74065,41.02768,1.644046,1.164271,1.73585,-246.9549,237.2328,62.18707,-322.1621,-5.540205,55.33908,0.6486887,2.059483,1
286.6769,33113,left,1,-215.3615,299.6956,73.61016,-35.37091,-69.16637,52.72936,1.648363,1.168881,1.747676,-246.9252,236.508,62.37517,-322.0754,-6.298642,56.1222,0.5751008,1.949489,0.9658772
