Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
699.221,80665,left,2,-252.0731,316.0563,133.8203,-161.009,-107.5663,-57.7131,1.528996,1.427872,1.304767,-267.4485,244.8056,126.1066,-353.0575,6.203795,70.91431,0,0,0
699.221,80665,right,2,41.29547,338.727,125.9576,230.0824,50.75086,30.68451,1.433667,-1.44505,-0.7325558,61.63432,269.0509,128.2819,255.5732,98.22324,150.899,0,0.2453814,0
699.2371,80667,left,2,-254.9227,314.0111,133.026,-162.9249,-125.3024,-49.07085,1.528098,1.432456,1.291942,-269.8445,242.6305,125.6626,-351.756,1.148563,77.88306,0,0,0
699.2371,80667,right,2,45.07698,337.8416,126.2052,205.1762,-86.35364,7.744611,1.43643,-1.436288,-0.7640699,65.7716,268.195,128.3895,256.8352,93.96783,149.4973,0,0.2879278,0
699.2538,80669,left,2,-257.1535,311.5054,132.138,-127.1067,-141.6076,-47.73378,1.528388,1.434795,1.289791,-271.9325,240.0798,125.0607,-354.8513,-2.469975,85.06122,0,0,0
699.2538,80669,right,2,48.88151,336.1742,126.5643,203.9457,-98.97466,12.24628,1.434822,-1.422938,-0.7931609,70.23565,266.6606,128.8986,259.2414,90.02109,148.4236,0,0.3485753,0
699.2703,80671,left,2,-259.2999,309.9552,131.5613,-103.808,-104.3093,-41.0513,1.525254,1.438561,1.263736,-274.0862,238.4951,125.1799,-361.3645,-4.223234,97.31915,0,0,0
699.2703,80671,right,2,52.83017,333.9852,127.3593,244.7779,-134.8575,52.85966,1.430327,-1.408913,-0.8095198,74.82243,264.6022,129.9999,261.1852,84.92017,147.0058,0,0.4060326,0
699.2868,80672,left,2,-260.2261,309.2296,131.2462,-107.3638,-84.10857,-36.52142,1.52335,1.43973,1.249578,-275.1701,237.7921,125.1662,-366.7014,-3.803672,101.5141,0,0.00761514,0
699.2868,80672,right,2,54.52178,331.8737,127.3438,196.083,-244.7482,-1.798595,1.429493,-1.398579,-0.8323197,77.0523,262.63,130.079,262.5235,81.95804,146.3265,0,0.4185685,0
699.3036,80674,left,2,-262.1589,308.1106,131.0525,-99.09303,-74.51864,-5.695174,1.51968,1.44274,1.220393,-277.5531,236.7721,125.5472,-382.0843,-0.155961,109.9182,0,0.01438903,0
699.3036,80674,right,2,58.35141,327.3513,128.0075,216.1408,-268.1199,36.33329,1.431339,-1.398088,-0.8367916,80.83434,258.0619,130.589,264.8491,75.73589,144.7908,0,0.4648666,0
699.3199,80676,left,2,-263.693,306.8388,130.7978,-71.88683,-71.1605,-18.21662,1.516853,1.442231,1.204606,-279.3819,235.5644,125.9597,-388.7793,0.3547105,122.1473,0,0.01123377,0
699.3199,80676,right,2,62.06501,322.8169,128.6886,205.8082,-290.8687,37.46078,1.437279,-1.392159,-0.8725466,84.78254,253.5466,130.9119,265.9587,68.28563,143.5405,0,0.4458201,0
