Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
288.7583,33862,left,1,-10.24803,201.7516,2.468743,17.6343,473.6849,82.42932,0.8190725,0.1678295,1.319056,-76.07838,186.345,11.07536,-270.6514,41.06382,-9.557544,0,0,0
288.7748,33864,left,1,-9.33861,209.3158,4.333957,58.51474,410.5043,126.9622,0.9861408,0.2192249,1.340908,-74.40799,190.2656,12.09145,-267.5279,43.25141,-10.06545,0,0,0
288.7916,33866,left,1,-9.075482,218.5564,6.056528,-21.86372,562.6049,100.5085,1.104958,0.278517,1.363549,-73.34108,196.3148,12.44707,-263.4699,46.08354,-13.64828,0,0,0
288.8085,33868,left,1,-9.811995,227.4307,7.327514,-39.42136,326.0681,54.91318,1.15694,0.3287351,1.365518,-73.23759,202.5685,13.32053,-262.8596,51.95419,-14.21563,0,0,0
288.8245,33870,left,1,-11.77979,236.8648,8.48395,-149.1884,517.6635,60.91379,1.20462,0.3974009,1.362418,-73.8367,208.4722,14.26872,-262.0292,55.57335,-10.32661,0,0.08343881,0
288.8415,33872,left,1,-12.87848,242.2744,9.982699,-94.41533,311.5912,109.1454,1.255431,0.4662614,1.370174,-73.69881,210.921,14.9126,-263.5761,59.6883,-6.874186,0,1.052915,0
288.8577,33873,left,1,-13.75633,245.613,10.89266,-101.3216,385.3477,105.0277,1.284474,0.4959726,1.377525,-73.82983,212.7398,15.45203,-262.8284,60.2971,-5.52832,0,1.132811,0
288.8743,33875,left,1,-16.52769,253.5515,12.96389,-176.1302,457.185,113.909,1.325991,0.5515908,1.389445,-75.06977,217.8984,16.60443,-257.3471,57.54618,-4.878946,0,1.123748,0
288.8908,33877,left,1,-18.8943,258.6636,14.92379,-131.2419,216.646,111.2382,1.366156,0.59015,1.410658,-76.38278,221.2624,17.31859,-251.8087,53.77702,-6.635905,0,1.245187,0
288.9074,33879,left,1,-20.03733,262.2951,16.87061,-60.0344,192.4523,107.5865,1.409671,0.6250676,1.441128,-76.69703,223.6271,17.34658,-243.997,48.47121,-9.682108,0,1.258364,0.271598
