Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
375.6675,43866,left,2,-74.3716,190.0571,-19.17371,-64.35489,-232.8221,-168.9676,1.481093,0.708662,1.495952,-127.5766,147.0786,-21.1022,-290.2548,-25.38866,35.88718,0.7676044,2.056896,1
375.6675,43866,right,2,109.6156,264.0161,12.60362,12.83524,466.3226,107.2794,0.7326274,-0.4489165,-0.3815224,139.0862,220.9548,57.26329,265.1087,34.3195,150.7649,0,0.4353637,0
375.6836,43868,left,2,-75.25719,186.5484,-21.81319,-47.25911,-151.9268,-144.5728,1.477272,0.6468695,1.501513,-130.3245,146.1994,-23.70731,-281.2162,-36.79182,32.88659,0.5587736,1.891222,1
375.6836,43868,right,2,109.2297,271.0008,14.28657,-38.76976,373.6373,105.358,0.7532638,-0.5060772,-0.3929839,138.8581,226.878,57.85276,263.2334,39.56767,152.2063,0,0.3629889,0
375.7003,43870,left,2,-75.59756,182.6196,-22.64455,28.98062,-297.572,-2.221446,1.473925,0.571143,1.508925,-133.0781,146.0901,-24.53231,-277.7444,-42.79102,28.87712,0.3036743,1.732364,1
375.7003,43870,right,2,109.1338,277.6893,16.75962,-0.7973964,401.9864,162.8575,0.7985325,-0.5658301,-0.3997898,138.466,231.4695,58.38978,264.6728,44.31031,150.5866,0,0.3912329,0
375.7173,43871,left,2,-76.15893,182.5246,-23.14063,-61.46523,-10.40295,-54.3179,1.446593,0.5272026,1.498532,-134.9109,148.2409,-24.31052,-276.128,-43.59316,27.78963,0.1714742,1.57693,1
375.7173,43871,right,2,109.162,280.3789,17.73213,3.081115,294.4984,106.4824,0.8146712,-0.5917768,-0.4077227,138.6641,233.4816,58.50321,267.1376,46.91323,148.746,0,0.3666056,0
375.7333,43873,left,2,-74.52345,182.7119,-24.79714,136.2944,42.69748,-83.95261,1.324076,0.521901,1.42321,-133.3389,148.5667,-21.77923,-271.1582,-46.46645,27.4637,0,1.429782,0.9122036
375.7333,43873,right,2,109.1757,286.119,19.75864,7.540266,351.2403,110.8954,0.8514296,-0.6420027,-0.4146432,138.7375,237.8117,58.88748,276.3101,57.20126,147.829,0,0.4172159,0
375.7502,43875,left,2,-72.07533,182.3494,-27.4716,169.787,-128.3712,-160.4227,1.184371,0.4834529,1.336161,-131.0188,149.2175,-19.40749,-267.9397,-47.20017,26.74148,0,1.134492,0.845642
375.7502,43875,right,2,109.3988,290.4073,21.82071,15.16387,211.0923,110.0603,0.8966893,-0.6926727,-0.4129732,138.4961,240.3105,59.04918,284.7592,65.5628,145.8091,0,0.4863501,0
375.7664,43877,left,2,-69.21133,182.5168,-30.82304,213.2331,-56.82727,-180.4362,1.025417,0.3874063,1.251681,-128.5675,152.1467,-17.44782,-264.719,-45.70356,24.68331,0,0.9639381,0.8158177
375.7664,43877,right,2,109.8124,294.0425,23.82546,15.16876,187.2628,107.1075,0.9394209,-0.7338155,-0.4141494,138.5343,242.4944,59.34635,292.7356,75.51405,147.6441,0,0.5701339,0
