Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
464.5643,54090,right,2,114.2908,176.2136,15.79949,-50.12452,57.62119,161.4588,0.8372257,-1.508164,-0.1425827,127.9728,122.1318,54.50486,235.7683,-47.4861,187.1741,0,0,0
464.5643,54090,left,2,-66.07694,192.9577,30.16617,-28.89012,-115.4299,97.60094,1.872513,-2.332841,1.85446,-112.3933,144.015,22.71295,-309.894,7.891244,1.382245,0,1.624804,0.605145
464.5803,54091,right,2,113.8531,177.053,17.04605,-50.22707,96.31763,143.0351,0.8809518,-1.488933,-0.1665064,128.0352,121.5589,53.51879,231.3824,-52.06192,184.5392,0,0,0
464.5803,54091,left,2,-66.29916,192.3587,30.8563,-25.49763,-68.73787,79.18931,1.896074,-2.319759,1.88006,-112.5071,143.5638,22.38792,-315.9161,16.02036,3.716325,0.0110315,1.677995,0.6147615
464.5973,54093,right,2,112.7484,178.8792,18.95193,-72.47997,95.73575,106.2537,0.9577279,-1.444899,-0.2289589,128.3765,121.2459,51.28876,225.4331,-59.42496,177.5,0,0,0
464.5973,54093,left,2,-65.81787,190.9376,32.27057,51.60294,-84.9774,86.88237,1.938519,-2.322639,1.911645,-112.8435,143.3833,22.16697,-325.3429,31.51951,4.230901,0.08996337,1.782708,0.5307879
464.6134,54095,right,2,111.2275,179.6091,20.67126,-82.76621,38.68641,94.84529,1.020317,-1.405007,-0.3001177,128.4543,120.5466,49.41297,223.0159,-65.89101,168.9551,0,0,0
464.6134,54095,left,2,-64.70418,188.8565,33.77074,65.7566,-131.6089,78.57645,1.982484,-2.298649,1.962287,-111.3617,141.7041,21.50533,-332.425,48.14357,2.305016,0.101712,1.971689,0.539682
464.6302,54097,right,2,110.4194,180.5396,22.2975,-39.33774,57.4646,87.8058,1.067911,-1.392351,-0.3439644,128.2368,120.3439,48.18246,222.2563,-71.1357,159.9282,0,0.01878147,0
464.6302,54097,left,2,-64.14791,186.2577,35.23307,8.1577,-122.5112,108.6249,2.020444,-2.265364,2.011661,-109.9011,138.9993,20.83114,-334.1325,53.71243,-0.08882205,0,1.661938,0.161386
464.6472,54099,right,2,110.1911,181.378,23.82585,0.05787366,44.12338,85.65768,1.100992,-1.388578,-0.3752656,128.2118,120.3266,47.51966,220.4043,-77.29688,149.6799,0,0.009521168,0
464.6472,54099,left,2,-64.59485,183.762,36.24492,-27.56979,-159.7096,44.6138,2.094969,-2.249485,2.067764,-110.238,137.2573,18.87815,-330.6498,41.5748,2.918425,0,1.426987,0
464.6631,54101,right,2,109.7283,182.3145,24.92408,-27.35543,58.73627,57.51338,1.12706,-1.391833,-0.3965897,127.7496,120.5876,46.83453,220.0036,-81.18608,140.4709,0,0,0
464.6631,54101,left,2,-66.08253,181.5548,36.99564,-38.01862,-89.77687,19.51316,2.190411,-2.288803,2.103026,-112.7061,136.8393,16.48134,-315.9963,10.19312,-8.51967,0,1.584289,0
464.6801,54103,right,2,109.3745,183.294,25.78464,-19.40349,52.2467,39.3558,1.144415,-1.401931,-0.4026989,127.2105,121.088,46.467,222.6195,-82.14956,133.5465,0,0,0
464.6801,54103,left,2,-67.32722,180.2799,37.84093,-52.73861,-55.7331,53.81793,2.217497,-2.283685,2.108557,-113.7297,135.7534,16.01567,-302.6034,-9.218307,-20.05601,0,1.163944,0
