Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
246.5679,29154,right,2,96.70016,100.269,-12.50888,-14.4887,-326.5901,138.6019,-0.907823,0.3867582,-1.297807,157.4268,123.6101,6.698934,274.4031,79.65706,223.0541,0,0,0
246.5679,29154,left,2,-89.76661,216.6354,178.0245,47.32577,-84.88126,286.99,1.807854,0.8537538,1.774238,-147.2757,178.6002,163.3235,-338.2089,37.03579,86.32406,1,3.141593,0.7836344
246.5848,29156,right,2,95.9071,95.08091,-11.8125,-102.3319,-292.2074,16.46773,-0.9061223,0.3982162,-1.285352,156.0827,119.4896,8.035624,270.9838,84.91674,227.1871,0,0,0
246.5848,29156,left,2,-90.21169,215.8779,184.3607,-67.46962,-124.3813,369.0927,1.950401,1.186714,1.893265,-146.8047,178.0189,166.8366,-314.938,12.15123,85.32574,1,3.141593,0.8352501
246.601,29158,right,2,93.6825,90.99508,-10.40779,-104.2319,-254.7368,110.8055,-0.8735178,0.410628,-1.254118,153.2582,116.2253,10.83932,271.8542,87.84161,228.9087,0,0,0
246.601,29158,left,2,-93.2306,213.8884,191.9122,-157.839,-129.7662,392.2598,2.129707,2.37395,2.00987,-149.0344,177.2982,170.7673,-285.7697,-4.946373,68.22343,1,3.141593,1
246.6176,29159,right,2,93.22467,88.96302,-9.7072,-53.64682,-238.1133,82.09339,-0.8428865,0.414943,-1.231372,152.4672,114.195,12.66508,272.3106,83.94977,229.8003,0,0,0
246.6176,29159,left,2,-94.87621,212.2071,195.0179,-192.8308,-197.0152,363.9101,2.190099,2.705499,2.042817,-150.2489,176.17,172.26,-274.4122,-7.040692,56.31946,1,3.141593,1
246.6344,29161,right,2,92.39322,85.13682,-9.595883,-58.64418,-185.8677,70.72313,-0.8120119,0.4318049,-1.201453,151.5251,110.1855,13.75877,287.4608,65.46003,218.566,0,0,0
246.6344,29161,left,2,-96.54348,210.3955,199.5451,-122.6453,-42.26929,314.2878,2.23072,2.917593,2.068745,-151.0941,174.5109,175.0745,-260.8086,-1.995553,36.39111,1,3.141593,1
246.6507,29163,right,2,91.62868,82.64201,-8.663213,-31.66794,-124.252,60.27942,-0.7476448,0.4118626,-1.169745,151.2534,106.2947,15.66064,303.5725,53.68674,206.5956,0,0,0
246.6507,29163,left,2,-97.08274,208.2033,203.2656,4.019718,-142.0886,191.3856,2.226824,3.015167,2.07595,-150.9184,171.6337,178.3764,-255.3476,2.142869,27.40531,1,3.141593,1
246.6673,29165,right,2,90.92504,81.64326,-8.099352,-7.230189,-26.14149,34.46601,-0.7238442,0.3873949,-1.169134,151.4776,103.9015,15.58865,317.0057,41.7156,192.1056,0,0,0
246.6673,29165,left,2,-94.2964,207.216,206.0016,241.073,19.48177,213.7126,2.203386,3.113468,2.068821,-147.4167,169.3641,181.7262,-244.1697,-0.5140315,26.14613,1,3.069545,1
246.6838,29167,right,2,90.82841,81.64828,-7.467464,-7.247803,-3.076627,46.52766,-0.7195208,0.3698359,-1.175621,151.9274,103.0043,15.58748,320.6687,33.1376,186.0865,0,0,0
246.6838,29167,left,2,-90.53257,208.684,211.2168,213.2881,121.749,342.6696,2.216179,-3.078286,2.094924,-142.3511,169.4804,186.245,-232.2231,-4.887664,31.50751,1,3.141593,1
246.7004,29169,right,2,90.36062,81.42119,-6.557496,-13.46865,-31.88484,58.90106,-0.7379268,0.368965,-1.184028,151.413,102.9583,16.17072,315.6226,32.63811,190.8566,0,0,0
246.7004,29169,left,2,-86.52359,211.6375,214.3651,193.5703,136.4976,181.4604,2.175959,-2.946531,2.09067,-136.6667,169.8085,190.405,-216.5889,-7.652169,33.7364,1,2.941693,0.6722969
246.717,29171,right,2,91.13828,81.42529,-4.920654,78.05749,9.981542,124.2362,-0.7192098,0.3570205,-1.188311,152.3616,102.2506,17.95101,311.6878,33.64511,197.7657,0,0,0
246.717,29171,left,2,-73.65063,224.4425,195.3213,718.8873,470.9095,-329.5673,1.739242,1.103634,1.917217,-106.9602,165.7794,174.5842,-255.2439,-9.027543,75.18907,0,0.6121792,0.05524923
246.7335,29173,right,2,92.04427,82.27873,-3.945729,33.04815,46.00711,46.64082,-0.7249476,0.348574,-1.204877,153.5089,102.6242,18.39859,306.5294,34.24579,203.693,0,0,0
246.7335,29173,left,2,-69.99827,227.1816,194.9206,177.9109,273.9826,97.4866,1.614604,1.062741,1.651068,-109.5517,170.2592,184.4592,-323.5123,41.53456,175.7566,0,0.5598962,0.221638
246.7509,29175,right,2,93.3659,85.04095,-3.454466,121.7038,185.6038,24.6368,-0.7792292,0.3590474,-1.230571,154.924,106.0702,17.56418,305.7087,38.00022,204.7949,0,0,0
246.7509,29175,left,2,-65.77643,232.5436,198.1866,278.4841,293.2839,168.0544,1.503248,0.9957815,1.469853,-110.0927,178.1996,193.6359,-325.5865,51.80486,190.2204,0,0.3116043,0.1943171
246.7666,29177,right,2,96.9685,90.57549,-3.634999,230.2914,377.1381,-36.10535,-0.8208621,0.3694606,-1.249385,158.6387,112.1183,16.304,310.9063,43.15498,202.0014,0,0,0
246.7666,29177,left,2,-63.16389,235.9536,200.4693,145.0211,117.5679,112.3167,1.461359,0.9689581,1.417763,-109.051,182.6333,198.1337,-320.0401,48.81555,196.9838,0,0,0.1055377
246.7832,29179,right,2,100.8863,98.98544,-5.663239,225.4382,485.4902,-133.4847,-0.8407556,0.3508873,-1.272368,163.1908,119.8925,12.92968,316.865,52.33217,197.983,0,0.08893075,0
246.7832,29179,left,2,-60.31627,238.273,201.7973,189.593,131.6615,51.16262,1.424213,0.9287392,1.379891,-107.8928,186.217,201.2925,-309.2439,38.35449,196.9007,0,0,0
246.7998,29180,right,2,102.0666,103.3297,-6.882795,129.6248,477.079,-133.9289,-0.8500808,0.3339652,-1.290152,164.8932,123.6003,10.72235,319.5918,59.15768,196.034,0,0.1190822,0
246.7998,29180,left,2,-58.88072,239.5262,201.8106,157.6479,137.6176,1.458678,1.409538,0.9144181,1.364635,-106.8993,187.8176,202,-303.0113,33.21757,194.011,0,0,0
246.8164,29182,right,2,103.3902,112.1309,-8.928935,60.8235,534.0328,-108.2325,-0.8268469,0.2978388,-1.307824,166.964,130.959,7.88889,320.3302,76.317,197.4091,0,0.1194292,0
246.8164,29182,left,2,-55.75074,242.2894,200.3444,185.1752,206.3328,-37.15704,1.384896,0.8925624,1.344022,-104.2019,190.9415,201.1428,-286.9303,21.52124,182.922,0,0,0
246.8329,29184,right,2,103.4132,120.9004,-10.14585,-41.60222,463.4557,-62.93895,-0.7560459,0.2589875,-1.311513,167.4602,137.8675,6.947683,313.8201,92.05694,204.1914,0,0.09722747,0
246.8329,29184,left,2,-52.57929,245.7865,199.878,199.944,209.6822,-48.22584,1.359425,0.8620716,1.326687,-101.8629,195.2646,201.1985,-272.2493,15.36882,169.0912,0,0,0
246.8495,29186,right,2,102.0713,130.0601,-11.67182,-69.36244,545.314,-84.16754,-0.6383442,0.2106415,-1.302503,166.3809,144.5667,6.467607,300.8691,104.1575,213.1193,0,0.17064,0
246.8495,29186,left,2,-49.01363,252.55,199.8031,198.8187,409.7643,7.487899,1.323352,0.8270807,1.302539,-99.69394,203.5171,202.5381,-269.4645,23.16761,169.7218,0,0,0
