Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
353.1249,41416,left,2,-71.3057,214.9281,111.9446,71.2416,230.5036,-208.6131,1.750012,1.539823,2.95132,-83.74725,151.4419,94.80195,-237.49,-31.82324,89.00564,0,0.2266818,0.7718039
353.1249,41416,right,2,124.0547,250.8967,79.58653,-20.87505,158.8268,-112.6048,1.858409,-1.116201,-2.138592,155.7623,196.2706,56.14249,307.3704,16.24407,12.99199,0,0,0
353.1414,41418,left,2,-71.22921,218.4613,108.0868,6.932339,177.9135,-232.1434,1.646827,1.519408,2.524311,-84.89297,153.7639,96.92318,-239.2859,-29.00229,92.93856,0,0.07626328,0.398304
353.1414,41418,right,2,124.0309,252.0955,77.08508,39.7242,114.0422,-127.7972,1.824908,-1.107526,-2.073894,156.1082,196.9447,55.34529,305.5995,14.8358,13.56986,0,0,0
353.1582,41420,left,2,-71.03739,219.5531,103.4181,40.52853,17.67056,-294.6523,1.549027,1.517136,1.18252,-84.50262,154.0034,97.93895,-236.6414,-30.67874,96.25549,0,0,0
353.1582,41420,right,2,124.8562,254.6596,74.45824,48.53305,167.5637,-158.2398,1.775871,-1.12281,-2.000733,156.3671,198.2455,55.21924,304.8453,14.33221,17.98176,0,0,0
353.1746,41422,left,2,-70.83949,218.7937,99.35847,20.07342,-100.6988,-228.2484,1.458016,1.520379,0.4374667,-83.83559,152.8615,99.0436,-232.2503,-34.83284,98.37792,0,0,0
353.1746,41422,right,2,124.0465,254.6355,70.73217,-27.93913,6.821684,-202.2247,1.728462,-1.143804,-1.923419,154.8926,197.0629,53.95765,304.0295,12.92041,20.69741,0,0,0
353.1911,41424,left,2,-70.95348,216.577,96.20248,-1.917599,-131.6996,-173.5033,1.378302,1.518885,0.3477363,-84.5055,150.887,100.3992,-234.3592,-35.64413,102.9534,0,0,0
353.1911,41424,right,2,123.6239,255.6458,66.82758,-63.31398,29.91992,-248.0376,1.676703,-1.156367,-1.815682,154.5379,197.33,52.86321,304.4633,13.29266,22.71096,0,0,0
353.2078,41426,left,2,-71.45429,214.7928,93.79044,-34.65719,-90.7327,-138.9007,1.317924,1.526507,0.3191048,-85.63963,149.6268,101.5778,-241.4916,-31.70344,110.8533,0,0,0
353.2078,41426,right,2,123.0785,257.2836,62.78654,-1.685974,150.9306,-227.4614,1.617806,-1.151237,-1.677423,154.9168,198.7518,51.95844,306.6841,16.06148,22.84677,0,0,0
