Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
379.7184,46329,right,2,174.4897,236.7132,-34.12203,-84.29025,65.13725,124.309,0.6981775,-0.9486254,-0.4893039,208.2558,194.2103,6.415048,351.6485,31.24136,108.2313,0,0.4135172,0
379.7184,46329,left,2,-68.01415,156.5934,-14.45648,-112.7219,188.7851,61.37488,0.5086485,0.7037512,0.3271869,-94.61919,119.9337,34.9339,-160.2634,-96.42902,114.7142,0,1.15287,0.3969396
379.7348,46331,right,2,173.2706,238.652,-30.50214,-78.89249,98.40533,233.6037,0.7278904,-0.9356084,-0.5303536,208.5287,195.5094,8.037281,357.1137,31.69973,100.6427,0,0.265857,0
379.7348,46331,left,2,-70.25227,160.8049,-13.16562,-120.6882,248.4116,68.05241,0.5600415,0.7837361,0.2847347,-94.13757,120.8761,35.24669,-156.5777,-96.9994,113.4669,0,1.191082,0.5393769
379.7516,46333,right,2,172.3335,241.7933,-25.97062,-51.043,195.6284,287.9943,0.7833369,-0.9468132,-0.5674897,208.1585,196.8314,9.881967,359.0114,31.43021,95.73518,0,0.2321972,0
379.7516,46333,left,2,-72.28994,165.369,-11.50607,-126.2471,294.9568,102.3656,0.6395012,0.8807325,0.2360176,-92.94914,121.0262,34.74686,-152.2571,-97.80128,112.7342,0,1.259291,0.6307393
379.7679,46335,right,2,171.8477,244.9911,-18.33967,-10.30197,181.6,457.8708,0.8595386,-0.9555919,-0.6181381,208.0374,197.6885,13.97001,357.6852,28.27387,93.90195,0,0.1686812,0
379.7679,46335,left,2,-74.43134,170.6435,-9.181088,-110.8619,273.6038,139.39,0.7359036,0.9814048,0.1677574,-91.23428,121.5897,34.0807,-151.0751,-95.50897,116.3738,0,1.325413,0.6630098
379.7845,46337,right,2,172.1421,247.6608,-9.188575,50.19226,180.0132,540.1674,0.9542493,-0.9878086,-0.6568685,207.2137,197.0485,19.0877,350.8398,20.04909,93.43625,0,0.1805329,0
379.7845,46337,left,2,-76.82677,176.4518,-6.465018,-139.5709,332.4155,182.0579,0.8222756,1.078409,0.1076684,-90.73592,123.7699,33.69308,-155.8117,-87.79646,125.833,0,1.384245,0.7023696
379.801,46339,right,2,173.5848,251.92,0.4109839,78.84323,262.1567,555.7637,1.047753,-1.013903,-0.7187547,207.789,198.5536,24.32034,341.7024,12.12525,93.57767,0,0.2227464,0
379.801,46339,left,2,-79.48634,181.9091,-3.308501,-122.0009,197.939,199.8743,0.9228363,1.166329,0.03283145,-90.61581,125.7228,32.89164,-164.5843,-77.42838,136.541,0,1.421509,0.6250269
379.8176,46341,right,2,173.6517,254.7228,10.4857,-2.923082,169.0663,577.8663,1.134758,-1.037233,-0.7938424,206.9547,199.1412,30.15983,327.9505,2.509492,94.81962,0,0.262975,0
379.8176,46341,left,2,-82.44444,186.9271,0.3714159,-186.5518,310.1372,221.326,0.9982896,1.255954,-0.03620007,-91.46196,128.3131,33.09813,-172.3909,-68.61379,143.3488,0,1.450306,0.5799902
