Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
473.3199,57122,right,2,122.562,218.35,-31.88206,19.88613,75.80657,65.97881,0.6179264,-1.340295,-0.4404036,154.1254,174.5538,12.09824,310.6552,8.973523,106.5038,0,0.1454202,0
473.3199,57122,left,2,-127.4118,201.7256,-10.88737,-16.19804,108.1187,41.10345,0.4843899,2.397916,0.2418808,-143.8172,160.5733,41.88228,-301.3908,-6.086051,132.5799,0,0.1567627,0
473.3364,57124,right,2,122.6436,220.4657,-30.8633,-0.4492611,121.865,63.31036,0.6728103,-1.323649,-0.43552,153.1742,174.1515,11.24345,305.8892,3.519703,102.861,0,0.1195458,0
473.3364,57124,left,2,-127.6337,203.2215,-9.95556,-19.24104,90.65759,51.81181,0.5089287,2.35585,0.2241385,-142.9792,160.6243,42.04107,-296.4537,-9.288877,133.725,0,0.1817778,0
473.353,57126,right,2,122.5734,222.8511,-29.92606,-7.838688,126.0391,51.80624,0.7226427,-1.305165,-0.4362527,152.2634,174.346,10.30312,298.7614,-2.771122,99.73855,0,0.1120403,0
473.353,57126,left,2,-127.7872,203.6528,-9.139283,-18.0849,27.75865,46.57205,0.531415,2.312428,0.1802566,-140.8022,159.554,42.24127,-289.4461,-14.67763,133.7791,0,0.1908807,0
473.3697,57128,right,2,122.8055,224.7637,-28.92983,18.07703,100.5058,49.37688,0.7543545,-1.267565,-0.4624729,153.054,175.3438,9.784439,293.379,-6.354787,99.9252,0,0.1262159,0
473.3697,57128,left,2,-128.7043,204.103,-7.361316,-59.73222,28.01497,104.0157,0.5557491,2.2626,0.1376576,-139.7537,158.4997,43.10885,-287.4643,-18.3412,131.0846,0,0.2436145,0
473.3861,57129,right,2,123.1722,225.7893,-28.35794,42.48,118.7845,66.237,0.7709025,-1.244648,-0.4761377,153.8224,175.9893,9.556103,293.2083,-6.621106,99.31045,0,0.1598189,0
473.3861,57129,left,2,-129.4182,204.719,-6.438126,-82.69188,71.3418,106.9249,0.5674153,2.237702,0.118934,-139.7226,158.4703,43.56054,-288.6343,-18.23411,129.7679,0,0.2763899,0
473.4031,57131,right,2,123.6111,226.8969,-27.01111,21.46248,59.34534,88.4863,0.8079286,-1.199273,-0.5005913,154.9736,176.2205,9.126627,295.2094,-7.450347,95.32289,0,0.2287588,0
473.4031,57131,left,2,-131.5146,207.0767,-4.911668,-139.9969,170.9414,73.8787,0.5925377,2.196243,0.08645393,-140.5257,159.613,44.13358,-291.6327,-15.36749,130.0369,0,0.318645,0
473.4193,57133,right,2,123.7836,227.2277,-25.2514,-4.920974,-2.114767,109.9202,0.8486305,-1.169672,-0.5123816,155.3274,175.3964,9.035515,300.3497,-7.677639,88.30275,0,0.2767482,0
473.4193,57133,left,2,-134.4195,210.9413,-3.6211,-179.8635,234.2193,85.59508,0.6216125,2.157526,0.06083646,-142.3247,162.2325,44.40756,-292.6973,-10.87123,135.2592,0,0.3302171,0
473.4358,57135,right,2,123.7027,227.7276,-23.29052,-7.060073,41.18756,108.4871,0.8889041,-1.152947,-0.5264813,155.2773,174.7997,9.242919,303.3742,-6.890953,85.96731,0,0.3194558,0
473.4358,57135,left,2,-137.3754,215.2198,-2.017618,-179.9532,263.7836,106.2612,0.6553161,2.127087,0.04175267,-144.2305,165.0841,44.78553,-289.4205,-8.692784,142.5214,0,0.3021485,0
473.4524,57137,right,2,123.3514,227.7012,-20.88401,-19.85011,-6.381768,142.4526,0.9327641,-1.15311,-0.5489681,154.9203,173.5715,9.600011,305.36,-6.640914,85.24517,0,0.3332546,0
473.4524,57137,left,2,-140.0905,219.8148,-0.2788996,-146.0424,247.468,109.9659,0.6888477,2.09041,0.03121284,-146.2347,168.2333,45.18837,-283.0716,-8.813977,148.9226,0,0.1698887,0
473.4691,57139,right,2,123.4366,228.289,-18.90802,11.5063,43.80052,102.4216,0.9744388,-1.169934,-0.5597544,154.3169,172.7167,9.601245,304.5645,-8.700545,82.70604,0,0.382441,0
473.4691,57139,left,2,-142.2686,222.9406,2.223833,-121.4382,152.9784,156.6054,0.728501,2.055899,0.007529565,-147.028,169.5755,45.92209,-272.1825,-14.16487,152.724,0,0,0
473.4855,57141,right,2,123.0808,228.6599,-17.16558,-20.79057,0.9662179,104.6119,1.000921,-1.16944,-0.587051,154.1802,172.4505,9.82058,303.1075,-11.12956,80.17599,0,0.3956523,0
473.4855,57141,left,2,-143.8397,224.6418,4.691715,-105.5159,94.2905,139.6407,0.7676186,2.037537,-0.03347551,-146.6086,169.595,46.50196,-262.4904,-20.04422,153.4563,0,0,0
