Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
388.8612,45205,right,2,87.78625,250.7451,146.8894,-18.22812,12.08998,124.3062,1.664453,-0.9524203,-1.700161,134.8378,196.8345,135.4161,319.8299,18.15639,136.689,0,0.0228436,0
388.8612,45205,left,2,-155.9848,228.3234,106.1215,77.39605,-85.5565,7.052111,1.565592,1.518466,1.473666,-167.4176,157.406,97.87441,-300.8076,-61.93898,82.23949,0.02973173,1.039969,0.314324
388.8772,45207,right,2,87.53348,250.6059,148.993,-7.709674,-5.979712,119.7584,1.670456,-0.9448212,-1.706065,134.9574,197.0867,137.2231,320.0513,18.50957,137.4117,0,0.008601391,0
388.8772,45207,left,2,-154.22,226.3895,105.9816,105.6956,-113.3337,-9.990458,1.572482,1.502003,1.595378,-166.7599,155.708,97.29868,-303.0424,-61.79995,80.96069,0,0.9620155,0.283234
388.8936,45209,right,2,87.22256,250.3681,151.0282,-21.99599,-33.27649,108.8519,1.676298,-0.9404562,-1.712533,134.8512,197.1046,138.8949,320.339,18.94965,136.731,0,0.002524462,0
388.8936,45209,left,2,-152.4247,224.7685,105.8949,91.16605,-69.01655,5.829079,1.579393,1.485071,1.672413,-166.0836,154.355,96.71864,-305.7342,-60.86349,78.60062,0,0.8753232,0.2397306
388.9111,45211,right,2,87.07565,249.7147,153.0122,-18.53843,-38.43345,107.6219,1.68348,-0.9386079,-1.721414,134.7676,196.6023,140.4784,320.4474,18.66743,137.0479,0,0,0
388.9111,45211,left,2,-151.072,223.6797,106.0519,61.04484,-35.94667,20.89242,1.583528,1.465831,1.693815,-165.9665,153.5462,96.50333,-307.7578,-59.98706,75.32909,0,0.7878106,0.2013113
388.927,45213,right,2,86.84821,249.0769,154.9463,-6.967402,-58.17561,108.272,1.69173,-0.9412335,-1.733094,134.4163,195.9724,141.9169,321.0338,19.06394,136.7369,0,0,0
388.927,45213,left,2,-150.8172,224.2999,106.9483,5.146166,48.57508,55.53386,1.583098,1.443048,1.668061,-167.0855,154.4538,97.25806,-309.5074,-58.23671,72.19182,0,0.7286105,0.1689324
388.9433,45215,right,2,86.62757,248.3373,156.8842,-1.375111,-26.09388,127.4659,1.703258,-0.9431392,-1.748873,134.0844,195.3077,143.1362,321.3563,19.22768,134.4949,0,0,0
388.9433,45215,left,2,-151.02,225.4595,108.126,-13.22905,68.23071,67.96712,1.585821,1.431227,1.679516,-168.0303,155.8085,98.15456,-310.965,-56.14592,69.96609,0,0.6412541,0.106757
