Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
492.7171,57179,right,2,142.9503,211.6662,25.82943,-70.793,-360.306,9.442627,0.5135362,-0.3326198,-0.9243798,202.6399,186.7654,57.84925,371.3985,-2.729129,104.8802,0,0.5675732,0
492.7171,57179,left,2,-62.78465,197.1218,134.6605,127.69,-69.633,-115.5991,1.685863,1.659507,-2.371005,-65.03627,126.9338,118.7112,-216.6652,-80.8589,97.96522,0,1.995319,0.3776309
492.7334,57181,right,2,141.6915,205.9972,25.73118,-80.18629,-321.4995,-4.571898,0.3809247,-0.2556899,-0.9215164,203.0264,187.2975,58.88792,387.9842,14.63598,109.9141,0,0.5499825,0
492.7334,57181,left,2,-60.12946,194.5126,132.2112,140.019,-151.5517,-144.2952,1.700939,1.64242,-2.485328,-63.01408,124.5844,115.344,-216.5888,-81.97932,96.075,0,2.174709,0.9363656
492.7501,57183,right,2,140.7835,200.5387,26.05157,-41.5492,-302.425,24.06992,0.2849402,-0.2009582,-0.9111073,202.7851,186.3164,60.30145,400.9532,30.11777,114.8719,0,0.5965344,0
492.7501,57183,left,2,-57.62308,192.8595,129.6468,160.0347,-98.19604,-149.2175,1.705706,1.622038,-2.581922,-61.40097,123.064,112.5425,-218.198,-81.37614,96.24974,0.1038434,2.470687,1
492.7666,57185,right,2,140.6712,196.007,26.52218,-29.28878,-279.1905,21.63771,0.177146,-0.1620581,-0.8901713,202.645,186.2834,62.40459,408.733,44.03045,125.1612,0,0.6657885,0
492.7666,57185,left,2,-53.69778,191.347,127.2992,232.4544,-78.96281,-146.3898,1.69831,1.559254,-2.990567,-61.61552,121.6548,110.8049,-222.1423,-80.1304,98.14064,0.4196295,2.745299,1
492.7831,57187,right,2,140.0888,190.9729,26.31144,-22.36809,-278.1393,-10.60008,0.09790355,-0.1197998,-0.8836213,201.9987,184.9498,63.1515,411.579,54.85536,139.2964,0,0.686136,0
492.7831,57187,left,2,-48.91092,188.4785,123.7057,296.9622,-204.9657,-227.2837,1.691383,1.494878,2.774718,-60.81896,119.1059,107.7524,-222.1497,-82.16334,97.28288,0.6414745,2.831975,1
492.7998,57189,right,2,139.9687,186.1151,26.26169,-4.167733,-269.9183,1.34955,0.01279115,-0.08142473,-0.8733836,201.5102,183.6575,64.00786,410.7978,59.06292,149.5731,0,0.6739015,0
492.7998,57189,left,2,-44.37767,189.0301,122.5627,281.0069,73.35126,-58.44535,1.670232,1.423606,2.231754,-61.31106,120.1477,108.0921,-218.8922,-84.0918,98.04429,0.6750677,2.937284,1
492.8163,57191,right,2,139.1741,180.3517,26.79706,-52.97247,-327.1501,31.26486,-0.05327627,-0.05252698,-0.8552615,200.0244,180.49,65.52425,407.986,54.95903,152.934,0,0.6746391,0
492.8163,57191,left,2,-40.19428,189.7438,120.902,195.9929,-2.019856,-121.7488,1.62272,1.353454,1.809911,-62.59442,121.6377,109.8386,-221.8582,-81.52264,107.1097,0.9335645,3.082721,1
492.8329,57192,right,2,138.6969,177.7033,26.99847,-54.67687,-303.4389,23.07633,-0.08768889,-0.03657929,-0.8499243,199.3188,179.2288,65.94084,407.138,53.27036,153.0741,0,0.6763994,0
492.8329,57192,left,2,-38.64724,189.5816,119.7363,177.2497,-18.58841,-133.5614,1.601923,1.33195,1.699958,-62.90063,121.8498,110.2001,-225.0126,-79.05761,111.7715,1,3.077227,1
492.8494,57194,right,2,138.5235,174.3447,27.48076,-3.989526,-163.8996,26.44534,-0.1293007,-0.005794785,-0.8404059,198.7352,177.9376,66.85581,408.791,56.25324,154.6964,0,0.699842,0
492.8494,57194,left,2,-35.98405,191.3737,119.8531,141.6925,95.36381,23.21838,1.585392,1.28796,1.621116,-63.69626,124.7374,111.766,-230.7248,-71.98991,118.5739,1,2.993833,0.9893796
492.866,57196,right,2,137.9153,171.7243,27.8157,-38.04114,-137.7311,16.24883,-0.1432481,0.01463124,-0.8338542,197.7835,176.3267,67.64253,409.1516,59.84616,159.3068,0,0.7349734,0
492.866,57196,left,2,-32.39182,192.0949,119.2394,236.212,6.745559,-79.61754,1.574208,1.217551,1.580047,-64.76419,127.3854,112.1102,-234.9294,-66.60802,119.6526,0.8377208,2.729589,0.7738463
492.8825,57198,right,2,137.482,170.503,28.72825,-39.41297,-74.19971,57.80987,-0.1219787,-0.001685484,-0.8196864,196.8335,174.3556,69.51505,407.2029,60.33372,166.4183,0,0.7360831,0
492.8825,57198,left,2,-29.13835,190.9361,117.6478,155.4731,-101.0555,-92.32064,1.560348,1.154126,1.547151,-65.45398,128.1671,111.4673,-237.7842,-63.97712,116.892,0.6925804,2.512666,0.6460604
492.8996,57200,right,2,136.7175,169.6807,29.84383,-51.97394,-41.39217,58.93492,-0.09860034,-0.01785508,-0.7880375,194.8025,172.7588,72.57821,402.516,60.99063,177.5044,0,0.7021893,0
492.8996,57200,left,2,-26.42095,188.9462,115.7949,178.2556,-124.6879,-116.608,1.530053,1.08594,1.492803,-66.55645,128.3073,111.2244,-239.7315,-63.1507,110.3605,0.5326296,2.335917,0.617139
492.9157,57202,right,2,136.2282,169.8651,30.94632,-29.05669,14.75847,69.7076,-0.07223959,-0.03298786,-0.7558587,192.9113,171.8488,75.63014,396.0123,58.95123,188.1053,0,0.6724473,0
492.9157,57202,left,2,-24.09534,186.7831,114.7046,116.3148,-176.5949,-77.09644,1.495155,1.001475,1.450459,-68.38129,128.937,111.7273,-238.5127,-65.02743,102.8055,0.4421438,2.216241,0.6194156
492.9325,57204,right,2,136.1249,170.9924,32.45073,-10.43835,84.02393,78.27596,-0.03158897,-0.04827588,-0.7267511,191.6002,171.0925,78.69995,392.1571,54.6083,192.0794,0,0.6569405,0
492.9325,57204,left,2,-23.76645,183.3471,114.5106,8.388141,-171.4549,22.58474,1.461895,0.9377586,1.418928,-70.68556,127.5732,112.813,-233.0536,-72.59467,98.11774,0.172721,1.933712,0.7397334
492.9495,57206,right,2,136.8135,172.9644,35.04709,54.4309,143.3017,144.8716,0.01924348,-0.06000446,-0.7181273,191.9282,170.6587,81.70956,391.7632,50.01701,191.9734,0,0.657265,0
492.9495,57206,left,2,-23.4157,182.0182,115.6891,39.94439,-51.87517,72.21696,1.435037,0.8761081,1.403779,-72.90558,128.5542,114.9744,-230.4295,-75.42953,100.0286,0,1.680695,0.8731978
492.9655,57208,right,2,137.6062,176.7859,36.10263,42.38273,246.2869,43.80264,0.08139684,-0.07225096,-0.7268758,193.2224,171.6248,81.99279,396.883,47.61413,180.9384,0,0.6580105,0
492.9655,57208,left,2,-22.70591,180.2269,115.9003,45.13763,-121.0179,-3.710705,1.361592,0.7700151,1.359729,-76.72929,131.4976,118.287,-240.1506,-68.2486,111.85,0,1.591621,0.8846624
492.9824,57210,right,2,137.4424,180.6586,36.44528,-7.324121,226.1765,24.99301,0.1387642,-0.07914934,-0.7328837,193.4779,173.0173,81.52054,403.1607,48.37207,166.038,0,0.6164899,0
492.9824,57210,left,2,-22.16486,177.2539,115.243,19.93146,-185.574,-38.13852,1.279942,0.6638969,1.327645,-80.24427,133.8306,120.6785,-252.3153,-58.49726,127.6136,0,1.55555,0.8643723
492.9985,57211,right,2,137.2625,182.6227,36.62308,-20.51231,224.0098,20.27801,0.1588286,-0.08111564,-0.7351331,193.4621,174.1172,81.3399,405.5655,49.2776,159.2742,0,0.5881451,0
492.9985,57211,left,2,-22.07643,175.6294,115.0287,10.08565,-185.2777,-24.43973,1.239044,0.6155909,1.315985,-81.77345,134.7236,121.7482,-256.7801,-54.61299,134.8197,0,1.522752,0.8273214
493.0154,57214,right,2,137.2671,188.6379,38.08287,14.62959,225.9822,69.49034,0.2073219,-0.08542806,-0.7481058,194.1145,178.041,81.46717,410.8471,51.11241,141.1547,0,0.5267261,0
493.0154,57214,left,2,-22.43967,172.3005,115.1038,-27.27362,-151.3236,-20.43577,1.10618,0.4867692,1.287832,-85.83595,138.4088,124.824,-266.6,-44.47474,147.7253,0,1.324561,0.6024066
493.0316,57215,right,2,137.4766,190.5278,38.5937,24.30213,219.2092,59.25483,0.2166663,-0.08601294,-0.751372,194.4989,179.5684,81.64655,412.5741,52.93466,136.9064,0,0.4951907,0
493.0316,57215,left,2,-22.59988,170.6392,114.5227,-18.58387,-192.7086,-67.401,1.054933,0.4445373,1.28035,-87.03688,139.139,125.0305,-269.5824,-41.852,148.8193,0,1.261045,0.5386694
493.0483,57217,right,2,138.6838,194.5933,39.51012,75.97805,228.6641,43.54019,0.2482325,-0.09501757,-0.7523694,195.6738,182.2138,82.23529,414.7029,55.07409,132.3177,0,0.4793347,0
493.0483,57217,left,2,-22.97679,167.3265,113.3077,-16.91624,-201.405,-86.8988,0.9162877,0.3452063,1.26296,-89.4091,141.4112,125.5235,-275.3266,-36.26236,148.1804,0,1.172241,0.4558152
493.0653,57219,right,2,139.6762,198.1176,39.64842,56.89994,202.159,4.647306,0.2796855,-0.1130876,-0.7506042,196.4428,184.1989,82.25049,415.2333,56.18778,131.1418,0,0.4726841,0
493.0653,57219,left,2,-23.2525,164.2715,112.1343,-12.99451,-175.2419,-60.32537,0.762887,0.2588031,1.246756,-91.06564,143.4946,125.8107,-282.0545,-28.82722,147.6047,0,1.110523,0.4415666
493.0813,57221,right,2,140.3399,200.6872,39.55636,35.13318,137.6081,2.985432,0.325169,-0.1444849,-0.743227,196.517,184.4404,82.22056,414.6278,55.63614,132.0569,0,0.4657131,0
493.0813,57221,left,2,-24.20292,161.6201,111.9299,-90.71702,-153.873,11.4716,0.4682905,0.1426926,1.204046,-92.97138,148.0701,128.505,-288.9021,-18.99456,147.135,0,1.05387,0.2782013
493.0985,57223,right,2,141.2566,203.0565,39.57963,55.32561,123.8486,-0.3459715,0.3740114,-0.1831568,-0.7395843,196.8442,184.1691,82.01694,412.3652,51.51096,132.9975,0,0.4238155,0
493.0985,57223,left,2,-25.91161,158.8434,111.6028,-99.73788,-175.4594,-37.20599,0.2770395,0.06937179,1.195979,-95.27267,150.4543,128.8545,-299.647,-6.07125,148.2807,0,0.9532703,0.05595068
493.1145,57225,right,2,142.2789,205.1674,39.5034,59.88736,121.9232,-11.21686,0.4301762,-0.2294463,-0.7349263,196.9702,183.1399,81.70023,407.5025,44.36473,137.0546,0,0.3771378,0
493.1145,57225,left,2,-27.77024,156.5333,111.6753,-110.9575,-87.55437,43.37289,0.1219062,0.02077258,1.20443,-97.58855,152.1799,128.5074,-308.8025,5.614178,152.0378,0,0.9058833,0
493.1314,57227,right,2,143.6868,207.4172,40.07706,92.81499,138.1043,43.47781,0.4908662,-0.2713365,-0.7288473,197.223,182.0538,81.99151,402.1528,37.18526,142.5179,0,0.3877279,0
493.1314,57227,left,2,-29.95936,155.4885,112.5852,-131.4122,-64.71649,38.68774,0.04724549,0.002486293,1.230839,-100.1638,152.8296,127.9089,-311.9922,8.058202,156.4832,0,0.8217861,0
493.1476,57229,right,2,144.9925,210.094,40.41755,78.99694,174.5561,19.32225,0.5828637,-0.3209217,-0.7237253,196.7446,179.8141,81.43205,393.3562,25.46399,146.0954,0,0.5111594,0
493.1476,57229,left,2,-32.72665,155.1287,112.9571,-184.7635,-13.40649,28.82296,-0.07030776,-0.03083555,1.242579,-102.9332,154.6122,127.7512,-311.2704,6.043289,162.1647,0,0.740849,0
493.1642,57231,right,2,146.3332,213.3643,40.89125,75.44852,206.0903,25.84836,0.6639345,-0.3640791,-0.7243391,196.3341,178.634,80.57294,381.2567,10.79059,146.1617,0,0.6002874,0
493.1642,57231,left,2,-34.9257,154.082,113.2379,-87.96889,-64.76447,-1.326223,-0.2319783,-0.07958794,1.232941,-104.7721,156.8075,128.6185,-311.4706,6.613762,165.8643,0,0.6865219,0
493.1811,57233,right,2,147.4398,217.3796,41.29751,50.931,240.8783,14.36067,0.7292733,-0.3984462,-0.7301824,196.0982,179.3202,79.65224,372.0948,3.172432,148.1037,0,0.6186082,0
493.1811,57233,left,2,-36.78938,154.3503,114.2493,-118.404,32.60071,67.17731,-0.3646803,-0.1189012,1.232964,-106.3927,159.7253,129.2705,-311.8916,6.805515,162.0461,0,0.6198416,0
493.1974,57234,right,2,147.9693,219.6671,41.44235,60.17926,259.9996,16.46281,0.7598527,-0.416746,-0.7320105,195.9111,180.0508,79.16702,367.9274,0.742033,149.5741,0,0.6411867,0
493.1974,57234,left,2,-37.5111,155.3513,115.1538,-82.03183,113.7681,102.8053,-0.3926991,-0.1232942,1.237981,-107.1433,161.0467,129.6845,-311.3485,5.764629,159.4524,0,0.570093,0
493.214,57236,right,2,148.6398,223.7717,41.58153,46.78334,217.8747,9.940488,0.8200015,-0.4643644,-0.7341917,195.1716,181.1989,77.97689,363.6125,0.6451649,153.7169,0,0.6988007,0
493.214,57236,left,2,-38.94977,158.8228,116.4201,-82.94378,222.88,66.83604,-0.3669789,-0.09393601,1.247265,-108.8672,163.1657,130.2305,-310.6058,4.568382,159.5048,0,0.5418499,0
493.231,57238,right,2,149.7947,226.9015,42.01233,68.31456,156.3553,30.02974,0.8639373,-0.5038416,-0.7362884,195.3889,182.3495,77.34424,365.3571,5.416986,158.0549,0,0.7135023,0
493.231,57238,left,2,-39.71033,164.7443,118.8313,-41.47682,357.7603,141.7416,-0.1937166,-0.01186574,1.285961,-110.375,164.1574,130.1617,-307.4131,-0.2317136,159.5009,0,0.5270191,0
493.247,57240,right,2,151.1676,228.9689,42.73183,86.24677,112.8725,44.23469,0.8970074,-0.5329576,-0.7341166,195.8717,182.8369,77.24232,367.5486,8.409909,159.77,0,0.7282186,0
493.247,57240,left,2,-40.88146,171.6697,121.2844,-55.16885,394.7694,110.0748,0.08975562,0.07305806,1.324269,-111.8279,165.5757,130.0496,-304.1414,-4.458001,158.5556,0,0.7229626,0
493.2636,57242,right,2,152.7943,230.3593,43.63642,101.702,76.04647,60.54063,0.9045906,-0.5462264,-0.7282545,197.0286,183.5977,77.90401,368.1597,7.446995,157.8643,0,0.7269037,0
493.2636,57242,left,2,-43.28858,178.2422,122.423,-162.9361,351.2464,48.91741,0.4058795,0.1664589,1.343831,-114.0301,166.8664,129.8347,-307.9652,-0.495654,162.8149,0,0.8062432,0
493.2802,57244,right,2,155.2892,232.0697,44.88876,151.9071,99.08785,75.65723,0.8759172,-0.5371954,-0.7106937,199.4745,186.0318,80.11391,368.7684,6.121238,155.4817,0,0.7695439,0
493.2802,57244,left,2,-45.38665,183.9241,123.6913,-112.213,329.4552,63.8807,0.754005,0.2270959,1.380349,-115.6853,168.1659,128.7286,-313.4088,5.340734,161.9239,0,0.8901188,0.08522668
493.2971,57246,right,2,157.5446,233.0652,45.7927,126.8107,59.083,39.16517,0.8312597,-0.5218899,-0.6908326,202.0383,188.5095,82.40971,371.9866,6.932544,152.0941,0,0.8054523,0
493.2971,57246,left,2,-46.69444,190.019,124.6775,-71.06267,318.4101,28.92536,1.025325,0.2906635,1.413874,-116.15,169.8597,127.2785,-315.7472,8.310304,155.0512,0,0.8905017,0.143129
493.3133,57248,right,2,159.1774,233.61,46.38544,74.49258,5.440676,32.61052,0.7828582,-0.5023072,-0.6843101,204.647,191.1626,84.19437,377.6913,10.86993,149.4397,0,0.8445863,0
493.3133,57248,left,2,-49.77906,194.931,125.1875,-199.3322,254.9621,21.31307,1.067724,0.3209137,1.410473,-118.8954,173.2521,127.8471,-323.5916,17.94355,154.029,0,0.956194,0.1914946
493.33,57250,right,2,160.0026,233.5622,47.05381,36.65806,4.485914,40.63536,0.7376596,-0.4841652,-0.687562,206.7775,193.3781,85.65897,384.3167,16.11203,146.9972,0,0.7961943,0
493.33,57250,left,2,-53.22711,199.1132,125.1698,-193.483,211.6767,-22.86286,1.004526,0.3241013,1.386269,-122.3733,177.596,129.1521,-328.5456,23.63623,151.4053,0,0.9356685,0.2891844
493.3464,57252,right,2,160.1128,233.8508,47.5245,-3.436282,20.00925,19.52082,0.7152829,-0.4764428,-0.6935124,207.7879,194.9344,86.29519,389.5355,20.82402,144.2456,0,0.7614565,0
493.3464,57252,left,2,-57.29313,203.1973,125.7684,-285.7947,259.4979,72.23964,0.9851147,0.3360794,1.36597,-126.0855,180.7488,130.6675,-328.8352,21.28787,143.6933,0,0.950201,0.161018
493.363,57254,right,2,159.7118,234.3159,47.91866,-25.25199,34.00784,18.75315,0.7155687,-0.4874918,-0.6986731,207.7784,195.5316,86.36537,393.4341,24.89704,142.2153,0,0.7691708,0
493.363,57254,left,2,-61.5318,207.8733,126.5703,-257.869,256.9216,34.27715,1.149358,0.4146721,1.38582,-128.7122,180.3816,129.787,-331.9529,21.13492,135.8783,0,1.149096,0.1554244
493.3799,57255,right,2,159.5669,234.8778,48.0553,-16.53602,64.14239,15.59875,0.7241818,-0.4971837,-0.6974036,207.4421,195.6512,86.32081,393.9625,26.01009,142.3108,0,0.770289,0
493.3799,57255,left,2,-63.47117,210.0146,126.7245,-221.3893,244.447,17.60335,1.203401,0.4600658,1.390215,-129.5936,179.8437,129.3617,-333.277,21.07446,132.2304,0,1.330482,0.3438771
493.3961,57258,right,2,159.7657,237.6579,48.23547,24.83666,120.932,-1.935943,0.773266,-0.547046,-0.6837767,205.8841,195.5421,85.68427,389.6002,23.86598,144.6615,0,0.8754923,0
493.3961,57258,left,2,-69.69456,215.6763,127.612,-213.0413,204.858,35.13901,1.212544,0.5393894,1.35906,-133.3193,180.5401,131.078,-325.3426,8.084064,121.6663,0,1.556561,0.31549
493.4129,57259,right,2,160.1219,238.5418,48.23579,40.99565,101.7058,0.03637329,0.7940561,-0.5627841,-0.6783921,205.4169,195.1938,85.30603,386.18,20.75017,145.286,0,0.9016407,0
493.4129,57259,left,2,-71.63551,217.2618,127.9983,-223.3553,182.4607,44.45538,1.204076,0.5534799,1.345986,-134.7146,181.2168,132.0252,-323.6765,5.549074,120.2904,0,1.549047,0.2948841
493.4299,57261,right,2,160.8864,239.739,48.26941,45.30724,64.18591,1.644256,0.8486095,-0.6042155,-0.6661997,204.1314,193.3374,84.14671,379.3211,14.05128,146.3679,0.009242088,1.006435,0
493.4299,57261,left,2,-74.94796,220.5296,128.6655,-172.596,186.4198,26.19854,1.198129,0.5946742,1.321944,-136.5211,182.0542,133.5746,-318.698,-0.463505,119.2471,0.07935116,1.59165,0.1861026
493.4459,57263,right,2,161.673,240.9214,48.00534,44.71405,67.6546,-18.07437,0.8874828,-0.6262051,-0.66584,203.7623,192.6767,82.87642,375.3284,11.19251,148.7503,0,1.024128,0
493.4459,57263,left,2,-77.34888,223.9937,128.8842,-134.6219,234.1192,21.87127,1.241066,0.6589271,1.319807,-136.5212,181.8048,133.3841,-312.6828,-6.601736,119.9363,0,1.75824,0.5085607
493.463,57265,right,2,162.4526,241.7748,47.78481,50.7817,43.46936,-8.322083,0.9156261,-0.6407911,-0.6676989,203.8357,192.3956,81.97021,374.7386,12.35693,153.3078,0,1.021923,0
493.463,57265,left,2,-80.16632,228.9667,129.6498,-181.4787,288.209,53.17005,1.301936,0.7305916,1.332398,-136.4965,182.858,132.9217,-310.2756,-7.796581,120.1766,0,1.833165,0.7750405
493.4799,57267,right,2,163.141,241.948,47.80394,36.80774,3.306613,-2.299479,0.9347876,-0.6505832,-0.6676972,204.0208,191.8476,81.58992,375.5646,14.49745,157.9472,0,1.013307,0
493.4799,57267,left,2,-83.48457,232.9373,130.3816,-202.4008,218.7153,45.21651,1.358813,0.7965471,1.354323,-136.9435,183.3984,132.0432,-307.1729,-10.36016,118.2473,0,1.844757,0.9375282
493.4955,57269,right,2,163.7886,241.6663,47.6041,42.40722,-7.1537,-16.15045,0.9410321,-0.6550994,-0.6652052,204.3697,191.2763,81.33581,375.4863,14.71099,160.4217,0,0.9638957,0
493.4955,57269,left,2,-87.11024,236.962,131.5151,-215.0396,218.6114,67.86882,1.398685,0.8526216,1.372365,-138.1297,184.8475,131.9923,-308.438,-8.841828,118.1978,0,1.810136,0.9447831
493.5121,57271,right,2,164.5943,241.3158,46.99853,46.20765,-25.77264,-46.65892,0.9415053,-0.6549467,-0.6591739,204.8917,190.804,80.89215,375.4538,14.36396,161.4419,0,0.872184,0
493.5121,57271,left,2,-90.5547,240.0913,132.3518,-181.361,158.1387,30.34467,1.433782,0.9029389,1.394791,-139.4211,185.9324,131.7342,-311.9595,-5.975869,121.1268,0,1.768488,0.8893076
493.5287,57273,right,2,165.6305,240.6628,46.01438,57.58438,-33.46978,-57.20361,0.9324475,-0.6422651,-0.6535677,205.698,190.2443,80.27274,370.253,7.175448,158.4918,0,0.7835682,0
