Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
580.1392,67259,left,1,-108.3085,195.5176,113.3718,-3.592897,5.759355,-23.66474,1.467172,1.009523,1.405179,-151.3854,136.4591,111.022,-305.2841,-70.87762,91.88976,0,0.589595,0
580.156,67261,left,1,-108.3324,195.5074,113.0081,-2.263443,-1.267794,-20.32616,1.463419,1.009894,1.399119,-151.4667,136.478,110.862,-307.3874,-69.36938,92.02148,0,0.56935,0
580.173,67263,left,1,-108.3228,195.4864,112.606,-0.02363973,-0.3893586,-21.09858,1.461456,1.01065,1.395631,-151.4971,136.4783,110.618,-309.356,-67.97952,92.81544,0,0.5494215,0
580.189,67265,left,1,-108.3321,195.4507,112.3088,-0.9224182,-2.848716,-18.1319,1.457969,1.009002,1.390733,-151.6192,136.518,110.534,-310.3545,-67.33633,93.62509,0,0.5317696,0
580.2059,67267,left,1,-108.3419,195.3853,112.0646,1.66405,-6.675363,-13.15121,1.454717,1.00706,1.386362,-151.7518,136.5369,110.4735,-311.2222,-66.78359,94.06252,0,0.5202413,0
580.222,67268,left,1,-108.325,195.2932,111.9576,1.900918,-10.38485,-12.05628,1.453696,1.006812,1.384868,-151.7611,136.462,110.4241,-311.6114,-66.57368,94.18272,0,0.5166312,0
580.2386,67270,left,1,-108.2843,195.1301,111.7859,2.67244,-7.979162,-9.378083,1.451648,1.00614,1.381999,-151.7771,136.3371,110.3594,-312.2914,-66.19646,94.40081,0,0.5135962,0
580.2551,67272,left,1,-108.1666,194.9337,111.6731,7.16088,-12.1677,-7.700179,1.450672,1.005891,1.380685,-151.6835,136.1574,110.3016,-312.571,-66.11497,94.79517,0,0.5155151,0
580.2717,67274,left,1,-108.032,194.7114,111.5143,10.08886,-11.9275,-10.03181,1.451356,1.007415,1.381185,-151.4845,135.8888,110.1411,-312.7077,-66.18052,95.49792,0,0.5238557,0
580.2886,67276,left,1,-107.8702,194.5076,111.4066,9.00194,-10.78233,-4.064565,1.452554,1.008471,1.382622,-151.2969,135.6679,110.0165,-313.1765,-65.94588,96.37012,0,0.5380175,0
580.3057,67278,left,1,-107.7708,194.3634,111.326,4.219343,-6.42987,-2.752952,1.45274,1.007977,1.383122,-151.253,135.5656,109.9613,-313.8988,-65.49214,97.25358,0,0.5531532,0
580.3216,67280,left,1,-107.6625,194.2172,111.2742,6.598343,-8.422775,-2.272394,1.452708,1.00691,1.383502,-151.2251,135.4792,109.9297,-314.5258,-65.08096,97.76991,0,0.5673028,0
580.338,67282,left,1,-107.5953,194.1181,111.2546,1.91488,-3.881829,-0.4911534,1.452802,1.005845,1.384111,-151.2276,135.4323,109.9056,-314.9277,-64.81375,97.94127,0,0.5785028,0
580.3546,67284,left,1,-107.5663,194.0214,111.2061,1.668661,-5.237311,-2.394488,1.452814,1.004685,1.384623,-151.2652,135.3852,109.8403,-315.1617,-64.68685,97.65494,0,0.5890101,0
580.3711,67286,left,1,-107.5527,193.9238,111.1626,-0.9895844,-5.317049,-2.840161,1.453233,1.003378,1.385818,-151.3279,135.3449,109.749,-315.4487,-64.51392,97.09268,0,0.5983624,0
580.3877,67287,left,1,-107.5629,193.9046,111.1321,-1.16178,-2.204036,-3.500613,1.453113,1.003099,1.385788,-151.3513,135.3351,109.698,-315.4559,-64.50416,96.53424,0,0.6032552,0
580.4044,67289,left,1,-107.6129,193.901,111.0296,-2.950917,0.8309591,-7.022819,1.453741,1.00458,1.386164,-151.3247,135.2736,109.5247,-315.3069,-64.58951,95.24454,0,0.613283,0
580.4208,67291,left,1,-107.7369,193.9501,110.9578,-9.037208,4.039848,-3.737403,1.453579,1.007045,1.38487,-151.3092,135.2167,109.4255,-314.851,-64.91216,93.87251,0,0.6217728,0
580.4374,67293,left,1,-107.9439,194.1988,110.8956,-13.01845,16.6429,-2.648206,1.453732,1.011313,1.383214,-151.2693,135.2804,109.3219,-313.9042,-65.44644,92.06034,0,0.6231124,0
580.4539,67295,left,1,-108.079,194.3707,110.7396,-6.170075,8.144709,-10.31009,1.454612,1.016597,1.382256,-151.0905,135.2219,109.0894,-312.4288,-66.38696,90.0314,0,0.6100399,0
