Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
175.5415,20769,right,2,146.663,160.2139,-39.06675,-292.8775,-64.44993,86.72254,0.2385204,-0.1362911,-0.4440489,183.7597,147.6642,18.61219,317.4607,64.20674,209.1401,0,0.05255646,0
175.5415,20769,left,2,-175.4261,238.6634,95.82157,-18.25315,-43.46218,-18.8651,1.609791,1.546077,2.799111,-181.1349,170.0918,87.50933,-253.4343,-62.25551,131.436,0,0.9074537,0.4506125
175.5589,20771,right,2,141.751,158.8064,-36.19062,-270.4375,-82.31941,187.93,0.2724785,-0.1098056,-0.5523267,183.8038,145.5503,17.72754,317.7048,58.80313,206.6389,0,0.04372513,0
175.5589,20771,left,2,-176.116,238.6726,95.89357,-62.866,36.26385,23.44059,1.609235,1.553108,2.964649,-181.2218,170.0441,87.60751,-249.6812,-63.45592,131.5742,0,0.9260861,0.4729685
175.5755,20773,right,2,137.8546,158.4656,-32.12399,-208.5967,-10.16733,226.0815,0.3086242,-0.08111196,-0.695048,185.9733,144.8633,16.12182,321.191,46.51823,198.2933,0,0.1050916,0
175.5755,20773,left,2,-176.7625,239.2137,96.14172,-14.11101,14.94195,1.427326,1.606288,1.542651,2.684175,-182.3014,170.5885,87.94771,-249.5209,-63.4884,130.7446,0,0.9207923,0.480544
175.592,20774,right,2,136.1094,157.9491,-29.83512,-199.408,-59.0201,261.5244,0.3259049,-0.0747894,-0.7648332,187.0315,144.3666,15.31015,324.5766,40.62587,192.6833,0,0.1305797,0
175.592,20774,left,2,-176.8873,239.4909,96.18471,-14.25221,31.66845,4.911792,1.604188,1.530053,2.40378,-183.1332,170.9079,88.12356,-250.9008,-62.89442,131.5518,0,0.9106873,0.4902249
175.6077,20776,right,2,133.4843,157.4679,-25.43241,-145.8545,-23.03628,274.1102,0.3316374,-0.06856087,-0.8848189,188.9032,145.0587,14.05685,328.286,31.63993,183.9116,0,0.1756621,0
175.6077,20776,left,2,-177.2693,240.3049,96.46514,-23.78691,52.67039,21.55459,1.601319,1.51036,2.113077,-184.704,171.8201,88.65993,-254.1042,-61.02423,134.5854,0,0.8972907,0.5006983
175.6243,20778,right,2,130.4538,156.3024,-20.54056,-165.6046,-61.58374,274.0348,0.3288312,-0.05593783,-0.9840509,189.2525,145.4387,13.8625,333.0413,26.55278,176.1368,0,0.1937428,0
175.6243,20778,left,2,-177.8408,241.2128,96.99429,-34.94523,39.52173,36.71563,1.600231,1.490568,1.963429,-186.5538,172.8627,89.33859,-256.7554,-59.37247,137.0939,0,0.8792565,0.5152935
175.6416,20780,right,2,127.5457,154.6314,-16.75207,-134.972,-73.85324,214.1091,0.3368037,-0.06621791,-1.065253,188.8401,144.7322,13.0509,338.5035,24.74992,169.0866,0,0.1807775,0
175.6416,20780,left,2,-178.1572,242.1126,97.644,-18.12368,58.21786,41.57563,1.598851,1.466683,1.855018,-188.5019,173.9611,90.08978,-260.1764,-57.8611,137.6637,0,0.8741142,0.5554537
175.658,20782,right,2,125.6686,153.1594,-13.06834,-97.2448,-61.41259,198.5127,0.3450777,-0.08710122,-1.129408,188.7771,143.9226,12.75378,344.8583,25.01031,163.2215,0,0.153598,0
175.658,20782,left,2,-178.0606,242.7207,98.22122,1.954605,40.99856,37.68984,1.597496,1.444917,1.791249,-189.9358,174.7833,90.74538,-262.0132,-57.14573,137.1759,0,0.9348498,0.6061069
175.674,20784,right,2,123.785,151.2195,-9.81981,-99.95539,-95.53146,179.4066,0.3583332,-0.1081863,-1.173294,187.9589,142.1639,13.16676,347.5504,24.46642,160.8823,0,0.2050074,0
175.674,20784,left,2,-178.5509,244.0976,99.2526,-36.19941,87.01653,63.82929,1.599445,1.435888,1.79015,-191.0964,176.2728,91.6152,-262.0419,-56.46811,135.6654,0,0.9933819,0.608811
175.6906,20786,right,2,121.8732,150.2628,-7.297436,-104.035,-78.42702,160.5843,0.3756266,-0.1227139,-1.202054,186.3692,141.189,14.2949,339.3106,26.26624,170.9592,0,0.3076409,0
175.6906,20786,left,2,-179.2652,245.2595,100.4919,-56.88045,70.58,81.52571,1.608772,1.444777,1.879551,-191.5166,177.4327,92.38018,-259.6882,-56.31322,135.4787,0,0.9985974,0.5759702
