Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
291.0203,34075,right,2,77.93928,205.6924,21.99089,-31.14405,-14.79692,124.861,1.654635,-1.457181,-2.149903,96.24556,138.303,12.82774,229.8921,-68.1048,65.34229,0,0,0
291.0203,34075,left,2,-112.8023,242.7639,4.668582,5.713323,-61.39126,-21.03796,1.446623,1.405847,0.9519374,-131.9031,174.494,5.223116,-257.7061,-42.89592,16.99501,0,0,0
291.0363,34077,right,2,76.83206,203.9094,23.75418,-85.66882,-130.0917,97.1365,1.731422,-1.463139,-2.436445,95.74135,137.5909,10.11803,231.0989,-67.86788,61.96756,0,0,0
291.0363,34077,left,2,-113.0416,242.6686,4.46226,-14.88685,-3.294883,-9.39946,1.455516,1.406081,0.9828294,-132.1756,174.4122,4.42602,-259.8255,-41.99683,14.2219,0,0,0
291.0529,34079,right,2,74.30998,200.5741,25.15925,-148.6086,-171.9421,72.13271,1.7913,-1.45591,-2.516997,94.72282,135.5896,8.222761,233.5819,-67.46499,60.28345,0,0,0
291.0529,34079,left,2,-113.4542,242.7294,4.221472,-26.58932,4.30895,-12.12359,1.461161,1.409692,0.9941696,-132.3858,174.4237,3.821367,-260.695,-41.63982,12.57686,0,0,0
291.0694,34080,right,2,73.20616,199.4709,25.6368,-125.7488,-125.683,54.4032,1.813066,-1.450552,-2.534261,94.22473,135.0637,7.473455,235.3536,-66.46627,59.35478,0,0,0
291.0694,34080,left,2,-113.7288,242.7941,4.114124,-31.28799,7.372077,-12.22915,1.46279,1.412944,0.9912037,-132.4646,174.4369,3.603024,-260.7704,-41.65061,11.79549,0,0,0
291.086,34082,right,2,71.33848,197.9209,26.41051,-93.97961,-81.53502,42.03247,1.845923,-1.438699,-2.54665,93.46699,134.5095,6.377122,238.4372,-64.67204,56.71305,0,0,0
291.086,34082,left,2,-113.8567,242.1508,4.034664,-0.001188051,-64.18804,6.096469,1.460808,1.417862,0.9694366,-132.3376,173.7254,3.587554,-261.2905,-42.02287,10.45622,0,0,0
291.1026,34084,right,2,70.20995,196.8649,26.88593,-60.73261,-67.77227,24.29412,1.868105,-1.43349,-2.555468,92.92815,134.0894,5.551543,237.5771,-66.13161,52.57868,0,0,0
291.1026,34084,left,2,-113.4865,240.2693,4.153194,37.22528,-135.6458,2.656862,1.454758,1.411046,0.9657672,-132.4167,171.9562,4.034067,-261.9637,-43.45121,10.40189,0,0,0
291.1195,34086,right,2,69.0453,195.0087,27.33921,-73.03368,-126.3274,24.62711,1.888155,-1.430294,-2.559472,92.20744,132.7747,4.765722,232.46,-71.87868,45.6256,0,0,0
291.1195,34086,left,2,-114.0173,236.703,4.636167,-25.76766,-199.4318,9.157964,1.451764,1.441372,0.8641124,-131.1303,167.9417,4.690842,-259.9003,-47.91038,11.72562,0,0,0
291.1357,34088,right,2,67.98031,193.3101,27.55235,-54.38584,-77.80046,9.502831,1.900334,-1.419041,-2.533826,91.98392,131.5895,4.183804,225.7333,-78.76366,37.1379,0,0,0
291.1357,34088,left,2,-113.9501,232.4161,4.497544,12.37234,-235.829,-10.93964,1.429307,1.438676,0.8032457,-131.2665,163.7085,5.974321,-258.1013,-53.14317,16.53868,0,0,0
291.1523,34090,right,2,67.18108,192.4966,27.88897,-45.77699,-40.17498,28.11791,1.911808,-1.407222,-2.518352,91.75469,131.2476,3.717532,220.2992,-83.28267,29.7256,0,0,0
291.1523,34090,left,2,-113.442,228.9515,3.78607,20.56022,-174.9831,-54.7811,1.391588,1.437557,0.7255794,-130.9568,160.3785,7.758665,-252.7365,-58.69728,27.72959,0,0,0
291.169,34092,right,2,66.80082,192.3424,28.66138,-10.28853,10.0772,49.9832,1.916631,-1.405552,-2.524451,91.1805,131.1711,4.012433,216.5016,-85.7624,25.40938,0,0,0
291.169,34092,left,2,-112.8968,225.7713,2.655527,40.45669,-196.9446,-67.2986,1.33616,1.437119,0.6634094,-131.2423,157.7104,10.19128,-251.2309,-60.92282,42.21627,0,0,0
291.1854,34094,right,2,66.92612,192.48,29.33928,7.670877,-6.383146,24.159,1.920532,-1.406991,-2.526494,91.29018,131.3894,4.410058,213.7266,-87.45111,22.89013,0,0,0
291.1854,34094,left,2,-112.2487,222.8689,1.39668,71.71101,-209.2962,-69.53568,1.272311,1.458292,0.5828418,-130.9966,155.5165,13.01416,-255.0055,-58.78674,56.82357,0,0,0
291.202,34096,right,2,67.00105,192.1754,29.08056,3.658924,-29.23594,-28.71946,1.914459,-1.405711,-2.512954,91.49664,130.9736,4.459078,212.4948,-88.81188,21.10553,0,0,0
291.202,34096,left,2,-111.5404,219.1434,-0.1652949,31.07967,-207.9953,-89.96676,1.204793,1.493744,0.5052866,-130.563,152.8143,15.76653,-264.4521,-52.84669,70.54434,0,0,0
291.2188,34098,right,2,67.23861,191.6605,28.13681,17.91001,-29.47549,-59.43497,1.899325,-1.404181,-2.492019,91.75738,130.1057,4.313575,212.4654,-89.90795,20.02612,0,0,0
291.2188,34098,left,2,-111.0428,216.4639,-1.802236,37.16032,-139.0315,-97.60149,1.136483,1.522609,0.4930433,-131.8497,151.8915,18.22938,-281.5012,-39.98483,81.5638,0,0,0
291.2351,34100,right,2,67.49361,191.3532,26.72259,11.25602,-18.64885,-86.87095,1.876152,-1.401584,-2.465809,91.80935,129.2179,4.120872,213.3179,-90.31332,20.40168,0,0,0
291.2351,34100,left,2,-111.294,215.3096,-3.257383,-22.71723,-57.84895,-86.44366,1.073089,1.562046,0.490182,-133.9274,152.7295,20.39788,-299.9552,-23.18901,89.03301,0,0,0
291.2517,34101,right,2,67.47165,191.2062,25.71829,-2.544086,-17.02365,-116.3326,1.86197,-1.397775,-2.448092,91.65839,128.7413,3.86762,214.4459,-89.97836,21.42456,0,0,0
291.2517,34101,left,2,-111.8764,214.4653,-3.707601,-67.46043,-97.79838,-52.15078,1.042825,1.582873,0.4912823,-135.4089,152.941,21.62682,-308.1506,-15.4538,92.52699,0,0,0
291.2682,34103,right,2,67.36423,192.4115,23.12645,-4.530658,101.545,-134.0281,1.819836,-1.384149,-2.370883,91.73816,129.1969,3.692964,219.8878,-85.95949,26.24798,0,0,0
291.2682,34103,left,2,-114.3122,214.9379,-4.76005,-143.7626,-1.30766,-68.55937,0.9821843,1.623563,0.5082023,-140.0137,155.6511,23.50826,-322.4827,-2.75566,93.04759,0,0.01261443,0
291.2848,34105,right,2,67.97804,194.4841,20.62598,48.92731,146.0184,-148.511,1.770003,-1.383967,-2.289835,91.92174,130.2792,4.047626,228.2873,-79.12452,31.93776,0,0,0
291.2848,34105,left,2,-115.2149,213.1399,-5.64192,-25.02031,-95.70209,-42.85504,0.9355189,1.687851,0.5076761,-141.9522,155.4809,24.75414,-332.6533,4.529226,88.5507,0,0.03539269,0
291.3014,34107,right,2,68.79455,197.6218,18.07359,30.55951,155.0456,-135.4207,1.708638,-1.376799,-2.134414,92.43407,132.4827,4.858675,236.7667,-71.25951,34.53249,0,0,0
291.3014,34107,left,2,-116.0562,211.7292,-5.219748,-56.92346,-86.282,36.13941,0.902935,1.707959,0.5722778,-146.1594,156.2245,26.06178,-343.0571,12.60092,87.92372,0,0.007190262,0
291.318,34109,right,2,69.12288,197.5063,16.77114,11.34445,-47.24364,-53.88813,1.635364,-1.373671,-1.87353,92.2514,131.4477,7.462939,244.314,-66.93822,34.7272,0,0,0
291.318,34109,left,2,-117.3824,210.4859,-4.452849,-80.91425,-60.10769,40.93925,0.8728935,1.746411,0.6081776,-149.6126,156.7863,27.85505,-350.2195,19.11906,91.32137,0,0.02010449,0
291.3346,34111,right,2,70.30536,197.4003,15.57772,101.4404,32.27935,-83.30913,1.538806,-1.374787,-1.409287,93.13331,130.6436,11.63939,255.1508,-60.19746,35.16266,0,0,0
291.3346,34111,left,2,-118.9203,209.8653,-3.715354,-92.17068,-56.28109,58.23415,0.8441906,1.783543,0.6242153,-152.4054,157.7344,29.87996,-354.4308,25.67954,100.3824,0,0,0
291.3511,34113,right,2,71.38193,199.251,13.221,65.74506,82.92883,-135.3185,1.419644,-1.386991,-0.8723488,93.45303,132.1656,16.29459,261.7596,-53.17704,39.62514,0,0,0
291.3511,34113,left,2,-119.8482,207.6438,-2.26556,-47.53698,-153.905,94.0579,0.8181259,1.819973,0.6328115,-154.0912,157.1757,33.04142,-355.265,36.40495,123.4121,0,0,0
291.3676,34115,right,2,71.70872,198.8964,9.593895,-21.7197,-81.02389,-249.779,1.28624,-1.412097,-0.5105115,92.3758,132.2007,20.74454,260.4886,-52.70553,48.5133,0,0,0
291.3676,34115,left,2,-121.2886,204.6175,-0.7154859,-90.80815,-181.7856,84.67626,0.8030468,1.869152,0.6404448,-155.9188,155.412,35.84529,-356.2461,48.25869,143.5973,0,0,0
291.3849,34117,right,2,71.40033,196.5037,5.560039,-24.88936,-183.0624,-211.8046,1.150794,-1.416936,-0.3731795,91.87039,131.4578,24.57041,253.4153,-59.09758,53.12246,0,0,0
291.3849,34117,left,2,-122.2634,201.3842,0.3935812,-21.12425,-194.6021,42.51878,0.8024997,1.911669,0.6562392,-157.4319,152.8799,37.21054,-359.0461,57.36158,153.1901,0,0,0
291.4008,34119,right,2,71.25015,192.1339,3.356948,13.86797,-230.9258,-125.7313,1.030615,-1.406919,-0.3188641,92.0246,129.5242,29.23532,244.3821,-67.78654,62.08313,0,0,0
291.4008,34119,left,2,-122.4885,198.1527,0.8131193,-14.48166,-180.3737,18.60522,0.7916387,1.969884,0.6704315,-158.3995,150.4509,37.91734,-362.4732,59.14158,152.982,0,0.05627855,0
291.4174,34120,right,2,71.72616,190.6058,2.574722,52.6846,-169.1281,-86.57728,0.9777333,-1.402873,-0.2930706,92.30558,129.2602,31.51737,239.1838,-71.44337,68.50662,0,0,0
291.4174,34120,left,2,-122.5806,196.6573,0.9079918,-10.19814,-165.508,10.50056,0.7847987,2.005703,0.677062,-158.8874,149.3929,38.16563,-364.7751,59.80865,151.3391,0,0.08630903,0
291.4339,34122,right,2,73.79044,187.7548,1.601237,129.3867,-198.4403,-40.64258,0.8983588,-1.422168,-0.229818,92.75541,128.4179,35.44288,232.0234,-74.66483,86.28751,0,0,0
291.4339,34122,left,2,-123.7346,194.2997,0.7520458,-78.74553,-120.1255,-8.986166,0.7559398,2.077138,0.6926125,-161.413,148.4135,38.43565,-372.1807,57.37342,140.9639,0,0.04381582,0
291.4505,34124,right,2,76.19466,186.4687,1.465057,138.0599,-40.329,-13.55043,0.8317779,-1.446495,-0.184061,93.88995,129.3743,39.56188,232.8369,-68.14622,109.5816,0,0,0
291.4505,34124,left,2,-123.3829,193.9539,0.3274646,53.09728,-4.453858,-10.3625,0.7469129,2.116194,0.6974034,-161.5247,148.4899,38.02579,-375.7699,57.27172,132.9025,0,0.06498904,0
291.467,34126,right,2,77.32794,185.2395,1.161862,40.06002,-87.64483,-20.37029,0.7811149,-1.459679,-0.1566914,94.34134,130.2564,42.50266,235.9956,-58.29993,129.7031,0,0,0
291.467,34126,left,2,-123.2013,192.9569,-0.00992791,9.760848,-53.30699,-28.60479,0.7299384,2.149894,0.7027161,-162.0215,148.3407,37.99207,-379.0621,58.46634,127.6542,0,0.08332802,0
291.4836,34128,right,2,77.58453,182.9758,1.239585,6.209177,-159.6372,31.0476,0.730364,-1.467417,-0.1561182,94.81662,130.2445,45.33736,236.7232,-52.06436,144.5812,0,0,0
291.4836,34128,left,2,-122.8921,191.4274,0.1307352,20.21449,-93.4043,12.89259,0.7323434,2.177564,0.6982345,-161.4568,146.6649,38.11568,-380.7362,58.56545,124.0131,0,0.09426036,0
