Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
386.9574,45134,left,1,-158.617,287.6174,-24.87604,-31.299,356.5704,107.2658,1.514668,1.042867,1.465832,-196.7802,229.1945,-21.44019,-277.7189,10.56576,67.69565,0,0.3364627,0.3683101
386.9746,45136,left,1,-159.2629,294.0763,-23.02113,-69.48521,332.7127,105.5088,1.523402,1.051153,1.481661,-197.4044,235.5681,-20.25847,-280.9406,16.27876,64.76319,0,0.3995999,0.4510962
386.9904,45138,left,1,-159.8529,299.8839,-21.48677,-59.82772,370.6227,90.4681,1.520507,1.042137,1.477824,-198.4258,241.6253,-18.72481,-284.104,21.73676,62.53461,0,0.3896982,0.4644578
387.0072,45140,left,1,-160.8173,306.4102,-19.99327,-118.9618,377.6304,95.47686,1.509962,1.042556,1.457889,-199.1599,247.9668,-17.27442,-286.731,27.91961,61.49978,0,0.991447,0.6606029
387.0237,45142,left,1,-162.4503,313.8571,-18.74539,53.77554,370.3851,90.83872,1.510248,1.046471,1.457001,-200.6748,255.2839,-16.04187,-290.6844,35.04873,59.3872,1,2.261015,0.7931951
387.0402,45144,left,1,-162.1735,319.1049,-16.99489,-49.00289,331.8491,81.27558,1.520733,1.049833,1.47783,-200.5973,260.648,-15.16705,-291.7501,40.52817,59.21878,1,2.908036,0.8675971
387.0567,45146,left,1,-161.8479,324.4842,-15.70246,24.75448,287.7414,69.62341,1.528479,1.063841,1.490319,-199.9274,265.7568,-14.32364,-294.8744,47.0093,59.36104,1,3.093811,0.8784831
387.0733,45148,left,1,-163.0235,329.4294,-14.54119,-79.1107,287.5887,61.65349,1.52962,1.05615,1.493815,-201.5063,270.9639,-13.13723,-295.7641,51.23229,58.47494,1,3.141593,0.840876
387.0899,45150,left,1,-163.498,333.6975,-13.55186,3.961445,207.0499,60.67908,1.531894,1.062282,1.497029,-201.7512,275.0468,-12.25883,-296.2592,54.38182,56.07879,1,3.141593,0.7655158
387.1064,45152,left,1,-163.2461,337.2963,-12.73608,23.84265,208.5226,48.98343,1.537742,1.078235,1.506088,-200.8842,278.2019,-11.84431,-295.7552,56.47005,52.41527,1,3.141593,0.7341974
387.1235,45154,left,1,-163.6585,341.6782,-11.87948,-22.15559,243.4245,42.79615,1.540435,1.080295,1.511354,-201.2395,282.533,-11.34924,-295.587,59.58364,49.3711,1,3.141593,0.7263266
387.1396,45155,left,1,-164.0995,344.0451,-11.51095,-51.64329,277.1548,43.15316,1.537408,1.066594,1.507353,-202.2343,285.2711,-10.91961,-295.5384,61.4963,48.35928,1,3.141593,0.7278496
387.1561,45157,left,1,-164.3371,347.6743,-10.9036,7.132114,179.616,35.68596,1.533024,1.048564,1.501759,-203.1987,289.3945,-10.28597,-295.5692,64.54978,46.34756,1,3.141593,0.7061161
387.1734,45159,left,1,-163.3854,349.1304,-10.17708,53.06731,76.82003,39.51696,1.537408,1.059147,1.508617,-201.8187,290.5447,-9.966704,-293.9019,64.83448,43.60947,1,3.063865,0.6890664
387.1895,45161,left,1,-161.7273,350.3367,-9.59073,94.3685,74.61306,28.8882,1.536424,1.055394,1.507249,-200.2997,291.8358,-9.409353,-291.8278,65.26799,41.42806,0.9986777,3.12099,0.6938894
387.2059,45163,left,1,-161.9873,354.1864,-9.167976,-24.34285,243.2469,19.78799,1.532423,1.046359,1.500913,-200.9133,295.9164,-8.765282,-292.7186,69.12186,40.53848,1,3.088181,0.6686181
387.2224,45165,left,1,-161.6659,357.9798,-8.798138,14.49711,198.4444,23.32261,1.517454,1.033166,1.475094,-200.9331,299.9189,-7.789261,-295.6727,74.27534,41.24365,1,3.078918,0.6825663
387.2394,45167,left,1,-160.548,359.2417,-8.181306,60.28453,25.61671,40.47361,1.506916,1.029194,1.455912,-199.8758,301.1903,-6.674315,-298.5172,77.19998,42.24396,0.9354321,3.141593,0.6484838
387.2555,45169,left,1,-159.4242,358.8318,-7.369235,67.27412,-44.71693,45.7527,1.502546,1.040104,1.44441,-198.1756,300.3643,-5.665973,-298.9648,77.47566,43.90237,0.9722032,2.982918,0.6356149
387.2721,45171,left,1,-158.6279,358.3812,-6.680141,66.2292,-15.09323,36.46301,1.504266,1.049624,1.444914,-196.9207,299.6097,-4.984267,-297.1504,76.75087,45.83644,0.2967625,1.853442,0.3279173
387.2887,45173,left,1,-157.7834,358.0297,-6.01811,27.6287,-5.677567,28.07767,1.499476,1.044807,1.43764,-196.2251,299.3674,-4.294618,-296.4737,76.71706,47.39517,0.1151838,1.681937,0.431894
387.3058,45174,left,1,-157.6762,357.9204,-5.709433,12.5038,-12.7552,36.01411,1.495734,1.045073,1.430333,-196.0419,299.2042,-3.863393,-296.8651,76.83309,47.91098,0.09367945,1.730024,0.58926
387.3218,45176,left,1,-157.6009,357.8461,-5.387933,-0.8129695,0.08331878,16.90932,1.481888,1.047191,1.40238,-195.5675,298.8605,-3.047263,-296.7271,76.39413,47.65038,0.105745,1.987586,0.7406519
387.3385,45178,left,1,-157.8579,357.3244,-5.038866,3.906182,-58.78376,12.80259,1.470658,1.05303,1.376786,-195.2881,297.9832,-2.199309,-296.8835,75.35313,46.88256,0.06743386,1.829726,0.7252412
387.3549,45180,left,1,-157.8394,355.01,-4.780155,-11.48094,-162.9577,13.58926,1.45274,1.049894,1.341921,-195.0647,295.5445,-1.267331,-296.4532,72.13747,44.60732,0,2.005885,0.6286759
387.3718,45182,left,1,-157.3419,351.0263,-4.619166,37.72934,-253.2647,4.68005,1.427061,1.026263,1.304643,-195.2922,292.0877,-0.04414244,-296.2857,68.06541,43.64973,0,2.063869,0.6117958
387.3881,45184,left,1,-156.9935,345.4343,-4.590307,12.81839,-328.1882,-0.9893742,1.405231,0.9995178,1.28117,-195.9614,287.2634,0.9261003,-296.7944,63.33603,45.46872,0,1.993226,0.6413358
387.4052,45186,left,1,-156.3685,338.1738,-4.710142,48.27057,-455.3861,3.448196,1.381365,0.975938,1.255387,-196.3208,280.7832,1.882575,-300.3808,58.74625,48.42205,0.9112033,1.82301,0.5748889
387.4213,45188,left,1,-155.6081,328.6977,-4.738241,37.18661,-545.0774,-5.722913,1.352418,0.9492596,1.225186,-196.4859,272.1502,3.226351,-301.2665,50.9469,52.06219,0.4965875,1.632186,0.4767882
387.4379,45190,left,1,-155.9447,322.614,-4.853141,-34.9172,-331.147,-9.966821,1.339957,0.9361119,1.210394,-197.0168,266.3386,3.859936,-299.3767,44.15125,53.35796,0.5975174,1.649335,0.4849527
387.4543,45192,left,1,-154.8246,315.1223,-5.037807,89.75185,-474.6223,-16.75134,1.340225,0.9410365,1.205037,-195.5263,258.6036,3.841835,-296.889,36.27177,54.72379,0.6298146,1.748521,0.5389866
387.4709,45194,left,1,-152.074,304.3764,-5.20371,126.2135,-611.6616,-4.258957,1.339716,0.9554191,1.195503,-192.1677,247.4346,3.818079,-293.7773,26.0106,58.05582,0.6700572,1.790966,0.525232
387.4876,45196,left,1,-152.3073,295.6313,-5.176087,-30.90251,-466.6505,-11.07728,1.336343,0.962629,1.185905,-191.871,238.394,4.107455,-288.4458,15.49722,61.4236,0.481639,1.638505,0.5086238
