Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
264.9943,19056,right,2,214.2836,308.3354,-12.02879,-34.76259,194.5925,56.82041,1.129428,-0.908856,-0.9888332,257.9234,251.6711,6.622405,350.1771,13.17627,67.74347,0,0.4200476,0
264.9943,19056,left,2,-81.76627,129.6195,47.15424,178.6591,-337.0917,-94.39066,0.0250575,-0.02890816,1.091672,-148.0699,131.4347,78.18642,-313.7932,75.97275,274.6197,0,0.1569272,0
265.0278,19060,right,2,215.1355,317.4317,-10.38566,-4.767097,192.7642,40.73364,1.150706,-0.9039002,-1.034728,260.6604,261.4503,6.174034,374.4663,29.86899,56.63773,0,0.4117746,0
265.0278,19060,left,2,-76.20142,123.1911,44.00903,137.4093,-230.4992,-71.65064,0.06804404,-0.01217278,1.077959,-141.7433,123.273,76.32715,-292.8198,57.85334,281.3257,0,0.3655399,0
265.0615,19063,right,2,210.5538,315.9072,-9.969819,-200.8186,-171.0818,-12.40011,1.175296,-0.9411564,-1.037838,255.6723,259.1204,5.591126,394.3901,41.69376,56.67947,0,0.3828095,0
265.0615,19063,left,2,-72.05647,116.4831,41.70096,163.5044,-268.6047,-92.98096,0.16651,0.02028776,1.081385,-137.9063,113.3582,73.50794,-295.9269,38.37985,269.8106,0,0.2726414,0
265.0946,19067,right,2,196.4386,300.4077,-9.363013,-383.5922,-473.268,22.89861,1.245556,-1.053887,-1.001593,236.6994,239.6717,4.671121,402.9765,46.52295,69.25726,0,0.2502697,0
265.0946,19067,left,2,-66.12749,111.4883,39.81284,144.7672,-119.4528,-54.14702,0.3115912,0.07272802,1.093033,-132.9051,103.5951,69.55422,-315.9524,12.86501,235.0462,0,0.4296952,0
265.1274,19070,right,2,187.7909,288.6073,-9.336929,-243.2742,-350.8627,-2.352827,1.271811,-1.129965,-0.9330035,223.8462,225.5215,5.059993,396.3047,45.9561,89.55988,0,0.2627912,0
265.1274,19070,left,2,-62.87687,110.3736,39.28187,109.4367,3.313281,-7.468935,0.4421502,0.1192808,1.107206,-129.6427,98.09791,67.64384,-314.1295,-9.207304,221.1889,0,0.5916551,0
265.1617,19074,right,2,186.0869,284.7942,-10.2474,60.84528,15.85474,-31.85747,1.239412,-1.090286,-0.9428989,224.5217,223.7283,6.174629,398.6101,55.4573,108.6231,0,0.295129,0
265.1617,19074,left,2,-58.14792,111.6687,39.07933,103.2788,66.34994,15.68732,0.5826848,0.1985646,1.128132,-124.7644,94.53056,65.3147,-309.6462,-25.38455,208.6905,0,0.730638,0
265.1942,19077,right,2,191.9491,289.1637,-10.5521,229.3848,182.1875,-17.62681,1.174067,-0.8922447,-1.0815,240.2329,235.151,5.161577,397.8137,37.43812,77.03677,0,0.3844301,0
265.1942,19077,left,2,-55.30362,114.1828,39.27136,106.0659,117.5065,-0.9067379,0.7466031,0.2908579,1.122421,-119.7713,90.18126,65.46534,-291.7205,-39.95004,215.7565,0,0.75883,0
265.2281,19081,right,2,191.654,280.2359,-11.2266,-114.4144,-413.5063,-25.63551,1.00886,-0.6203007,-1.151417,250.0895,238.7499,5.668114,382.7843,18.83296,61.18977,0,0.6043772,0
265.2281,19081,left,2,-50.17813,119.467,39.23857,108.8125,182.9936,18.42043,0.8210159,0.3352355,1.116659,-112.8843,91.58114,65.59967,-270.2023,-50.09069,221.2729,0,0.4426597,0
265.2612,19084,right,2,185.4045,263.5682,-11.61762,-244.8707,-601.6837,-14.99129,0.9016017,-0.5333832,-1.134028,246.3275,227.3325,7.966473,388.4298,17.6137,77.63319,0,0.6077645,0
265.2612,19084,left,2,-46.97099,124.1028,39.87734,89.73877,208.0906,32.72997,0.8378807,0.3443266,1.109973,-108.9914,95.15909,66.64722,-261.9966,-47.52421,225.5791,0,0,0
265.295,19088,right,2,180.3882,243.5241,-10.50375,-137.071,-556.3016,57.48662,0.8010688,-0.4371655,-1.146991,244.013,212.7331,9.128969,391.8402,4.289124,69.84428,0,0.7284197,0
265.295,19088,left,2,-45.10635,132.4022,42.55003,27.80983,238.7983,78.12914,0.8645126,0.3516422,1.118378,-107.2027,102.9098,68.6846,-266.6482,-35.77981,224.6668,0,0,0
265.3276,19092,right,2,179.1282,227.2227,-9.015824,-19.87485,-458.7596,47.64101,0.6888772,-0.3694847,-1.145361,244.8522,201.5179,11.19268,412.5511,7.92745,69.03576,0,0.5928556,0
265.3276,19092,left,2,-43.31665,141.759,44.8179,72.65909,254.3665,62.63501,0.8870454,0.3552138,1.118055,-105.6011,111.6677,70.34336,-282.6825,-20.36794,212.3109,0,0,0
265.3608,19095,right,2,179.3202,215.4126,-7.067337,-8.807988,-477.7682,74.22576,0.6076802,-0.3332305,-1.128468,245.6026,192.6883,14.94079,422.4757,12.27435,86.2378,0,0.5817031,0
265.3608,19095,left,2,-41.60311,148.4176,46.79619,50.09443,268.3802,82.37035,0.9559621,0.4082725,1.144485,-104.0791,116.4813,69.83518,-296.4302,-6.781964,199.1556,0,0,0
265.3942,19099,right,2,180.0314,199.5088,-3.444007,-0.5828,-458.3711,129.4249,0.4998826,-0.2927206,-1.092906,245.908,180.165,22.40203,418.9853,14.70807,129.8484,0,0.6796196,0
265.3942,19099,left,2,-40.22129,157.3904,49.60921,45.90723,220.8869,69.73129,1.008185,0.4556372,1.150805,-102.0073,123.2433,71.50898,-303.0835,7.61743,194.2915,0,0,0
265.4279,19103,right,2,180.4945,183.8261,2.304134,-9.561684,-444.9335,164.1176,0.3067719,-0.2067313,-1.086938,246.6697,172.2652,31.16645,409.5721,45.20422,192.8952,0,0.5663471,0
265.4279,19103,left,2,-38.92445,164.3651,52.10333,25.19967,162.1273,54.44947,1.047947,0.4966654,1.151432,-99.6701,128.0246,73.39347,-302.9582,14.5081,194.3308,0,0,0
265.4621,19107,right,2,180.8555,168.7951,8.591908,-18.90106,-443.3631,178.7683,0.07814077,-0.1042397,-1.096242,247.2796,166.2356,38.51098,403.1743,86.86369,233.9486,0,0.3217676,0
265.4621,19107,left,2,-38.04486,171.8337,54.35041,22.77346,215.2894,52.87933,1.073687,0.5389616,1.141767,-97.36839,133.2931,75.66757,-298.3936,20.101,200.4688,0,0,0
265.4935,19110,right,2,179.6913,158.0236,13.28242,-55.66947,-396.4654,171.9738,-0.1311864,-0.02027816,-1.1066,245.7885,162.963,43.19255,393.7602,121.0454,255.5991,0,0.3806322,0
265.4935,19110,left,2,-37.1286,177.1407,55.71318,30.80612,194.877,48.41926,1.084511,0.5565754,1.136113,-95.54204,137.4884,77.3084,-290.6163,21.63871,208.8156,0,0,0
265.5273,19114,right,2,177.0915,145.8047,18.94686,-185.0346,-378.8153,108.3066,-0.383244,0.08580567,-1.112359,241.8536,159.7275,48.54068,378.4734,157.1692,272.3443,0,0.5519508,0
265.5273,19114,left,2,-36.86149,183.6901,57.23749,-7.727714,191.8212,55.74265,1.102839,0.5799362,1.139707,-94.51768,143.0381,78.72896,-283.2473,27.87054,219.7152,0,0,0
265.5615,19118,right,2,173.1608,137.9419,23.93391,-113.8413,-138.6148,119.4191,-0.5226503,0.152828,-1.106965,236.4985,156.4266,53.62311,364.8341,151.6134,282.2416,0,0.7061599,0
265.5615,19118,left,2,-37.25308,189.7763,58.69622,-5.540123,154.6158,25.35637,1.113653,0.6040673,1.141136,-94.52397,148.6493,80.076,-282.4872,41.82533,228.4607,0,0,0
265.5953,19122,right,2,170.5621,137.5523,27.30656,-31.40033,90.92339,84.58479,-0.5252371,0.1570491,-1.082864,232.5762,156.6036,58.81636,342.7249,146.2713,296.5559,0,0.7199422,0
265.5953,19122,left,2,-37.77273,195.2769,59.26036,-24.51626,174.6166,20.48654,1.112557,0.6096083,1.136289,-94.98158,154.2092,80.86925,-285.7987,55.5461,231.2487,0,0,0
265.6274,19125,right,2,170.5272,142.9509,28.39986,16.09184,248.0693,18.9613,-0.4581568,0.1142166,-1.096104,233.896,159.1322,59.15797,354.3311,146.8995,291.7635,0,0.8304883,0
265.6274,19125,left,2,-38.52121,199.3424,59.4631,-24.9098,138.1132,0.5536476,1.103943,0.6122079,1.128179,-95.73737,158.5226,81.46927,-288.3198,66.285,233.6659,0,0,0
265.6608,19129,right,2,169.7431,153.9155,27.56976,-59.72534,300.884,-35.58767,-0.3148998,0.04575214,-1.115147,235.5806,164.9442,56.51783,389.442,148.2214,268.1935,0,0.9929119,0
265.6608,19129,left,2,-39.6426,204.8987,59.25543,-33.50216,156.9887,-7.11039,1.104397,0.623239,1.117786,-96.30117,163.5705,81.67667,-288.1158,74.64126,236.7841,0,0,0
265.6939,19132,right,2,170.8835,164.7347,27.02133,52.64019,411.9817,-25.59281,-0.2440755,0.005358736,-1.112047,237.5172,172.932,55.58838,406.6595,141.242,253.4424,0,0.9459592,0
265.6939,19132,left,2,-41.31439,210.6526,59.33604,-50.04218,124.5764,-14.6836,1.107134,0.6296258,1.109744,-97.40385,168.64,81.971,-287.9807,76.29837,236.6095,0,0,0
265.7284,19136,right,2,173.3559,179.9752,26.11007,50.07882,379.4556,-33.96402,-0.1078606,-0.04439589,-1.107234,241.2459,183.266,53.59285,438.555,122.9627,215.433,0.02122109,0.8486366,0
265.7284,19136,left,2,-42.90838,216.9986,58.41436,-42.37094,143.6361,-26.88466,1.093543,0.6451092,1.079622,-97.61493,173.8474,82.23299,-279.3693,72.44266,241.7385,0,0,0
265.7607,19139,right,2,172.5213,189.2366,23.75721,-73.98498,269.0818,-86.8999,0.03059006,-0.1153695,-1.099596,241.1885,187.2956,50.0615,456.8763,100.7116,171.4763,0.03715836,0.9027556,0
265.7607,19139,left,2,-43.96027,220.7245,57.58692,-25.11709,108.8133,-32.87985,1.080106,0.6435913,1.067455,-98.32539,177.6242,82.16608,-273.7332,73.46634,246.9168,0,0,0
265.7939,19142,right,2,171.2298,197.8556,21.69622,-30.97459,294.1663,-53.85017,0.1598578,-0.1947933,-1.097507,239.9241,190.8925,47.26201,456.379,84.68731,150.3508,0.05348654,1.028205,0
265.7939,19142,left,2,-44.94447,224.9939,56.76973,-37.28886,154.0042,-31.39289,1.079333,0.6505256,1.062702,-98.86517,181.5047,81.55396,-268.9228,73.44167,249.3704,0,0,0
265.8276,19145,right,2,170.0664,206.6301,20.15917,-34.23063,254.6319,-53.10395,0.4017159,-0.3024651,-1.093473,237.7409,190.912,44.69976,447.2365,55.36593,125.3125,0.04462007,1.130392,0
265.8276,19145,left,2,-46.24591,230.0149,56.26289,-38.51124,163.9792,-12.85428,1.08771,0.6622035,1.061917,-99.60222,185.7925,80.91119,-265.4093,73.23804,250.0238,0,0,0
265.8618,19149,right,2,170.8507,217.6922,16.86096,57.26928,276.5389,-78.77758,0.6226098,-0.4586882,-1.0526,234.1257,190.154,42.1835,402.5563,1.388898,111.1652,0,0.8270634,0
265.8618,19149,left,2,-48.43212,236.9702,55.95671,-51.36057,143.8154,-3.331425,1.090858,0.6568075,1.072064,-102.2717,193.1258,80.23375,-270.5479,82.36787,248.089,0,0,0
265.8947,19152,right,2,172.0306,225.7906,14.3673,31.55612,277.5295,-83.80001,0.746736,-0.5725647,-1.011691,231.1935,190.5853,40.24085,380.3586,-15.40479,103.9827,0,0.5630761,0
265.8947,19152,left,2,-50.23788,241.8873,55.92448,-55.50894,164.9736,-1.53154,1.096529,0.6650296,1.072594,-104.0325,197.8953,80.01527,-276.2237,92.22729,247.1369,0,0,0
265.9276,19155,right,2,172.626,233.5523,12.0275,35.97185,250.2519,-69.40187,0.8403795,-0.6898708,-0.9652024,227.7125,192.0869,38.27411,378.6734,-12.05293,103.6317,0,0.3006701,0
265.9276,19155,left,2,-52.24445,247.6501,56.39802,-63.38238,170.1507,11.61756,1.108704,0.6829541,1.071038,-105.5923,202.9441,80.1619,-281.4322,100.6849,245.5622,0,0,0
265.9599,19158,right,2,172.3632,239.6315,9.465827,-37.01294,168.3222,-88.47793,0.9041239,-0.7693174,-0.9415296,224.5594,194.2204,35.42822,377.6711,-5.464357,108.9661,0,0.1327989,0
265.9599,19158,left,2,-54.2346,253.3893,57.42053,-67.10836,205.706,50.56395,1.126306,0.7074009,1.07171,-106.9687,207.698,80.63675,-286.2015,108.4344,244.1828,0,0,0
265.9947,19161,right,2,171.5846,244.5789,7.015655,-7.344332,156.2516,-75.24242,0.9392071,-0.8427117,-0.9223804,221.3783,196.3083,32.65388,371.3404,-3.917334,110.9808,0,0,0
265.9947,19161,left,2,-56.50166,259.9032,59.01977,-81.90811,224.6566,66.73493,1.133679,0.7147069,1.070527,-108.8275,213.7303,82.16122,-287.3852,114.3343,246.3307,0,0,0
266.027,19164,right,2,172.4378,249.3423,4.259713,1.017261,95.89539,-98.57103,0.9668388,-0.9137846,-0.8777475,218.8501,197.921,30.19355,363.0494,-5.68588,110.4809,0,0,0
266.027,19164,left,2,-57.85765,265.7901,60.5048,-37.66529,164.1899,53.36313,1.119891,0.6924302,1.06698,-110.7758,220.4436,84.06128,-292.2085,121.5966,245.3272,0,0,0
266.0607,19167,right,2,173.9944,253.3017,1.695499,51.0107,124.7645,-66.3911,0.998284,-0.9991838,-0.8127338,216.2166,198.5485,28.08303,361.5672,-1.062969,115.9085,0,0,0
266.0607,19167,left,2,-59.04243,271.0945,62.91406,-26.91346,133.8846,65.62156,1.100052,0.6576689,1.070144,-113.2838,227.2109,86.54593,-302.3625,127.364,238.0869,0,0,0
266.0944,19170,right,2,176.5578,257.1579,-0.5164894,94.56148,97.33524,-61.25507,1.026108,-1.0609,-0.7477627,214.7006,199.5231,25.96773,353.3208,-3.401707,117.0217,0,0,0
266.0944,19170,left,2,-61.04424,275.9814,65.95847,-67.66933,149.7104,100.9754,1.082822,0.628552,1.073458,-116.2706,233.2383,89.63265,-308.7816,128.9892,233.7038,0,0,0
266.1273,19173,right,2,183.8846,261.5798,-2.40127,267.2557,162.0144,-64.90237,1.023319,-1.12267,-0.6494014,217.7359,201.7112,25.0313,347.6413,-10.46645,107.4333,0,0,0
266.1273,19173,left,2,-63.00377,281.9487,69.25822,-60.26481,182.4912,94.97745,1.056008,0.5864972,1.071704,-119.2615,240.7531,93.44608,-314.0417,132.6669,231.5146,0,0,0
266.1603,19176,right,2,193.0043,267.9957,-5.757409,240.6956,187.5419,-109.0807,0.9904101,-1.187953,-0.509642,221.5856,206.7538,24.52106,332.9854,-15.60708,107.1685,0,0,0
266.1603,19176,left,2,-65.10729,287.219,72.79968,-57.15343,133.1146,91.28905,1.032111,0.549028,1.067904,-122.059,247.3912,97.71663,-317.0947,138.8204,235.0423,0,0,0
266.1939,19179,right,2,200.4919,272.994,-9.29492,201.7195,111.9239,-86.20162,0.9420453,-1.195296,-0.4296078,226.6038,212.2777,24.07862,321.6577,-17.66961,106.382,0,0,0
266.1939,19179,left,2,-66.57708,289.4205,75.49475,-38.87872,46.14161,78.04055,1.004527,0.5287321,1.047304,-123.1853,250.1557,101.956,-310.8787,139.4657,247.5711,0,0.01014641,0
