Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
353.8678,27524,left,1,-151.8427,193.6984,125.8624,-4.82865,49.84011,0.5078129,0.0913495,-0.02846594,0.01575655,-161.257,188.5921,199.0205,-188.8961,95.85267,443.6877,0,1.393003,0.4389316
353.9003,27527,right,1,-169.5821,200.7382,134.6864,44.23141,103.2087,23.74414,0.6946003,-1.221187,-0.493883,-137.8092,155.1947,183.0903,-65.76718,54.13042,415.087,0,0,0.07986975
353.9353,27529,right,1,-157.6886,213.9599,145.446,302.8078,223.2941,250.6499,0.3611026,-2.065871,-0.1646062,-142.2721,179.8007,209.0997,5.389696,81.91588,403.6276,0,0.571098,0
353.9666,27532,right,1,-153.4249,222.3655,167.489,71.0685,323.8172,793.0938,0.2219353,-2.579826,-0.3098666,-133.3171,196.0352,233.7557,-7.472519,62.7179,422.4782,0.0490327,1.182342,0.4649014
354.001,27535,right,1,-152.7692,242.0788,196.6577,-23.14612,667.3789,965.0034,0.4324163,-2.491066,-0.3988857,-129.0691,203.7935,255.6641,-11.79514,53.66053,437.1011,0,0.9755934,0.1174629
354.0349,27539,right,1,-146.3576,254.2288,226.3032,307.5304,173.8415,855.9993,0.4692988,-2.37478,-0.3168323,-127.1509,213.4192,285.1684,-14.56836,66.75986,472.2569,0,1.306101,0
354.0675,27543,right,1,-137.3286,255.2206,261.1834,171.4207,80.4315,1254.066,0.3008114,-2.417247,-0.07642823,-130.7854,223.9148,327.7122,-10.75698,105.1533,529.3922,0.8964471,2.358859,0.6005324
354.1019,27546,right,1,-134.0117,257.1254,300.1003,140.2545,12.12596,1532.493,0.01419165,-2.485498,0.1078098,-137.7624,244.1484,371.8526,9.387016,147.7316,567.3949,1,2.863817,0.9989163
354.1342,27550,right,1,-135.6811,261.2678,353.9256,-172.3676,196.7807,1544.301,-0.2651807,-2.489914,0.2138363,-143.4191,265.8327,424.9064,44.0141,172.8196,584.2905,1,3.028467,1
354.1674,27554,right,1,-146.3189,266.0441,392.7596,-521.6855,198.069,951.5964,-0.3313739,-2.450275,0.3342776,-159.4877,272.6815,461.5119,40.14151,157.3546,588.1365,1,3.141593,0.8452957
