Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
781.3885,61204,left,2,-138.076,414.4845,-38.02368,116.8108,-168.4852,132.7627,1.559643,1.06766,1.550665,-178.789,352.9766,-44.79541,-378.9196,182.847,-22.24459,0,0,0
781.3885,61204,right,2,91.39451,357.861,30.57948,3.799189,44.76313,30.66022,1.569189,-1.28808,-1.565256,120.956,289.9398,26.4581,270.1054,77.2285,71.32717,0,0,0
781.4222,61207,left,2,-134.071,404.4643,-32.66953,93.94174,-297.0745,153.9495,1.66515,1.104744,1.770319,-170.662,341.7244,-45.61809,-377.4234,179.4449,-25.12566,0,0,0
781.4222,61207,right,2,90.77746,358.2465,31.77641,-27.00803,-4.661573,32.36538,1.584754,-1.291326,-1.618731,120.6105,290.5419,26.64551,275.5173,81.70844,70.20367,0,0,0
781.4545,61209,left,2,-132.6413,399.4211,-29.42839,44.62588,-150.816,116.1531,1.731262,1.117812,1.941646,-165.5956,335.7717,-46.27427,-363.0751,162.5911,-23.57652,0,0,0
781.4545,61209,right,2,90.15028,358.8421,32.75425,-31.98151,26.48149,43.76637,1.60026,-1.289831,-1.669594,120.5327,291.4823,26.7398,279.4351,85.66382,70.25575,0,0,0
781.4883,61212,left,2,-134.1637,401.3497,-26.30977,-44.47017,132.2645,53.58884,1.829325,1.099864,2.190458,-162.9791,337.7023,-48.95557,-344.9671,148.3622,-25.81254,0,0,0
781.4883,61212,right,2,88.97215,360.0751,34.79933,-26.07428,45.84315,62.63295,1.622865,-1.271396,-1.730185,121.0675,293.6923,27.41345,287.5448,93.80254,70.24191,0,0,0
781.5218,61215,left,2,-135.3244,403.9499,-25.27277,-7.643621,11.16509,21.97683,1.922319,1.030981,2.292358,-165.4631,343.0045,-52.66452,-340.9964,148.0799,-26.25728,0,0,0
781.5218,61215,right,2,87.96625,362.5397,37.88213,-26.68202,41.98373,86.31763,1.660423,-1.247385,-1.813828,122.1182,297.5233,28.24166,292.9072,100.8441,68.90256,0,0,0
781.5546,61217,left,2,-134.9043,402.803,-24.4981,23.78655,-50.90388,35.40614,1.978422,0.9858608,2.335131,-166.1278,343.9431,-54.98731,-344.7548,150.9145,-36.62341,0,0,0
781.5546,61217,right,2,87.86192,365.3172,39.95341,11.47801,132.9615,84.56489,1.692947,-1.24487,-1.885355,122.6943,300.9959,28.48864,292.9393,103.6701,68.28837,0,0,0
781.588,61220,left,2,-134.932,404.3916,-23.58677,-1.994022,14.57964,6.971742,2.05513,0.9450415,2.385705,-167.25,348.3547,-57.90744,-341.4832,150.8498,-46.09664,0,0,0
781.588,61220,right,2,88.06541,370.898,43.79069,15.77251,161.3932,95.74938,1.755568,-1.227321,-1.988221,124.6171,308.3313,29.07835,290.2521,107.7333,71.86147,0,0,0
781.6238,61223,left,2,-134.7768,404.5838,-22.48382,1.44749,9.874618,33.25649,2.100699,0.9286277,2.444027,-166.0607,349.6862,-59.35798,-338.0194,149.9643,-52.55752,0,0,0
781.6238,61223,right,2,86.88788,368.5975,45.77976,-53.54333,-119.2057,46.58832,1.793259,-1.250776,-2.060216,123.364,306.4649,29.00885,281.0282,97.95772,63.23805,0,0,0
781.6548,61226,left,2,-134.7407,405.6072,-20.88458,-22.77127,47.269,49.5299,2.147434,0.9191214,2.507531,-164.7928,351.9626,-60.29506,-337.0197,152.4036,-55.93506,0,0,0
781.6548,61226,right,2,85.67582,363.8281,47.15984,-2.613262,-88.91519,33.10154,1.824171,-1.251785,-2.095488,122.848,302.5875,28.6022,273.9981,87.97731,53.11722,0,0,0
781.6891,61228,left,2,-135.5652,408.407,-20.00886,-36.86753,121.6601,30.88328,2.183915,0.9107182,2.536646,-165.5032,356.1479,-61.20884,-338.1393,156.9025,-59.50582,0,0,0
781.6891,61228,right,2,86.04453,362.7283,48.1224,12.91804,-31.37535,45.53425,1.845654,-1.253857,-2.123497,123.4446,302.0344,28.30076,272.8054,85.74401,48.66479,0,0,0
781.7216,61231,left,2,-136.5746,413.8805,-18.56791,-7.038416,100.8157,66.58201,2.243881,0.8688297,2.547217,-168.3209,364.9625,-62.17545,-357.0816,180.9131,-61.86028,0,0.138446,0
781.7216,61231,right,2,86.609,361.1015,49.49483,15.22016,-39.63375,30.53483,1.879994,-1.257996,-2.153949,125.0904,301.669,28.04075,274.2508,84.86823,43.96111,0,0,0
781.7552,61233,left,2,-136.8007,415.8665,-15.95931,-20.2845,61.45219,103.6252,2.310335,0.8258587,2.598015,-168.0057,369.8103,-62.54373,-366.924,196.7894,-62.15794,0,0.2335818,0.2244636
781.7552,61233,right,2,87.50787,360.3252,50.36716,41.30931,-25.86147,37.26289,1.906443,-1.24662,-2.153651,127.8355,302.5075,27.98415,278.2469,86.44013,41.99004,0,0,0
781.7875,61235,left,2,-137.0154,416.6414,-12.85486,-7.742773,12.06553,116.8937,2.378377,0.7647246,2.656625,-166.4796,373.2123,-62.61479,-368.6527,204.0314,-65.56233,0,0.3618244,0.5170037
781.7875,61235,right,2,89.40815,360.4223,51.56451,67.99839,0.1397009,49.59878,1.947204,-1.249008,-2.188871,130.4648,303.9923,27.27237,281.2812,88.17188,40.72072,0,0.003038587,0
781.8214,61238,left,2,-135.4434,414.2222,-7.858677,56.72771,-100.249,107.2236,2.467523,0.7136055,2.727196,-162.3365,374.3126,-61.50051,-359.2105,199.17,-69.8989,0,0.4048909,0.6939678
781.8214,61238,right,2,91.9223,357.4041,52.97123,45.46523,-125.1827,22.53901,2.000653,-1.252884,-2.24555,133.1051,302.4857,25.90649,287.1069,88.94272,39.60635,0,0.05352509,0
781.8546,61240,left,2,-133.7369,410.6983,-5.03109,65.65887,-143.6838,95.18616,2.519712,0.6947286,2.762993,-159.2784,373.1089,-60.78528,-352.8557,194.5604,-73.15877,0,0.660243,0.8147425
781.8546,61240,right,2,92.02181,352.1902,53.5221,11.25185,-169.2053,16.29837,2.027538,-1.2466,-2.254348,134.0562,298.5311,25.38597,288.6553,85.37271,38.32757,0,0.05535375,0
781.8876,61243,left,2,-129.2172,400.7636,-2.086098,133.2664,-278.1174,53.72189,2.572333,0.6996259,2.767235,-155.2498,366.0857,-59.39118,-345.9528,184.7186,-74.98785,0,0.5283692,0.8112349
781.8876,61243,right,2,93.40334,344.7682,54.37544,50.59836,-180.9739,20.51677,2.067788,-1.243128,-2.277345,136.0988,292.6984,24.50582,291.634,80.18553,36.83207,0,0.06370583,0
781.9219,61245,left,2,-126.0536,393.5923,-1.323057,105.5854,-249.9402,22.17758,2.58282,0.7220306,2.74978,-153.4498,359.8767,-58.63237,-344.8459,179.3374,-75.30489,0,0.427335,0.6528848
